,DepMap_ID
15894,ACH-000041
129321,ACH-000389
199966,ACH-000561
419660,ACH-000865
451685,ACH-000892
471940,ACH-000910
508041,ACH-000929
582118,ACH-000956
611453,ACH-000965
630818,ACH-000970
639248,ACH-000972
650234,ACH-000975
663130,ACH-000978
715069,ACH-000987
722312,ACH-000988
729489,ACH-000989
741751,ACH-000990
741752,ACH-000990
751894,ACH-000991
827267,ACH-000993
900798,ACH-000999
988362,ACH-001345
994868,ACH-001363
1069459,ACH-001610
1112182,ACH-002104
1183737,ACH-002256
1200212,ACH-002285
1241150,ACH-002396
