,DepMap_ID
15348,ACH-000038
18320,ACH-000052
18321,ACH-000052
55589,ACH-000176
69497,ACH-000220
76880,ACH-000245
78950,ACH-000250
78951,ACH-000250
84431,ACH-000266
85145,ACH-000268
86890,ACH-000274
87502,ACH-000276
99519,ACH-000311
101549,ACH-000314
101550,ACH-000314
101551,ACH-000314
103624,ACH-000319
109991,ACH-000338
110386,ACH-000339
141769,ACH-000421
142214,ACH-000422
142632,ACH-000423
142633,ACH-000423
146286,ACH-000431
154324,ACH-000451
155210,ACH-000453
155582,ACH-000454
166797,ACH-000482
169356,ACH-000488
175036,ACH-000504
182213,ACH-000520
183123,ACH-000522
188571,ACH-000536
189302,ACH-000538
194450,ACH-000550
201140,ACH-000563
201699,ACH-000564
208736,ACH-000581
212482,ACH-000588
216129,ACH-000596
219268,ACH-000603
219269,ACH-000603
227360,ACH-000620
240764,ACH-000647
242246,ACH-000650
243488,ACH-000652
251215,ACH-000666
251216,ACH-000666
267834,ACH-000697
287779,ACH-000733
287780,ACH-000733
289754,ACH-000737
298123,ACH-000752
300504,ACH-000756
301218,ACH-000757
301219,ACH-000757
306055,ACH-000765
309613,ACH-000770
311161,ACH-000773
315936,ACH-000779
316932,ACH-000780
316933,ACH-000780
318593,ACH-000782
318594,ACH-000782
320996,ACH-000785
351717,ACH-000786
351718,ACH-000786
357393,ACH-000787
362593,ACH-000794
370439,ACH-000804
370440,ACH-000804
371456,ACH-000805
372408,ACH-000806
378766,ACH-000814
380568,ACH-000816
380569,ACH-000816
387185,ACH-000824
393806,ACH-000833
395145,ACH-000835
401094,ACH-000843
401095,ACH-000843
401096,ACH-000843
401097,ACH-000843
402158,ACH-000844
414040,ACH-000859
418751,ACH-000864
431418,ACH-000875
434114,ACH-000878
437875,ACH-000881
437876,ACH-000881
445072,ACH-000886
447213,ACH-000888
448533,ACH-000889
450080,ACH-000890
450993,ACH-000891
453034,ACH-000893
453035,ACH-000893
461148,ACH-000900
466163,ACH-000906
467560,ACH-000907
469395,ACH-000908
484389,ACH-000917
486064,ACH-000918
488383,ACH-000919
495626,ACH-000922
500571,ACH-000925
500572,ACH-000925
505858,ACH-000928
505859,ACH-000928
505860,ACH-000928
508420,ACH-000929
511367,ACH-000930
511368,ACH-000930
514697,ACH-000932
526350,ACH-000937
537570,ACH-000941
537571,ACH-000941
539874,ACH-000942
548696,ACH-000945
559595,ACH-000949
565468,ACH-000951
570763,ACH-000953
570764,ACH-000953
575693,ACH-000954
575694,ACH-000954
575695,ACH-000954
579482,ACH-000955
579483,ACH-000955
582553,ACH-000956
592223,ACH-000959
592224,ACH-000959
611886,ACH-000965
635652,ACH-000971
651616,ACH-000976
656794,ACH-000977
656795,ACH-000977
656796,ACH-000977
664185,ACH-000978
668926,ACH-000979
668927,ACH-000979
684020,ACH-000982
694153,ACH-000984
694154,ACH-000984
694155,ACH-000984
701488,ACH-000985
701489,ACH-000985
708995,ACH-000986
708996,ACH-000986
723271,ACH-000988
730652,ACH-000989
730653,ACH-000989
743911,ACH-000990
743912,ACH-000990
743913,ACH-000990
743914,ACH-000990
743915,ACH-000990
753393,ACH-000991
753394,ACH-000991
813774,ACH-000992
813775,ACH-000992
828639,ACH-000993
838861,ACH-000994
838862,ACH-000994
838863,ACH-000994
838864,ACH-000994
847482,ACH-000995
847483,ACH-000995
847484,ACH-000995
847485,ACH-000995
847486,ACH-000995
858833,ACH-000996
858834,ACH-000996
858835,ACH-000996
858836,ACH-000996
869487,ACH-000997
869488,ACH-000997
869489,ACH-000997
869490,ACH-000997
879898,ACH-000998
879899,ACH-000998
879900,ACH-000998
904626,ACH-000999
904627,ACH-000999
904628,ACH-000999
904629,ACH-000999
904630,ACH-000999
904631,ACH-000999
904632,ACH-000999
904633,ACH-000999
904634,ACH-000999
904635,ACH-000999
904636,ACH-000999
904637,ACH-000999
910245,ACH-001024
928740,ACH-001081
928741,ACH-001081
932369,ACH-001099
935032,ACH-001118
935535,ACH-001119
952924,ACH-001162
955598,ACH-001189
956835,ACH-001190
956836,ACH-001190
956837,ACH-001190
971469,ACH-001295
989356,ACH-001345
990742,ACH-001350
995004,ACH-001363
995005,ACH-001363
995006,ACH-001363
1000339,ACH-001369
1004809,ACH-001382
1032322,ACH-001517
1032323,ACH-001517
1033182,ACH-001519
1034472,ACH-001521
1035707,ACH-001523
1036404,ACH-001524
1036938,ACH-001525
1044369,ACH-001549
1056883,ACH-001563
1060546,ACH-001568
1070253,ACH-001610
1070254,ACH-001610
1073527,ACH-001630
1080324,ACH-001650
1081223,ACH-001653
1088702,ACH-001735
1088703,ACH-001735
1100542,ACH-002045
1110288,ACH-002099
1110289,ACH-002099
1118749,ACH-002131
1121117,ACH-002143
1121539,ACH-002144
1130529,ACH-002163
1136988,ACH-002171
1139536,ACH-002176
1142930,ACH-002181
1151859,ACH-002207
1165859,ACH-002232
1171402,ACH-002238
1184831,ACH-002256
1184832,ACH-002256
1184833,ACH-002256
1189224,ACH-002264
1191591,ACH-002271
1193986,ACH-002272
1209486,ACH-002305
1216024,ACH-002309
1216025,ACH-002309
1216026,ACH-002309
1216027,ACH-002309
1218104,ACH-002313
1221794,ACH-002338
1222418,ACH-002340
1224803,ACH-002341
1225898,ACH-002345
1231311,ACH-002370
1233202,ACH-002381
1233848,ACH-002384
1241735,ACH-002396
1243034,ACH-002397
