,DepMap_ID
29780,ACH-000075
32022,ACH-000086
38115,ACH-000110
43362,ACH-000131
45544,ACH-000140
83156,ACH-000263
90678,ACH-000287
97447,ACH-000306
112352,ACH-000346
121965,ACH-000371
125984,ACH-000381
207116,ACH-000578
226108,ACH-000618
230764,ACH-000628
238494,ACH-000643
239655,ACH-000646
266287,ACH-000695
267187,ACH-000697
287246,ACH-000733
289875,ACH-000738
290525,ACH-000739
293573,ACH-000745
293574,ACH-000745
293575,ACH-000745
412909,ACH-000858
540573,ACH-000943
552306,ACH-000947
557783,ACH-000949
602764,ACH-000963
623854,ACH-000969
652356,ACH-000977
703023,ACH-000986
703024,ACH-000986
732955,ACH-000990
732956,ACH-000990
763597,ACH-000992
763598,ACH-000992
763599,ACH-000992
763600,ACH-000992
763601,ACH-000992
763602,ACH-000992
763603,ACH-000992
763604,ACH-000992
763605,ACH-000992
830833,ACH-000994
849563,ACH-000996
861143,ACH-000997
884162,ACH-000999
908220,ACH-001021
914020,ACH-001043
945567,ACH-001137
971792,ACH-001301
975516,ACH-001322
977970,ACH-001333
1073650,ACH-001638
1139734,ACH-002177
1149037,ACH-002199
1157538,ACH-002222
1176049,ACH-002253
