,CALB2 (794)
ACH-000004,0.16706107987449667
ACH-000005,0.501761352939905
ACH-000007,0.2332570857177649
ACH-000009,0.3706378665045107
ACH-000011,0.29501568999604977
ACH-000012,0.22336878676569555
ACH-000013,0.16199011187987195
ACH-000014,0.2790868622094371
ACH-000015,0.33475281546679914
ACH-000017,0.2717765282104592
ACH-000018,0.23674524220065504
ACH-000019,0.23038806650805704
ACH-000021,0.1650609162496508
ACH-000022,0.19699113998366125
ACH-000025,0.14554014565520926
ACH-000028,0.23103469387012404
ACH-000030,0.3062284387733747
ACH-000035,0.24588716197348096
ACH-000036,0.13610996456351962
ACH-000037,0.27670421072202306
ACH-000039,0.20609153209655606
ACH-000040,0.26868422197571784
ACH-000041,0.4365509214496227
ACH-000042,0.2128405606162596
ACH-000045,0.2243895082822168
ACH-000047,0.2169525497255066
ACH-000052,0.3684671332936114
ACH-000053,0.22025308349173192
ACH-000054,0.14854390352724803
ACH-000055,0.25154098665282376
ACH-000060,0.3081916547656233
ACH-000067,0.2627638440340335
ACH-000070,0.16442206423179687
ACH-000075,0.06609977151741622
ACH-000078,0.17679817796147465
ACH-000082,0.2081145304029056
ACH-000085,0.21288299349194406
ACH-000086,0.28021853686902026
ACH-000087,0.3560565697416227
ACH-000092,0.21040476994126148
ACH-000095,0.2752559413665646
ACH-000097,0.15954393177449355
ACH-000098,0.13357919846335226
ACH-000099,0.17824579251383632
ACH-000108,0.13890096648978176
ACH-000113,0.2802513451641969
ACH-000116,0.3385171907384004
ACH-000118,0.16537983153663632
ACH-000120,0.05430420669729205
ACH-000123,0.30230880127803417
ACH-000127,0.22260922031002284
ACH-000128,0.22466147168595188
ACH-000132,0.1670073735633554
ACH-000133,0.18830199033785933
ACH-000137,0.08377315024582392
ACH-000138,0.2548663323030101
ACH-000142,0.09012808848516657
ACH-000143,0.15459338293281832
ACH-000146,0.2794853165694268
ACH-000148,0.19060849104088112
ACH-000150,0.2877087185257106
ACH-000152,0.2304483015817929
ACH-000153,0.5332152140224508
ACH-000159,0.2315255731872481
ACH-000160,0.2214354787477329
ACH-000163,0.2892867950030219
ACH-000167,0.3899640637817477
ACH-000168,0.4190624355232289
ACH-000169,0.32154656129962195
ACH-000178,0.17530139164444428
ACH-000183,0.23528911978870404
ACH-000188,0.30903246389313954
ACH-000189,0.2766084606787084
ACH-000190,0.22625508301808825
ACH-000198,0.22143240853382004
ACH-000203,-0.07978646732780736
ACH-000204,0.16705054151153007
ACH-000206,0.18711420680103136
ACH-000207,0.2679289830725626
ACH-000208,0.2927011471459831
ACH-000210,0.096160321203936
ACH-000211,0.26323603606893425
ACH-000215,0.25389221777933
ACH-000221,0.10133369250948633
ACH-000222,0.08966658188976699
ACH-000223,0.2422472039797277
ACH-000226,0.1920822264919314
ACH-000227,0.3926662197252847
ACH-000228,0.20607453745345766
ACH-000231,0.2017672175893382
ACH-000232,0.18772333515658896
ACH-000233,0.2285145839696605
ACH-000234,0.3776012841969487
ACH-000235,0.2094102316656901
ACH-000237,0.15979287095335912
ACH-000238,0.21496590023180945
ACH-000242,0.277569962046856
ACH-000243,0.2144728350613855
ACH-000244,0.07103722942510299
ACH-000246,0.3041272028030391
ACH-000248,0.21793594448915551
