,DepMap_ID
29522,ACH-000074
60829,ACH-000196
77684,ACH-000248
87152,ACH-000276
93691,ACH-000296
94279,ACH-000297
95459,ACH-000301
96092,ACH-000303
99228,ACH-000311
99591,ACH-000312
111923,ACH-000345
150042,ACH-000442
151693,ACH-000446
155275,ACH-000454
170880,ACH-000492
174445,ACH-000503
175503,ACH-000506
175504,ACH-000506
196719,ACH-000555
216618,ACH-000598
233566,ACH-000634
234287,ACH-000636
277838,ACH-000716
306902,ACH-000767
310438,ACH-000773
311281,ACH-000774
313296,ACH-000777
324312,ACH-000786
324313,ACH-000786
324314,ACH-000786
324315,ACH-000786
324316,ACH-000786
324317,ACH-000786
365067,ACH-000798
384565,ACH-000822
395510,ACH-000837
400155,ACH-000843
400156,ACH-000843
406044,ACH-000849
426558,ACH-000872
427999,ACH-000873
429097,ACH-000874
431693,ACH-000876
438168,ACH-000882
438169,ACH-000882
438170,ACH-000882
456044,ACH-000897
461369,ACH-000901
472333,ACH-000911
475845,ACH-000913
486403,ACH-000919
500858,ACH-000926
500859,ACH-000926
512635,ACH-000932
529582,ACH-000939
540387,ACH-000943
549249,ACH-000946
552174,ACH-000947
571452,ACH-000954
576584,ACH-000955
576585,ACH-000955
583045,ACH-000957
589704,ACH-000959
589705,ACH-000959
595533,ACH-000961
595534,ACH-000961
602576,ACH-000963
602577,ACH-000963
612593,ACH-000966
616690,ACH-000967
628214,ACH-000970
652112,ACH-000977
658099,ACH-000978
658100,ACH-000978
665280,ACH-000979
665281,ACH-000979
669644,ACH-000980
672775,ACH-000981
672776,ACH-000981
688807,ACH-000984
688808,ACH-000984
695162,ACH-000985
702688,ACH-000986
702689,ACH-000986
710252,ACH-000987
710253,ACH-000987
732419,ACH-000990
760714,ACH-000992
760715,ACH-000992
760716,ACH-000992
760717,ACH-000992
760718,ACH-000992
760719,ACH-000992
760720,ACH-000992
760721,ACH-000992
760722,ACH-000992
760723,ACH-000992
821820,ACH-000993
830420,ACH-000994
840539,ACH-000995
849024,ACH-000996
860677,ACH-000997
871165,ACH-000998
871166,ACH-000998
883077,ACH-000999
910383,ACH-001028
910384,ACH-001028
919307,ACH-001065
921912,ACH-001081
935796,ACH-001126
958722,ACH-001199
973851,ACH-001318
975929,ACH-001328
1001623,ACH-001376
1009411,ACH-001402
1025518,ACH-001498
1033305,ACH-001521
1035789,ACH-001524
1042607,ACH-001546
1042608,ACH-001546
1050987,ACH-001551
1063114,ACH-001599
1076703,ACH-001650
1076704,ACH-001650
1085321,ACH-001709
1102191,ACH-002059
1120757,ACH-002143
1125587,ACH-002155
1131721,ACH-002166
1142994,ACH-002182
1155299,ACH-002217
1168178,ACH-002238
1168179,ACH-002238
1171771,ACH-002239
1176006,ACH-002253
1194897,ACH-002275
1208017,ACH-002302
1216603,ACH-002310
1222685,ACH-002341
1222686,ACH-002341
