,CASQ1 (844)
ACH-000004,-0.01875929354371788
ACH-000005,0.08744893890000095
ACH-000007,-0.019622540447829486
ACH-000009,-0.14414186322378927
ACH-000011,0.04370281831434453
ACH-000012,-0.06989359576063459
ACH-000013,-0.04127930697894665
ACH-000014,0.1457681402037398
ACH-000015,-0.06582388682580648
ACH-000017,-0.1163211771789348
ACH-000018,-0.039579550562169885
ACH-000019,0.010407458015983442
ACH-000021,-0.05099506825086773
ACH-000022,-0.19355040172731355
ACH-000025,-0.04563830563990804
ACH-000028,-0.006216449915820121
ACH-000030,-0.0023415430242488496
ACH-000035,-0.13078925885739787
ACH-000036,-0.06420593401009451
ACH-000037,-0.05054856608728886
ACH-000039,-0.004073336898116703
ACH-000040,-0.17672656725505226
ACH-000041,-0.0015518886481574374
ACH-000042,-0.05006548551961061
ACH-000045,0.05505335028451695
ACH-000047,0.051836914145456936
ACH-000052,-0.04178043270372425
ACH-000053,-0.023301162925607053
ACH-000054,-0.13245411812182428
ACH-000055,-0.03635296811692478
ACH-000060,0.046161467332641586
ACH-000067,-0.009874965066253856
ACH-000070,0.09072010845060108
ACH-000075,-0.10650560516927887
ACH-000078,0.035711291519455825
ACH-000082,-0.10789155888012196
ACH-000085,-0.03447528416769543
ACH-000086,-0.08955768025241599
ACH-000087,-0.1127955228383538
ACH-000092,-0.1085111009992594
ACH-000095,0.015932716714401187
ACH-000097,-0.06267472998008404
ACH-000098,-0.1809557116582744
ACH-000099,0.03298219707987438
ACH-000108,0.06270176027717661
ACH-000113,-0.006611453774457251
ACH-000116,-0.04291197357756213
ACH-000118,0.03552341594231278
ACH-000120,-0.05665459322046225
ACH-000123,-0.046703073788741084
ACH-000127,0.03158676117898186
ACH-000128,0.04372620670874095
ACH-000132,-0.12674477506192047
ACH-000133,-0.13175385252686822
ACH-000137,-0.015673628603790516
ACH-000138,-0.025962884259413448
ACH-000142,-0.08529369621485211
ACH-000143,-0.04710774300246686
ACH-000146,0.05837754220852725
ACH-000148,-0.01794272563405189
ACH-000150,-0.09254348445294512
ACH-000152,-0.02925627296152629
ACH-000153,-0.03898218586186295
ACH-000159,-0.14572778401212974
ACH-000160,-0.011507022911961486
ACH-000163,-0.05257403903654033
ACH-000167,0.11924273914175805
ACH-000168,-0.07526339789535927
ACH-000169,-0.061867994747964075
ACH-000178,-0.0019976386409846407
ACH-000183,-0.017736963430341368
ACH-000188,-0.07606855192927331
ACH-000189,0.1158830656511574
ACH-000190,-0.009576557845288616
ACH-000198,-0.06822851107019445
ACH-000203,-0.026415636600886173
ACH-000204,-0.4214004725520621
ACH-000206,-0.169645663683353
ACH-000207,-0.1341086518728752
ACH-000208,-0.1828566863329524
ACH-000210,-0.13634378110418888
ACH-000211,-0.10345868417351382
ACH-000215,-0.08552282223777026
ACH-000221,0.03416882972538845
ACH-000222,-0.039250286542853514
ACH-000223,-0.10465604193955373
ACH-000226,-0.024447809173397426
ACH-000227,-0.0025396647263390025
ACH-000228,-0.0409947618190504
ACH-000231,-0.002209486400192391
ACH-000232,-0.13600464224089645
ACH-000233,-0.07689165444033481
