,DepMap_ID
5788,ACH-000017
28168,ACH-000067
33079,ACH-000090
47543,ACH-000146
50490,ACH-000157
58285,ACH-000186
60308,ACH-000193
72208,ACH-000229
78300,ACH-000248
78626,ACH-000249
85976,ACH-000270
88151,ACH-000278
97839,ACH-000307
101508,ACH-000314
128984,ACH-000388
131399,ACH-000394
135206,ACH-000404
136856,ACH-000408
146267,ACH-000431
148418,ACH-000437
170792,ACH-000491
172038,ACH-000495
177826,ACH-000510
185827,ACH-000528
187390,ACH-000533
215512,ACH-000595
247033,ACH-000659
252857,ACH-000669
254778,ACH-000672
255092,ACH-000673
277256,ACH-000714
320958,ACH-000785
350601,ACH-000786
350602,ACH-000786
350603,ACH-000786
399945,ACH-000842
461814,ACH-000901
472068,ACH-000910
498350,ACH-000924
500483,ACH-000925
562501,ACH-000950
598400,ACH-000961
605754,ACH-000963
635489,ACH-000971
650641,ACH-000975
671902,ACH-000980
683785,ACH-000982
683786,ACH-000982
693930,ACH-000984
708620,ACH-000986
811527,ACH-000992
811528,ACH-000992
811529,ACH-000992
811530,ACH-000992
811531,ACH-000992
811532,ACH-000992
811533,ACH-000992
811534,ACH-000992
811535,ACH-000992
811536,ACH-000992
811537,ACH-000992
811538,ACH-000992
811539,ACH-000992
811540,ACH-000992
811541,ACH-000992
828334,ACH-000993
847220,ACH-000995
847221,ACH-000995
858385,ACH-000996
858386,ACH-000996
858387,ACH-000996
869105,ACH-000997
879548,ACH-000998
903722,ACH-000999
903723,ACH-000999
903724,ACH-000999
928441,ACH-001081
928442,ACH-001081
928443,ACH-001081
945378,ACH-001136
973449,ACH-001307
982415,ACH-001340
989146,ACH-001345
1006022,ACH-001386
1014020,ACH-001412
1022156,ACH-001459
1049815,ACH-001550
1055279,ACH-001560
1060480,ACH-001568
1113267,ACH-002109
1116661,ACH-002121
1134199,ACH-002166
1143873,ACH-002184
1150326,ACH-002201
1190194,ACH-002267
1224727,ACH-002341
