,CDH1 (999)
ACH-000004,-0.1964072645949338
ACH-000005,0.17427801114819588
ACH-000007,0.12821919529253356
ACH-000009,-0.3047614314113657
ACH-000011,0.02684209485294616
ACH-000012,-0.031523738461827974
ACH-000013,-0.13847001022119315
ACH-000014,-0.0898329980823032
ACH-000015,-0.05534715597848794
ACH-000017,-0.2531734875245307
ACH-000018,-0.23402022437761566
ACH-000019,-0.4227765115237662
ACH-000021,-0.4326278378217792
ACH-000022,0.27465304340779245
ACH-000025,-0.25546658451306264
ACH-000028,0.2377089849752948
ACH-000030,-0.028469146401941637
ACH-000035,0.0910904809162797
ACH-000036,-0.11986697416138932
ACH-000037,0.05677300477279535
ACH-000039,-0.04149109539005882
ACH-000040,-0.0979995758609456
ACH-000041,-0.05735728221009635
ACH-000042,-0.3727149742531291
ACH-000045,-0.06907018041690527
ACH-000047,-0.05128268503317687
ACH-000052,-0.2441566331350679
ACH-000053,-0.09024253859124386
ACH-000054,-0.15291025142440628
ACH-000055,-0.21356193338761184
ACH-000060,-0.6559032397870911
ACH-000067,-0.15743201192494274
ACH-000070,-0.03232191963422837
ACH-000075,0.033233976645840935
ACH-000078,-0.18607551026611668
ACH-000082,-0.11656232722412045
ACH-000085,-0.17289583956083693
ACH-000086,-0.15793326431720847
ACH-000087,-0.11820059159500867
ACH-000092,-0.13713577680898756
ACH-000095,-0.1441533732288509
ACH-000097,-0.2394143385620095
ACH-000098,-0.1929060516033824
ACH-000099,-0.048991513228030505
ACH-000108,-0.024371134534930717
ACH-000113,-0.08487773195090778
ACH-000116,-0.045356246253867964
ACH-000118,-0.6401395281148675
ACH-000120,-0.13293137759005064
ACH-000123,-0.08304852897969439
ACH-000127,-0.10439447642482164
ACH-000128,-0.17327425255939075
ACH-000132,-0.2528455815324173
ACH-000133,-0.09250842052808528
ACH-000137,-0.3089797766442236
ACH-000138,-0.15387385666298445
ACH-000142,-0.25595055469729266
ACH-000143,0.08229429504722524
ACH-000146,-0.11454608307086785
ACH-000148,-0.2238107380041604
ACH-000150,-0.13881470943928
ACH-000152,-0.035436833910559365
ACH-000153,-0.1215097519786828
ACH-000159,-0.07490662265881556
ACH-000160,-0.1761833572606457
ACH-000163,-0.04254682670608245
ACH-000167,-0.027227990855024985
ACH-000168,-0.052658246135126485
ACH-000169,-0.0750116578806723
ACH-000178,-0.04066716854977311
ACH-000183,-0.016817791008532482
ACH-000188,-0.07521631673677467
ACH-000189,-0.07718987672132151
ACH-000190,0.03183686876139088
ACH-000198,-0.006422498497042213
ACH-000203,-0.032726550266338666
ACH-000204,-0.1911889805018556
ACH-000206,0.06991699388086131
ACH-000207,-0.11915458314670495
ACH-000208,-0.09420086716606334
ACH-000210,-0.2281118553138971
ACH-000211,-0.09536785048269897
ACH-000215,-0.1633034818047219
ACH-000221,-0.11863428671346478
ACH-000222,-0.10762995575962388
ACH-000223,-0.2589897025110701
ACH-000226,-0.03467442917722363
ACH-000227,-0.23029448238040615
ACH-000228,-0.0576010985751589
ACH-000231,-0.11938443296054416
ACH-000232,-0.2338846147346311
ACH-000233,-0.05396326867704281
ACH-000234,-0.1130538382969716
ACH-000235,-0.6810447324928275
ACH-000237,-0.03364057054627742
ACH-000238,-0.01953668058204329
ACH-000242,-0.15014227458509696
ACH-000243,-0.1112547997364072
ACH-000244,-0.14791009632712926
ACH-000246,0.061426014782863775
ACH-000248,0.14569065071415474
ACH-000250,-0.11430943849663115
ACH-000251,-0.11987075545306144
ACH-000252,-0.8055091961341113
ACH-000253,0.1318009011303533
ACH-000255,-0.15598592842200146
ACH-000256,-0.2139731479706808
ACH-000257,-0.29601607414789977
ACH-000258,0.29333116366665163
ACH-000259,-0.14992416859933758
ACH-000260,-0.06315861569589863
ACH-000261,-0.1894687610534504
ACH-000262,0.014990378786598474
ACH-000263,-0.2724927850295443
ACH-000264,-0.06007424419516383
ACH-000265,-0.11064458063769712
ACH-000266,-0.10924531619775836
ACH-000272,-0.08274986042391637
ACH-000274,-0.05107697360274868
ACH-000277,-0.4533523438735398
ACH-000278,-0.10286817116704616
ACH-000279,-0.15778635860068502
ACH-000280,-0.3597843608883247
ACH-000281,-0.1318314123400477
ACH-000288,-0.12211733385870957
ACH-000291,-0.1862798379851712
ACH-000293,-0.19551677343287852
ACH-000294,-0.16938660733636834
ACH-000295,0.10348818555186036
ACH-000296,-0.1806959745339719
ACH-000302,0.04637907823126067
ACH-000304,-0.30176858804771817
ACH-000307,-0.22184597121263808
ACH-000308,-0.07337026985289542
ACH-000310,-0.2867953031097817
ACH-000311,-0.001211144958667812
ACH-000312,-0.2257384431168925
ACH-000315,0.1958760493667172
ACH-000316,0.030108754370605662
ACH-000317,-0.12811230640296578
ACH-000318,-0.03713432580766452
ACH-000319,-0.046606684825636235
ACH-000320,0.09838585542436383
ACH-000322,-0.15315713241211315
ACH-000323,-0.12153551745362695
ACH-000324,-0.004188875577670566
ACH-000329,-0.11116570729169199
ACH-000330,-0.14872789467550124
ACH-000331,-0.09507253943673104
ACH-000332,0.1124524224393292
ACH-000334,-0.1826209742060416
ACH-000335,-0.2920770345528589
ACH-000336,0.12522122576868622
ACH-000337,-0.09291404481095968
ACH-000338,0.008274953194690274
