,CDRT1 (374286)
ACH-000004,-0.14602332866026432
ACH-000005,-0.0023613590338591927
ACH-000007,0.08045395880161425
ACH-000009,-0.05025246398874324
ACH-000011,-0.07188665435898905
ACH-000012,0.03480431746494813
ACH-000013,-0.17258266005932715
ACH-000014,-0.15393092156462174
ACH-000015,-0.04903835283457877
ACH-000017,-0.03259584326699635
ACH-000018,0.02758604784700073
ACH-000019,0.1587973984157965
ACH-000021,0.0035297560695282475
ACH-000022,-0.08050792180662643
ACH-000025,-0.1145083596429306
ACH-000028,0.07230463272476714
ACH-000030,-0.035248909256092587
ACH-000035,-0.0957442020023066
ACH-000036,-0.024406762371330826
ACH-000037,-0.02428515004577016
ACH-000039,0.08714797159483276
ACH-000040,-0.1650716413280784
ACH-000041,-0.0329277978967806
ACH-000042,-0.199823737723974
ACH-000045,0.02139832821294397
ACH-000047,-0.056312844746334814
ACH-000052,0.18926115357992407
ACH-000053,-0.019085018338276544
ACH-000054,-0.015356499071086169
ACH-000055,-0.19330866920258102
ACH-000060,-0.15732368452431994
ACH-000067,0.009794653778628737
ACH-000070,0.1898737605648366
ACH-000075,0.06296740711625293
ACH-000078,-0.04768019893061213
ACH-000082,-0.2561311128722461
ACH-000085,0.26193081143354313
ACH-000086,0.1281604966817948
ACH-000087,-0.1052593731622814
ACH-000092,0.03128797334625005
ACH-000095,-0.10754393122794802
ACH-000097,-0.0013612121899026215
ACH-000098,-0.09434798550250063
ACH-000099,-0.08690635787163127
ACH-000108,-0.043315697547820865
ACH-000113,-0.0020676249786250717
ACH-000116,-0.004770753701571364
ACH-000118,-0.034344677267624565
ACH-000120,-0.008782024894983526
ACH-000123,0.04022894149447648
ACH-000127,-0.16349455684971895
ACH-000128,0.05941517005595321
ACH-000132,0.005903871599623471
ACH-000133,-0.09659429294780704
ACH-000137,0.15398983371850478
ACH-000138,-0.17129008315061225
ACH-000142,-0.15436899792195802
ACH-000143,-0.07996215378149063
ACH-000146,-0.04807294406222243
ACH-000148,-0.09378239748030016
ACH-000150,0.06196961963060811
ACH-000152,-0.3651094166986892
ACH-000153,-0.29837971811622593
ACH-000159,-0.013616920050851406
ACH-000160,-0.04502228363972679
ACH-000163,0.10901796328854917
ACH-000167,-0.13318761068739135
ACH-000168,0.12656424818935325
ACH-000169,-0.013782467859271223
ACH-000178,0.012085656344085635
ACH-000183,-0.042192347964019536
ACH-000188,-0.12560946326689554
ACH-000189,-0.010849721223303658
ACH-000190,-0.0584612506427934
ACH-000198,-0.11108322336158194
ACH-000203,0.018639851407152727
ACH-000204,-0.3780286962561029
ACH-000206,-0.0047280873090027225
