,CNNM4 (26504)
ACH-000004,-0.08428422473272211
ACH-000005,-0.05624589574887463
ACH-000007,0.06385803477567363
ACH-000009,-0.09139786733293756
ACH-000011,0.016653441351456747
ACH-000012,-0.14572091769041948
ACH-000013,-0.15553588151765108
ACH-000014,-0.1218920005892313
ACH-000015,-0.039144495520350514
ACH-000017,0.2792229893920796
ACH-000018,-0.12174106956964685
ACH-000019,-0.06052709884361341
ACH-000021,0.003135683411584645
ACH-000022,0.04555349185623783
ACH-000025,-0.03641959415382129
ACH-000028,-0.10779738823566193
ACH-000030,-0.13738659021829971
ACH-000035,-0.18773927686754827
ACH-000036,0.026552778516569703
ACH-000037,-0.19151771392998526
ACH-000039,-0.01568912687295911
ACH-000040,-0.07368334534003686
ACH-000041,-0.07039812069140171
ACH-000042,0.15690013593825566
ACH-000045,-0.05588991238910708
ACH-000047,-0.07736501385984297
ACH-000052,0.03636336122474322
ACH-000053,-0.06594453958796083
ACH-000054,-0.05813049494162705
ACH-000055,-0.16562199396143454
ACH-000060,-0.022990244543451333
ACH-000067,-0.03095557953011097
ACH-000070,0.025467996303711438
ACH-000075,0.10970211643151373
ACH-000078,-0.01008451822186023
ACH-000082,-0.010542963321274315
ACH-000085,-0.07082960331667974
ACH-000086,-0.11083218234166768
ACH-000087,-0.019267932614789436
ACH-000092,-0.18895324832147406
ACH-000095,-0.07046532220339162
ACH-000097,-0.038431565203433035
ACH-000098,-0.2365383204317557
ACH-000099,0.004221866308380729
ACH-000108,-0.14070379786232126
ACH-000113,0.0026984842012306148
ACH-000116,-0.027314321138720427
ACH-000118,-0.06185796580778211
ACH-000120,-0.05940347569568207
ACH-000123,-0.13542822726520287
ACH-000127,-0.0589837486171137
ACH-000128,-0.09621018408226556
ACH-000132,-0.05410092316317889
ACH-000133,-0.1511332360242881
ACH-000137,-0.18586384825483346
ACH-000138,0.047622102265596766
ACH-000142,0.12485351458324193
ACH-000143,0.04629319177763308
ACH-000146,-0.09328671102028703
ACH-000148,0.0195139504158199
ACH-000150,0.03280225667216526
ACH-000152,-0.06965380389737448
ACH-000153,-0.09055187516082523
ACH-000159,-0.1288623319282381
ACH-000160,-0.09487791642219502
ACH-000163,-0.040108169197824416
ACH-000167,0.18366982304104373
ACH-000168,-0.0253105804307112
ACH-000169,-0.033204322757341545
ACH-000178,-0.0738186463715214
ACH-000183,-0.11041314546731824
ACH-000188,-0.10093419322738544
ACH-000189,-0.20855038550640645
ACH-000190,-0.1938852580454929
ACH-000198,-0.07710378422166866
ACH-000203,-0.3687328504038248
ACH-000204,0.10835279780224437
ACH-000206,-0.07731802451720048
ACH-000207,0.17739584938752107
ACH-000208,-0.22089802237213965
ACH-000210,-0.1571324125327717
ACH-000211,-0.1485019147236553
ACH-000215,0.06636656039935566
ACH-000221,-0.16559756413662632
ACH-000222,-0.15819503452936504
ACH-000223,-0.1374130479744544
ACH-000226,-0.08063968520796774
ACH-000227,-0.05011666440330445
ACH-000228,-0.08274813442738893
ACH-000231,-0.08692755168438479
ACH-000232,-0.0935656898519892
ACH-000233,-0.08995685075997296
ACH-000234,-0.1577630270362406
ACH-000235,-0.06022872579973265
ACH-000237,-0.07802876080816798
ACH-000238,0.07187601598325569
ACH-000242,0.1126881828049221
ACH-000243,-0.07139399213845864
ACH-000244,-0.0047427024066466926
ACH-000246,-0.08750125013072238
ACH-000248,0.02977167113830102
ACH-000250,-0.15297663895855784
ACH-000251,0.05742315755082175
ACH-000252,-0.0812541697408724
ACH-000253,0.019400712915010155
ACH-000255,-0.11704922817051898
ACH-000256,-0.009269112645703494
ACH-000257,-0.09716783356662158
ACH-000258,-0.01235675375796897
ACH-000259,-0.007622268444847782
ACH-000260,-0.002932102697557686
ACH-000261,-0.050442393462568236
ACH-000262,-0.03559697375020331
ACH-000263,-0.1294989061221168
ACH-000264,-0.030458795972783843
ACH-000265,-0.14834087424961487
ACH-000266,0.010960016314517415
ACH-000272,-0.08262644827127337
ACH-000274,-0.03545804777008904
ACH-000277,-0.02436772877495831
ACH-000278,-0.09375418748003801
ACH-000279,-0.032350015762130424
ACH-000280,-0.09597088041351386
ACH-000281,0.05494703327486206
ACH-000288,-0.09969566978158874
ACH-000291,-0.033409002847730886
ACH-000293,-0.272915557387286
ACH-000294,-0.14467732431948147
ACH-000295,0.01713506373567803
ACH-000296,0.010436711851122587
ACH-000302,-0.0647777879614761
ACH-000304,-0.1588841037899489
ACH-000307,0.047533401316992574
ACH-000308,-0.13059611737720275
ACH-000310,0.006399266245295843
ACH-000311,-0.13223340870043274
ACH-000312,-0.053353486896420214
ACH-000315,-0.1538435895611913
ACH-000316,-0.08519370272954466
ACH-000317,0.01899736931241557
ACH-000318,-0.09688471378796797
ACH-000319,-0.05804596190897522
ACH-000320,-0.05120139937400135
ACH-000322,-0.14412212109203065
ACH-000323,-0.010531781437554124
ACH-000324,-0.06040876587472184
ACH-000329,-0.09620338652794794
ACH-000330,-0.10987037178683763
ACH-000331,-0.15407140634269778
ACH-000332,0.02306476394176197
ACH-000334,-0.013487140727938818
ACH-000335,-0.20912271990969314
ACH-000336,-0.04260699970439625
ACH-000337,0.13400629710737044
ACH-000338,0.3501344482549204
ACH-000339,-0.02320369221586329
ACH-000341,-0.22586357762754494
ACH-000348,-0.060076976204237326
ACH-000350,0.13143490889091175
ACH-000352,0.06828170849448986
ACH-000356,0.008717927768310329
ACH-000361,-0.04184926037262922
ACH-000362,-0.043672290958269334
ACH-000363,-0.04863690348571858
ACH-000364,-0.2632753178141012
ACH-000365,0.0368309503533457
ACH-000366,0.022861127260176424
ACH-000368,-0.046421038369580926
