,CORO7 (79585)
ACH-000004,-0.06381669350361721
ACH-000005,-0.0802553392895158
ACH-000007,-0.3059647853031168
ACH-000009,0.024241704889838827
ACH-000011,-0.08143295491030603
ACH-000012,-0.11881058633099538
ACH-000013,-0.14674390680144891
ACH-000014,-0.12675679423391645
ACH-000015,-0.19170169104124185
ACH-000017,-0.11682377118249955
ACH-000018,-0.043933066433158585
ACH-000019,0.008073729073552628
ACH-000021,-0.06904719215511007
ACH-000022,-0.024274411210690062
ACH-000025,-0.14399587260126248
ACH-000028,-0.04983546043214802
ACH-000030,0.018133236977339817
ACH-000035,-0.1795573842814118
ACH-000036,-0.3554448854651233
ACH-000037,-0.15579148279036925
ACH-000039,0.004434588410011498
ACH-000040,-0.17099688120377726
ACH-000041,-0.03740108867778202
ACH-000042,-0.08588005486156948
ACH-000045,-0.004369138561126451
ACH-000047,-0.3793044307403551
ACH-000052,-0.06622358756683185
ACH-000053,-0.12523789910258906
ACH-000054,-0.0560541087989356
ACH-000055,-0.17595552742085235
ACH-000060,-0.0701175136946738
ACH-000067,-0.028246242926302376
ACH-000070,-0.12466395517284748
ACH-000075,-0.1605375177496896
ACH-000078,0.029542562870999312
ACH-000082,-0.1722857098392447
ACH-000085,-0.13357447145223206
ACH-000086,-0.0703501825665392
ACH-000087,0.010972384397505364
ACH-000092,-0.0996047033188986
ACH-000095,-0.11541372530549256
ACH-000097,-0.3191699200392881
ACH-000098,-0.13079642811126435
ACH-000099,-0.011665462548795951
ACH-000108,-0.1496951041902099
ACH-000113,-0.13640944975008398
ACH-000116,-0.2343092097625355
ACH-000118,-0.17027336375208132
ACH-000120,-0.08172907928046416
ACH-000123,-0.12188481840845446
ACH-000127,-0.005076147230227551
ACH-000128,-0.06064235609807521
ACH-000132,-0.05379289993848205
ACH-000133,-0.17084326722705753
ACH-000137,-0.13429846615561233
ACH-000138,-0.09304508342133014
ACH-000142,-0.17852738672631782
ACH-000143,-0.060212955178538474
ACH-000146,-0.12025949913373872
ACH-000148,-0.2160667752214248
ACH-000150,-0.29934963676444953
ACH-000152,-0.05966644363915018
ACH-000153,0.0004788587624580571
ACH-000159,-0.03837273861085657
ACH-000160,-0.04406513975423139
ACH-000163,-0.06581810659618564
ACH-000167,-0.15658607751446532
ACH-000168,-0.04390864715145085
ACH-000169,-0.08535567086951944
ACH-000178,-0.14178830483779625
ACH-000183,0.046544403277152466
ACH-000188,0.0544010011766309
ACH-000189,-0.31175420083323385
ACH-000190,0.002759741098863883
ACH-000198,0.029379901176829613
ACH-000203,-0.06306385075928103
ACH-000204,-0.05310689033661547
ACH-000206,0.11861498005960253
ACH-000207,-0.1059064517388234
ACH-000208,-0.3029649618936111
ACH-000210,0.03062893794635464
ACH-000211,-0.05518302694108323
ACH-000215,-0.16135613894135678
ACH-000221,0.012854367992266628
ACH-000222,-0.226320461371603
ACH-000223,-0.043817858091626666
ACH-000226,-0.17367181125696707
ACH-000227,-0.2139042268027309
ACH-000228,-0.09214253421543628
ACH-000231,-0.2825837411411065
ACH-000232,-0.1115800796535275
ACH-000233,-0.0042033974823098745
ACH-000234,-0.17693360415987658
ACH-000235,-0.15247096874978092
ACH-000237,-0.13187780167249188
ACH-000238,0.040655316143330164
ACH-000242,-0.28443759939668706
ACH-000243,-0.1338596928186755
ACH-000244,0.09232867478973716
ACH-000246,-0.16515098688334787
ACH-000248,-0.12257428915391633
ACH-000250,-0.07439485716419021
ACH-000251,-0.033114217329837395
ACH-000252,-0.011035798943053005
ACH-000253,-0.05656320616870175
ACH-000255,0.2139496957584073
ACH-000256,-0.1263070530774898
ACH-000257,-0.042175268705624026
ACH-000258,0.10116668944648308
ACH-000259,-0.1206353630546633
ACH-000260,-0.1821445645170447
ACH-000261,-0.12680292559061732
ACH-000262,-0.07442923352167949
ACH-000263,-0.13165247199211388
ACH-000264,-0.14813208628207053
ACH-000265,-0.11605470919114767
ACH-000266,-0.01765830596952825
ACH-000272,-0.057739794747005024
ACH-000274,-0.07203053465094747
ACH-000277,-0.16557369646377335
ACH-000278,0.010631592327156162
ACH-000279,-0.024269313365901872
ACH-000280,-0.20384709406284385
ACH-000281,-0.032576664016112686
ACH-000288,-0.1850808994043088
ACH-000291,-0.051702642283207735
ACH-000293,-0.10362796508299416
ACH-000294,0.10188696347667428
ACH-000295,-0.24690360505276224
ACH-000296,-0.12387156811439586
ACH-000302,-0.03246627557231563
ACH-000304,0.09315036758112273
ACH-000307,0.009872628693955485
ACH-000308,-0.12643340038181075
ACH-000310,0.021579367813534298
ACH-000311,0.010833993157418466
ACH-000312,0.05966600321059844
ACH-000315,-0.13157126627893373
ACH-000316,-0.14539901565156785
ACH-000317,-0.0008702832848208881
ACH-000318,-0.03363069648901685
ACH-000319,-0.17574708936008646
ACH-000320,-0.058283665424204614
ACH-000322,-0.1446399917907532
ACH-000323,-0.12895545268831296
ACH-000324,-0.11111728939640858
ACH-000329,-0.19933698140623424
ACH-000330,-0.10834465742855716
ACH-000331,-0.2164518792145129
ACH-000332,-0.09868225397810937
ACH-000334,0.009028432631040549
ACH-000335,-0.09435240129842933
ACH-000336,-0.3519627766083468
ACH-000337,-0.047960417723981866
ACH-000338,0.02898486411200435
ACH-000339,-0.07934853886683978
ACH-000341,0.09173907807437852
ACH-000348,0.014055586426239698
ACH-000350,-0.1327099343824246
ACH-000352,-0.09117912646441874
ACH-000356,-0.2880631754640199
ACH-000361,-0.17586757817090695
ACH-000362,-0.06603171504122518
ACH-000363,-0.07054029699368279
ACH-000364,-0.03321367388506945
ACH-000365,0.021282517852431643
ACH-000366,-0.03862572707177549
ACH-000368,-0.3866208011511892
ACH-000374,-0.014531486164725525
ACH-000375,-0.2807664039046713
ACH-000376,0.051891650001568784
ACH-000381,-0.12358890783938856
ACH-000383,-0.14890583976123453
ACH-000387,-0.164316447645697
ACH-000389,-0.14515730195783993
ACH-000390,-0.1499970990773905
ACH-000393,-0.08597804581941781
ACH-000395,-0.08041591456183733
ACH-000396,-0.15251638812212145
ACH-000397,-0.21658696416875084
ACH-000401,-0.31428068927265085
ACH-000402,-0.031780263842481615
ACH-000403,-0.1502267036093698
ACH-000404,-0.1836070918771737
