,DepMap_ID
15775,ACH-000041
21611,ACH-000065
21612,ACH-000065
45710,ACH-000141
52152,ACH-000163
53658,ACH-000169
72727,ACH-000232
89322,ACH-000282
90344,ACH-000286
91037,ACH-000288
91038,ACH-000288
120210,ACH-000366
125940,ACH-000381
143634,ACH-000426
171613,ACH-000494
177339,ACH-000510
179186,ACH-000514
209767,ACH-000584
252996,ACH-000670
256513,ACH-000676
266271,ACH-000695
277389,ACH-000715
297576,ACH-000752
302539,ACH-000760
308191,ACH-000769
323154,ACH-000786
323155,ACH-000786
323156,ACH-000786
323157,ACH-000786
323158,ACH-000786
323159,ACH-000786
323160,ACH-000786
323161,ACH-000786
323162,ACH-000786
323163,ACH-000786
323164,ACH-000786
323165,ACH-000786
323166,ACH-000786
323167,ACH-000786
323168,ACH-000786
323169,ACH-000786
323170,ACH-000786
323171,ACH-000786
389979,ACH-000829
439731,ACH-000883
469656,ACH-000909
475807,ACH-000913
511687,ACH-000931
540265,ACH-000943
571301,ACH-000954
576440,ACH-000955
582942,ACH-000957
620703,ACH-000968
623533,ACH-000969
636207,ACH-000972
636208,ACH-000972
643453,ACH-000974
665110,ACH-000979
669551,ACH-000980
672613,ACH-000981
702468,ACH-000986
717341,ACH-000988
724242,ACH-000989
732044,ACH-000990
745458,ACH-000991
745459,ACH-000991
758407,ACH-000992
758408,ACH-000992
758409,ACH-000992
758410,ACH-000992
758411,ACH-000992
758412,ACH-000992
758413,ACH-000992
758414,ACH-000992
758415,ACH-000992
758416,ACH-000992
758417,ACH-000992
758418,ACH-000992
758419,ACH-000992
758420,ACH-000992
758421,ACH-000992
758422,ACH-000992
758423,ACH-000992
758424,ACH-000992
758425,ACH-000992
758426,ACH-000992
758427,ACH-000992
758428,ACH-000992
758429,ACH-000992
758430,ACH-000992
758431,ACH-000992
758432,ACH-000992
758433,ACH-000992
758434,ACH-000992
758435,ACH-000992
758436,ACH-000992
758437,ACH-000992
821571,ACH-000993
821572,ACH-000993
830167,ACH-000994
870881,ACH-000998
870882,ACH-000998
882366,ACH-000999
908878,ACH-001023
909250,ACH-001024
913522,ACH-001041
921678,ACH-001081
921679,ACH-001081
953580,ACH-001173
983876,ACH-001345
1007411,ACH-001398
1015521,ACH-001415
1042577,ACH-001546
1044756,ACH-001550
1044757,ACH-001550
1044758,ACH-001550
1051665,ACH-001552
1065519,ACH-001610
1095180,ACH-001790
1098659,ACH-002029
1110342,ACH-002100
1189280,ACH-002265
1189951,ACH-002267
1190494,ACH-002269
1191757,ACH-002272
1210539,ACH-002309
1228342,ACH-002357
1235883,ACH-002389
