,CYP4F12 (66002)
ACH-000004,-0.10893500281580333
ACH-000005,-0.1250073251604732
ACH-000007,0.16083637779977733
ACH-000009,0.08998157294073213
ACH-000011,0.17269142675759336
ACH-000012,0.11185377184861917
ACH-000013,-0.027916775659874767
ACH-000014,0.021394248308585984
ACH-000015,-0.10400839379944944
ACH-000017,-0.08740721036493859
ACH-000018,-0.12341825875885737
ACH-000019,-0.06717385875858581
ACH-000021,-0.10048758024504703
ACH-000022,-0.10261863956253063
ACH-000025,0.0714957656394023
ACH-000028,-0.07623809500355741
ACH-000030,-0.11612427439361345
ACH-000035,-0.03909465289646614
ACH-000036,-0.0009098083626256203
ACH-000037,-0.2127209293569914
ACH-000039,-0.16540755433140686
ACH-000040,-0.15187212227202454
ACH-000041,0.002701052036022923
ACH-000042,-0.02774780755232651
ACH-000045,-0.1682672178283167
ACH-000047,-0.05083385750251836
ACH-000052,-0.06926033629299458
ACH-000053,-0.027983599442826516
ACH-000054,-0.008086944843177915
ACH-000055,-0.0416510725695671
ACH-000060,0.0715814037105339
ACH-000067,0.026206431700747712
ACH-000070,-0.03669966202621228
ACH-000075,0.09467605808625727
ACH-000078,-0.12548257500408078
ACH-000082,-0.12847090706498698
ACH-000085,0.06576709736950981
ACH-000086,-0.1168824311188451
ACH-000087,0.02621382754751083
ACH-000092,0.012845971362719538
ACH-000095,-0.25642735966439817
ACH-000097,-0.05595213592169319
ACH-000098,-0.0988842623246741
ACH-000099,-0.007278804787977182
ACH-000108,-0.06433173680741168
ACH-000113,-0.022858315538955426
ACH-000116,-0.18106198502995668
ACH-000118,-0.0602878713157248
ACH-000120,0.07485334309292765
ACH-000123,0.040373203564205234
ACH-000127,-0.2423527634976805
ACH-000128,-0.12917787729675276
ACH-000132,0.023940661177877718
ACH-000133,-0.0034725532911677893
ACH-000137,-0.01950740905512222
ACH-000138,-0.12976525762473648
ACH-000142,-0.0432238658284843
ACH-000143,-0.3399735319787106
ACH-000146,-0.15176156202959126
ACH-000148,-0.033964638427222665
ACH-000150,0.07562768369626638
ACH-000152,-0.09614709483074199
ACH-000153,0.08586951999481805
ACH-000159,-0.013142336058555042
ACH-000160,-0.11313138630004918
ACH-000163,-0.2371778375793551
ACH-000167,-0.4445607527959367
ACH-000168,-0.0687046121210178
ACH-000169,0.08839190989969622
ACH-000178,-0.08646360922552529
ACH-000183,-0.04481119336877095
ACH-000188,-0.12565162074021322
ACH-000189,-0.2571015085271629
ACH-000190,0.0020701722120897133
ACH-000198,-0.08910907168935653
ACH-000203,0.6075114064651467
ACH-000204,-0.13092423333811065
ACH-000206,0.06966071939266373
ACH-000207,-0.08122952081326322
ACH-000208,-0.23816061306505534
ACH-000210,-0.2716097986977579
ACH-000211,-0.02201767371989872
ACH-000215,0.04573793608042436
ACH-000221,-0.10885912723587324
ACH-000222,0.13886866993786218
ACH-000223,0.04513236724870034
ACH-000226,-0.009170647234410537
ACH-000227,0.027502957786988504
ACH-000228,-0.21298007527032373
ACH-000231,0.06263271933608056
ACH-000232,0.05007954900237463
ACH-000233,-0.1453110620854053
ACH-000234,-0.09191314560224527
ACH-000235,-0.0670311630832276
ACH-000237,-0.13838029526925888
ACH-000238,0.01703015126802919
ACH-000242,-0.031247825614679262
ACH-000243,-0.05338876151935845
ACH-000244,-0.19589689928961165
ACH-000246,-0.035204027206639184
ACH-000248,-0.07838827515881826
ACH-000250,-0.08318977746513448
ACH-000251,-0.3008881039677381
ACH-000252,0.048398535666292535
ACH-000253,-0.10703643973489306
ACH-000255,0.07362107909583071
ACH-000256,0.05297019192352153
ACH-000257,-0.1180772919209574
ACH-000258,-0.058210699520234034
ACH-000259,0.027650083452664558
ACH-000260,-0.008554819261155477
ACH-000261,-0.05015737734602084
ACH-000262,-0.11452120120613685
ACH-000263,-0.052052430343068085
ACH-000264,0.03316971078680708
ACH-000265,0.002985720195020415
ACH-000266,-0.02964471236729001
ACH-000272,-0.0889224999781622
ACH-000274,0.1139432244091766
ACH-000277,-0.013381202610992286
ACH-000278,-0.060704881661665634
ACH-000279,0.021758106305612503
ACH-000280,0.026845529523133668
ACH-000281,-0.09474998012197766
ACH-000288,0.018615404908676574
ACH-000291,-0.1181089627899058
ACH-000293,0.029952705301219545
ACH-000294,-0.2380264757161577
ACH-000295,-0.14393022312619164
ACH-000296,-0.2017014587000769
ACH-000302,-0.10492872879476578
ACH-000304,0.048060595856143286
ACH-000307,-0.08808843395610395
ACH-000308,0.03483746167268389
ACH-000310,-0.045274647779935125
ACH-000311,0.04025848265827048
ACH-000312,-0.004748008605819793
ACH-000315,-0.20258713149266766
ACH-000316,0.056756855681985005
ACH-000317,0.07742098391442055
ACH-000318,-0.22941573461032394
ACH-000319,-0.1413325118887395
ACH-000320,0.07439866286859967
ACH-000322,-0.039593051726657315
ACH-000323,-0.12757669226550886
ACH-000324,-0.018620632277229838
ACH-000329,-0.057249717802553626
ACH-000330,0.0138357025822882
ACH-000331,-0.06778703306558251
ACH-000332,-0.07487399947280311
ACH-000334,-0.12485371353141328
ACH-000335,-0.05636985945815561
ACH-000336,-0.2808351121610659
ACH-000337,0.002927885088810938
ACH-000338,0.053879163839293066
ACH-000339,-0.037536667356837854
ACH-000341,-0.19903415814391265
ACH-000348,-0.06905931342824652
ACH-000350,-0.03328295856920011
ACH-000352,-0.05091735821845336
ACH-000356,0.007566445924334544
ACH-000361,-0.19200234081057724
ACH-000362,-0.2422443413566317
ACH-000363,-0.013717359803573395
ACH-000364,-0.12211479445690028
ACH-000365,0.10130766114255127
ACH-000366,-0.08079881281063958
ACH-000368,-0.10443680519216313
ACH-000374,0.13169418345071196
ACH-000375,0.006895905680714997
ACH-000376,0.0494320928180185
ACH-000381,-0.08203126045752111
ACH-000383,0.017485634455650486
ACH-000387,-0.13164662812029582
ACH-000389,-0.06138483809146526
ACH-000390,-0.12312494942706972
ACH-000393,-0.13303387756329493
ACH-000395,-0.3565034935067873
ACH-000396,0.02540522433457813
ACH-000397,0.04541043995161655
ACH-000401,0.012375665208682373
ACH-000402,0.06178815472194048
ACH-000403,-0.10373393717885172
ACH-000404,-0.23931341203965675
ACH-000406,-0.041926066266672654
ACH-000407,0.0027251823366067646
ACH-000408,-0.13889302572211867
ACH-000410,0.00656254252002419
ACH-000411,0.013234735473069428
ACH-000414,-0.005079112862680922
ACH-000415,-0.05391430008816795
ACH-000416,-0.07768662776642322
ACH-000420,-0.13819984498266652
ACH-000421,0.00266415268645532
ACH-000424,-0.30657822278778235
ACH-000425,0.1086611247296426
ACH-000426,-0.058557748052678625
ACH-000427,0.02604100663102913
ACH-000433,-0.06723519631710033
ACH-000435,-0.07577544788694139
ACH-000436,0.037138411497810934
ACH-000444,-0.053485975683925185
ACH-000445,-0.09655629481582648
ACH-000448,-0.14187470064333815
ACH-000450,-0.14250454960160172
ACH-000452,-0.08551984412466054
ACH-000454,-0.25070940938992176
ACH-000458,-0.1538616526056772
ACH-000459,0.033551388456951214
ACH-000460,-0.08447773997072452
ACH-000461,-0.2937103637703032
ACH-000463,-0.004899319141591298
ACH-000464,-0.14946667213340772
ACH-000466,-0.18033261946364576
ACH-000467,0.04359987480333328
ACH-000468,-0.16921702377098108
ACH-000469,-0.06440901149558742
ACH-000470,-0.1175116071075314
ACH-000471,-0.07546541564062073
ACH-000472,-0.05512041949272408
ACH-000473,0.05355527186104369
ACH-000475,-0.014731671868531594
ACH-000476,0.033944332127877466
ACH-000477,-0.07556587787903983
ACH-000479,0.21371930880326487
ACH-000480,-0.04605524320954953
ACH-000481,-0.01796781944966018
ACH-000483,-0.019357613245613338
ACH-000484,0.16457649875363795
ACH-000485,-0.08148967674052968
ACH-000486,0.05905587851901694
ACH-000487,-0.07035602692489404
ACH-000488,-0.03199179190274569
ACH-000490,-0.003261503299249932
ACH-000491,-0.18189561086845674
ACH-000495,-0.0660173397531621
ACH-000496,-0.02375301260814399
ACH-000499,-0.2766933934443194
ACH-000500,0.32183122466546266
ACH-000502,-0.05118104429933101
ACH-000503,-0.25370048144736496
ACH-000505,-0.1387514779668674
ACH-000507,-0.145682617210884
ACH-000510,-0.0451521871789593
ACH-000511,0.01844049188548408
ACH-000512,-0.03130529779668733
ACH-000516,-0.023853924651795533
ACH-000517,-0.028591196303271487
ACH-000518,0.0203071337142616
ACH-000520,-0.03536251605993727
ACH-000521,0.025572267234404783
ACH-000522,-0.08637529721915367
ACH-000524,-0.08664351253686042
ACH-000527,-0.08869505697000415
ACH-000528,-0.033875147389857384
ACH-000537,-0.012356853803855669
ACH-000541,-0.03719885409143765
ACH-000542,-0.03355024223770795
ACH-000544,0.13481002003924306
ACH-000545,0.015911763262757433
ACH-000547,-0.1708249191724044
