,EXTL2 (2135)
ACH-000004,-0.2255779175909738
ACH-000005,-0.032192984668509735
ACH-000007,-0.0366101352690793
ACH-000009,-0.05625117754088428
ACH-000011,-0.08888388425459239
ACH-000012,-0.3761241512596595
ACH-000013,-0.224767373942327
ACH-000014,-0.007689441630900865
ACH-000015,-0.2153337481346583
ACH-000017,-0.3636024518396112
ACH-000018,-0.2932043319803708
ACH-000019,-0.21306112352888296
ACH-000021,-0.1709534791940768
ACH-000022,-0.06538959549271599
ACH-000025,-0.4351923163145231
ACH-000028,-0.26731337500506785
ACH-000030,-0.2684088726231672
ACH-000035,-0.3895267452057949
ACH-000036,-0.20028091065118794
ACH-000037,-0.07836365720859055
ACH-000039,-0.3201168324170278
ACH-000040,-0.3767920924327105
ACH-000041,-0.4122047450148752
ACH-000042,-0.15827208534535686
ACH-000045,-0.10251863233046707
ACH-000047,-0.2606089566609473
ACH-000052,-0.19700359898218228
ACH-000053,-0.21869568707104692
ACH-000054,-0.20725241063353167
ACH-000055,-0.27288511037542185
ACH-000060,-0.4384415766633046
ACH-000067,-0.4460464290091832
ACH-000070,-0.09700696679249547
ACH-000075,-0.17621789478545485
ACH-000078,-0.21339487488851974
ACH-000082,-0.0421496781991522
ACH-000085,-0.3123064904701172
ACH-000086,-0.4510897882888778
ACH-000087,-0.14801343034590386
ACH-000092,-0.4632099945013402
ACH-000095,-0.23832067940839374
ACH-000097,-0.17093264861466864
ACH-000098,-0.17432337949273125
ACH-000099,-0.20846298311382616
ACH-000108,0.015801298025924032
ACH-000113,-0.2034485808538982
ACH-000116,-0.11940062443268926
ACH-000118,-0.20281022187116834
ACH-000120,0.0072515000570761035
ACH-000123,-0.3522498167878519
ACH-000127,-0.20131451106249912
ACH-000128,-0.16466671694670526
ACH-000132,-0.23455344976538636
ACH-000133,-0.24876061789808795
ACH-000137,-0.4393531083979702
ACH-000138,-0.045763427506628034
ACH-000142,-0.23352213378249806
ACH-000143,-0.3024873261856517
ACH-000146,-0.20874598355309973
ACH-000148,-0.12259575694863213
ACH-000150,-0.13380011861911958
ACH-000152,-0.277719671666288
ACH-000153,-0.4046054048900897
ACH-000159,-0.2727984480087028
ACH-000160,-0.16335599512772644
ACH-000163,-0.2272058295323781
ACH-000167,-0.3709168893595951
ACH-000168,-0.2897620340644565
ACH-000169,-0.2337178937532147
ACH-000178,-0.2397080298412235
ACH-000183,-0.031212376335592526
ACH-000188,-0.29381451559945354
ACH-000189,-0.38599056138513455
ACH-000190,-0.14315788811585675
ACH-000198,-0.2448343426703132
ACH-000203,-0.005599484815844609
ACH-000204,-0.09620536710845684
ACH-000206,-0.09655059135234688
ACH-000207,-0.2253199147125537
ACH-000208,-0.4754265547311777
ACH-000210,-0.19736701713816307
ACH-000211,-0.2407223166302529
ACH-000215,-0.17931068406080325
ACH-000221,-0.2587890984507251
ACH-000222,-0.02974642176225225
ACH-000223,-0.22277465327702994
ACH-000226,-0.316392310679382
ACH-000227,-0.2742376283178097
ACH-000228,-0.07673689792067565
ACH-000231,-0.33636660725714324
ACH-000232,-0.10357510188287247
