,DepMap_ID
28935,ACH-000072
45533,ACH-000140
59794,ACH-000192
59795,ACH-000192
95241,ACH-000300
132959,ACH-000399
191384,ACH-000545
202310,ACH-000566
215060,ACH-000595
238952,ACH-000644
287126,ACH-000733
321539,ACH-000786
321540,ACH-000786
364106,ACH-000796
498740,ACH-000925
514962,ACH-000933
519740,ACH-000936
576333,ACH-000955
585803,ACH-000958
636095,ACH-000972
657516,ACH-000978
678133,ACH-000982
678134,ACH-000982
724000,ACH-000989
724001,ACH-000989
755084,ACH-000992
755085,ACH-000992
755086,ACH-000992
755087,ACH-000992
755088,ACH-000992
829868,ACH-000994
829869,ACH-000994
881594,ACH-000999
944171,ACH-001134
973766,ACH-001318
973767,ACH-001318
976957,ACH-001331
977694,ACH-001333
983691,ACH-001345
983692,ACH-001345
1006132,ACH-001390
1044555,ACH-001550
1062324,ACH-001578
1164084,ACH-002232
1177745,ACH-002256
