,DepMap_ID
16764,ACH-000046
29963,ACH-000076
31107,ACH-000081
89313,ACH-000282
110049,ACH-000339
112736,ACH-000347
142689,ACH-000424
153927,ACH-000451
154363,ACH-000452
178308,ACH-000512
203007,ACH-000568
217914,ACH-000601
284482,ACH-000728
297113,ACH-000751
362686,ACH-000795
391882,ACH-000831
404951,ACH-000848
442535,ACH-000885
473951,ACH-000912
477247,ACH-000914
481205,ACH-000916
481206,ACH-000916
498777,ACH-000925
508820,ACH-000930
552053,ACH-000947
595396,ACH-000961
612447,ACH-000966
628067,ACH-000970
651864,ACH-000977
669513,ACH-000980
672558,ACH-000981
745334,ACH-000991
830080,ACH-000994
848509,ACH-000996
848510,ACH-000996
882134,ACH-000999
882135,ACH-000999
908872,ACH-001023
969518,ACH-001277
977749,ACH-001333
997573,ACH-001369
1073595,ACH-001638
1209791,ACH-002307
