,FANCC (2176)
ACH-000004,-0.32165881516226946
ACH-000005,-0.19153920581911665
ACH-000007,-0.22327842930290426
ACH-000009,-0.3557376572052037
ACH-000011,-0.3616729678580697
ACH-000012,-0.20667104358462207
ACH-000013,-0.1819983053048165
ACH-000014,-0.3755715826492702
ACH-000015,-0.20691461943371556
ACH-000017,-0.16337695831282614
ACH-000018,-0.3463607644101423
ACH-000019,-0.21501879009391284
ACH-000021,-0.3101923339728241
ACH-000022,-0.20136537485420525
ACH-000025,-0.2445412743262125
ACH-000028,-0.2522495347487313
ACH-000030,-0.18148849077403076
ACH-000035,-0.33381876264445604
ACH-000036,-0.1575039778562535
ACH-000037,-0.2479114666713791
ACH-000039,-0.24629396167401346
ACH-000040,-0.3259794908268986
ACH-000041,-0.09998134647304714
ACH-000042,-0.21741189539646394
ACH-000045,-0.3125784347648451
ACH-000047,-0.2102298420850601
ACH-000052,-0.14081992632495088
ACH-000053,-0.19619175641871744
ACH-000054,-0.1814151240612729
ACH-000055,-0.2469944865119412
ACH-000060,-0.11469049146540837
ACH-000067,-0.16828301028695694
ACH-000070,-0.2353544119699052
ACH-000075,-0.214385453708224
ACH-000078,-0.2605065942882633
ACH-000082,-0.18456428849381745
ACH-000085,0.1306481152833888
ACH-000086,-0.0890579771291256
ACH-000087,-0.3769121793404081
ACH-000092,-0.1494635982002771
ACH-000095,-0.1918395044348708
ACH-000097,-0.12061332287789303
ACH-000098,-0.25174440000722337
ACH-000099,-0.3827683156021101
ACH-000108,-0.32979394034631154
ACH-000113,-0.6220654568755648
ACH-000116,-0.1049577434315606
ACH-000118,-0.439726761201822
ACH-000120,-0.19926596666129898
ACH-000123,-0.21578901850040585
ACH-000127,-0.2488350556035404
ACH-000128,-0.11678627495257993
ACH-000132,-0.5226746134218436
ACH-000133,-0.5484836540259409
ACH-000137,-0.211915298426593
ACH-000138,-0.22255609208726965
ACH-000142,-0.3884591158224801
ACH-000143,-0.10497947523547446
ACH-000146,-0.15145342414828813
ACH-000148,-0.3236137157902481
ACH-000150,-0.0528959693697837
ACH-000152,-0.4891680567120381
ACH-000153,-0.28990482667773315
ACH-000159,-0.24973438932663736
ACH-000160,-0.1563102080434716
ACH-000163,-0.1414005245780406
ACH-000167,-0.3614396609042921
ACH-000168,-0.12215036739235847
ACH-000169,-0.13102099116795374
ACH-000178,-0.07921010556611875
ACH-000183,-0.06982859226996857
ACH-000188,-0.2946256731119635
ACH-000189,-0.2397443647326693
ACH-000190,-0.2956664450684878
ACH-000198,-0.4300655043131536
ACH-000203,-0.6951118043070373
ACH-000204,-0.2945122975814573
ACH-000206,-0.4933634933848671
ACH-000207,-0.2582258801716329
ACH-000208,-0.07697562594206153
ACH-000210,-0.023454006842218152
ACH-000211,-0.26734719140146385
ACH-000215,-0.2244298391923016
ACH-000221,-0.08122853031901545
ACH-000222,-0.06501597533595667
ACH-000223,-0.22700466596512195
ACH-000226,-0.4286332068425332
ACH-000227,-0.2434803996127912
ACH-000228,-0.09796787720436896
ACH-000231,-0.24892542845849394
ACH-000232,-0.22012554346603574
ACH-000233,-0.3324603277234307
ACH-000234,-0.16141944711439868
ACH-000235,-0.17185080169266578
ACH-000237,-0.34124907667672816
ACH-000238,-0.3643264329443288
ACH-000242,-0.19611201696525865
ACH-000243,-0.16636039491724433
ACH-000244,-0.4639227611294202
ACH-000246,-0.3611535626202381
ACH-000248,-0.11753866036494402
ACH-000250,-0.18783435495492384
ACH-000251,-0.09526653096828104
ACH-000252,-0.20017264106080265
ACH-000253,-0.14833290840683686
ACH-000255,-0.25939537849942385
ACH-000256,-0.12098663283791047
ACH-000257,-0.06381444338564965
ACH-000258,-0.3686878886487281
ACH-000259,-0.332007686601511
ACH-000260,-0.06073602377526546
ACH-000261,-0.2893991342113705
ACH-000262,-0.3285266652151406
ACH-000263,-0.030456413588430344
ACH-000264,-0.30993292925903737
ACH-000265,-0.07665262082121317
ACH-000266,-0.20301620620352087
ACH-000272,-0.2558544162432885
ACH-000274,-0.1727333352964873
ACH-000277,-0.3452809502237221
ACH-000278,-0.4406790625957593
ACH-000279,-0.13128084550042496
ACH-000280,-0.248607159964315
ACH-000281,-0.1917986776584339
ACH-000288,-0.11892124771383185
ACH-000291,-0.21157000409585394
ACH-000293,-0.3899424397589623
ACH-000294,-0.14095194147324894
ACH-000295,-0.32881732607167136
ACH-000296,-0.3055696808270093
ACH-000302,-0.22361772680303674
ACH-000304,-0.36726006208592576
ACH-000307,-0.1577030696113825
ACH-000308,-0.13404564609528946
ACH-000310,-0.2720467222622522
ACH-000311,-0.2745643312702764
ACH-000312,-0.14501303798812
ACH-000315,-0.2247881621147554
ACH-000316,-0.18865692622866426
ACH-000317,-0.2723065986716757
ACH-000318,-0.09381303028164237
ACH-000319,-0.21409058403862904
ACH-000320,-0.24425255987040345
ACH-000322,-0.31294492889495795
ACH-000323,-0.3163639555550951
ACH-000324,-0.20331645614544114
ACH-000329,-0.2974675760965574
ACH-000330,-0.1863295514774463
ACH-000331,-0.006762507008618587
ACH-000332,-0.08743254224527433
ACH-000334,-0.016729535601891898
ACH-000335,-0.4526791485223123
ACH-000336,-0.541871267699907
ACH-000337,-0.1884953410604253
ACH-000338,0.019352782581574975
ACH-000339,-0.2919723559984044
ACH-000341,-0.37263150243655263
ACH-000348,-0.32250352754659495
ACH-000350,-0.13626612927552373
ACH-000352,-0.02845861223664665
ACH-000356,-0.2484052449840144
ACH-000361,-0.2398969667756303
ACH-000362,-0.4622282736430239
ACH-000363,-0.09205063009674924
ACH-000364,-0.5914531592788878
ACH-000365,-0.4610773951265518
ACH-000366,-0.11065392023465716
ACH-000368,-0.17908814457685768
ACH-000374,-0.24443059252258945
ACH-000375,-0.4442055321710137
ACH-000376,-0.17362321673850434
ACH-000381,-0.2601370361507928
ACH-000383,-0.18112893505203587
ACH-000387,-0.2320042488690521
ACH-000389,-0.20821200058049166
ACH-000390,-0.41752946001969454
ACH-000393,-0.23270813459350306
ACH-000395,-0.2043536562114146
ACH-000396,-0.41622526793492587
ACH-000397,-0.3013169447965129
ACH-000401,-0.2070932213560971
ACH-000402,0.09618929662424523
ACH-000403,-0.13505805007076105
ACH-000404,-0.18453523509596245
ACH-000406,-0.2619213351396463
ACH-000407,-0.4240782249383532
ACH-000408,-0.3689543411888535
ACH-000410,-0.467454200119414
ACH-000411,-0.06469724110673873
ACH-000414,-0.016783542748743982
ACH-000415,-0.3557204108841624
ACH-000416,-0.15221408446309914
ACH-000420,-0.05876826010290395
ACH-000421,-0.1933440357681732
ACH-000424,-0.2639837697779953
ACH-000425,-0.3069453577573937
ACH-000426,-0.1632157549797518
ACH-000427,-0.2243591291603184
ACH-000433,-0.1100042446867193
ACH-000435,-0.005238028601593733
ACH-000436,-0.0528547664992132
ACH-000444,-0.4110359589966358
ACH-000445,-0.3246947020246935
ACH-000448,-0.31945176216322924
ACH-000450,-0.4380577849197173
ACH-000452,-0.3113020696598766
ACH-000454,-0.3749706736849167
ACH-000458,-0.0641079488682485
ACH-000459,-0.450656885301734
ACH-000460,-0.1968984792818496
ACH-000461,-0.16627730010049818
ACH-000463,-0.26641063087495603
ACH-000464,-0.2638553003179942
ACH-000466,-0.24812917004257545
ACH-000467,-0.2376307411938207
ACH-000468,-0.16205652567227094
ACH-000469,-0.166551884668947
ACH-000470,-0.1721051519039705
ACH-000471,-0.22408426039970286
ACH-000472,-0.222804539788134
ACH-000473,-0.20713643579468927
ACH-000475,-0.14033517481337826
ACH-000476,-0.0730795557492595
ACH-000477,-0.22184673575390626
ACH-000479,-0.40392547496529996
ACH-000480,-0.09757619526972114
ACH-000481,-0.21271104187707754
ACH-000483,-0.28346154797431466
ACH-000484,-0.19840200075576345
ACH-000485,-0.08788970802573658
ACH-000486,-0.2027303056796133
ACH-000487,0.06822939015823051
ACH-000488,-0.17604758032585036
ACH-000490,-0.2441588068639252
ACH-000491,-0.008433941200082219
ACH-000495,-0.3715545469278575
ACH-000496,-0.18152768976686626
ACH-000499,-0.04176410173684835
ACH-000500,0.0231520302853566
ACH-000502,-0.24645070274440165
ACH-000503,-0.13614743524801975
ACH-000505,-0.2787897837020436
ACH-000507,-0.6514033825286232
ACH-000510,-0.2358315598796807
ACH-000511,-0.3143334516266752
ACH-000512,-0.7768288629102332
ACH-000516,-0.26130804008809344
ACH-000517,-0.14402055729221744
ACH-000518,-0.27053536564434577
ACH-000520,-0.1583170041100507
ACH-000521,-0.3509551390986753
ACH-000522,-0.2671242923203577
ACH-000524,-0.16328498994302487
ACH-000527,-0.12825305658172306
ACH-000528,-0.4460339380702936
ACH-000537,-0.33803449314663103
ACH-000541,0.15330530285090754
ACH-000542,-0.2773200847831861
ACH-000544,-0.4777089752757317
ACH-000545,-0.3616536866453784
ACH-000547,-0.16974459369788378
ACH-000548,-0.18223475127863956
ACH-000549,-0.18855336125616293
ACH-000550,-0.16347525210863054
ACH-000552,-0.13492432495295398
ACH-000556,-0.18686376850384834
ACH-000557,-0.047482082300738915
ACH-000569,-0.16570581473304868
ACH-000570,-0.2306582089244111
ACH-000571,-0.23019880911047874
ACH-000573,-0.2980215987495194
ACH-000576,-0.00034275821911940835
ACH-000579,-0.3331907659626487
ACH-000580,-0.3220048086682677
ACH-000584,-0.7217062307938846
ACH-000585,-0.2249129953125429
ACH-000588,-0.2634588754230381
ACH-000589,-0.1754240679800445
ACH-000591,-0.2361717676474714
ACH-000593,-0.2065723495890319
ACH-000600,-0.15030042794380394
ACH-000601,-0.04109030537965572
ACH-000605,-0.21466534643708668
ACH-000606,-0.26737723988552164
ACH-000608,-0.20527029278587314
ACH-000614,-0.2075853178830842
ACH-000616,-0.3430271756457029
ACH-000618,-0.19441988633537968
ACH-000619,-0.4932879158126574
ACH-000620,-0.2705502420948531
ACH-000621,-0.2373618039733345
ACH-000622,-0.2832145483670222
ACH-000623,-0.21445038284721546
ACH-000624,-0.33592978215073904
ACH-000627,-0.26218534316340203
ACH-000630,-0.11486832219932418
ACH-000631,-0.44764770941919546
ACH-000632,-0.17453535658312766
ACH-000633,-0.16403363673752658
ACH-000637,-0.27521505049834016
ACH-000638,-0.3805991155577693
ACH-000646,-0.17526688535405036
ACH-000647,-0.16528226309309033
ACH-000648,-0.26436320217622084
ACH-000649,-0.22968698602231385
ACH-000651,-0.20499859416625524
ACH-000652,-0.11650376679798186
ACH-000653,-0.04840417474967355
ACH-000657,-0.21982469540702584
ACH-000658,-0.07556958153843804
ACH-000661,-0.14867631081214924
ACH-000662,0.14143056679567925
ACH-000663,-0.2374089836729189
ACH-000665,-0.19604705681564868
ACH-000671,-0.20284431136398892
ACH-000672,-0.0389940461584516
ACH-000673,-0.02437474712639485
ACH-000676,-0.19488427383845894
ACH-000677,-0.3201420057218616
ACH-000681,-0.11172275552361016
ACH-000683,-0.4295994630304489
ACH-000684,-0.3960260773935748
ACH-000688,-0.3430465210261394
ACH-000693,-0.3897424631679374
ACH-000694,-0.19565741340480125
ACH-000695,-0.14805272685579715
ACH-000696,-0.2588245252425313
ACH-000697,-0.1212663222254036
ACH-000699,-0.2733924392011882
ACH-000701,0.056194334689371114
ACH-000706,-0.12341195697546307
ACH-000711,-0.1429459943737034
ACH-000713,-0.23766044284710675
ACH-000714,-0.12316402128207248
ACH-000718,-0.3785592863547708
ACH-000720,-0.31328481821953097
ACH-000721,-0.1208100073418704
ACH-000724,-0.255040025878792
ACH-000725,-0.216058977577092
ACH-000732,-0.10440970362767417
ACH-000734,-0.12076188028969252
ACH-000735,-0.2294858987830363
ACH-000736,-0.15512144887629592
ACH-000738,-0.3350686244183639
ACH-000746,-0.14995514144715882
ACH-000747,-0.11028103094171636
ACH-000748,-0.19709838379300654
ACH-000753,-0.14768038421524618
ACH-000756,-0.26400852824010484
ACH-000757,-0.31466643125524474
ACH-000758,-0.2763798985507596
ACH-000760,-0.19553303576349687
ACH-000762,-0.18065564321836794
ACH-000763,-0.18019607359306525
ACH-000764,-0.27836818137432273
ACH-000765,-0.3778414850855517
ACH-000766,0.02792492202090533
ACH-000767,-0.1173815741975472
ACH-000768,-0.582904217971735
ACH-000769,-0.2528446569694244
ACH-000770,-0.3216075154445899
ACH-000771,-0.1296059682990207
ACH-000773,-0.13936077643380612
ACH-000776,-0.26567850618483896
ACH-000777,-0.4653043863100327
ACH-000778,-0.18129730361064025
ACH-000781,-0.12119767202838015
ACH-000782,-0.6573281874511626
ACH-000783,-0.0949542754526842
ACH-000784,-0.2041034750142056
ACH-000785,-0.0655450446384037
ACH-000787,-0.2203962296688863
ACH-000788,-0.2824556822789982
ACH-000791,-0.22396209178408932
ACH-000792,-0.15006695535617273
ACH-000794,-0.3891789440841173
ACH-000796,-0.21318860133271647
ACH-000798,-0.23893488097615115
ACH-000799,-0.1782148756882184
ACH-000800,-0.15194373812184786
ACH-000802,-0.18746760499452586
ACH-000804,-0.145996003935833
ACH-000805,-0.2236834818573797
ACH-000809,-0.3204188110670493
ACH-000810,-0.2924357506612857
ACH-000811,-0.21258447104905226
ACH-000817,-0.3144057067282951
ACH-000819,-0.10982860378698778
ACH-000820,-0.5759192843066298
ACH-000821,-0.06272706379839081
ACH-000822,-0.2932434613614998
ACH-000823,-0.1925167570012784
ACH-000824,-0.26974897153710176
ACH-000827,-0.33694460793125963
ACH-000829,-0.4993919707083467
ACH-000831,0.02569685571705333
ACH-000832,-0.37564924272598704
ACH-000833,-0.25197471665791765
ACH-000834,-0.3387127988565813
ACH-000835,-0.4393138049420148
ACH-000836,-0.11318353726249188
ACH-000837,-0.2686449904156095
ACH-000838,-0.2345783918339965
ACH-000839,-0.2622821410333968
ACH-000840,-0.0050585553825664275
ACH-000841,-0.1421242862007377
ACH-000843,-0.24210003056428744
ACH-000846,-0.3685860672216734
ACH-000847,-0.14920281990576156
ACH-000848,-0.3065194425199912
ACH-000849,-0.3197558863293063
