,FBXO15 (201456)
ACH-000004,0.1403988696225157
ACH-000005,0.5112211392563814
ACH-000007,-0.04224930208660131
ACH-000009,-0.005240444038445868
ACH-000011,-0.2064516158237612
ACH-000012,0.0795371904313502
ACH-000013,0.02650081000149075
ACH-000014,-0.2312243719331305
ACH-000015,0.09658701547508433
ACH-000017,0.031555623827486376
ACH-000018,-0.08545151132975766
ACH-000019,0.195645034191072
ACH-000021,0.07616164936073244
ACH-000022,0.13430654033321432
ACH-000025,-0.014874419676335722
ACH-000028,0.02227957654778302
ACH-000030,-0.08496215618537066
ACH-000035,0.09413585654323753
ACH-000036,0.0683748044609538
ACH-000037,-0.09575970176349813
ACH-000039,-0.13170108056839724
ACH-000040,-0.09471914768250177
ACH-000041,0.1218078251130032
ACH-000042,-0.02412586383118516
ACH-000045,0.03357651931572084
ACH-000047,0.14038759886167718
ACH-000052,-0.0155815616001993
ACH-000053,0.017477916431033517
ACH-000054,0.07432348669660051
ACH-000055,-0.12416664808479745
ACH-000060,0.08082836710296468
ACH-000067,-0.025874194273189263
ACH-000070,0.1285895743837654
ACH-000075,0.01025618166652818
ACH-000078,-0.1642436810586067
ACH-000082,-0.019076838593758937
ACH-000085,0.20001946155716108
ACH-000086,0.14771585546528918
ACH-000087,0.08512663308022693
ACH-000092,0.056325895797799924
ACH-000095,0.029057155598876845
ACH-000097,-0.03595997663780885
ACH-000098,-0.031396823079644844
ACH-000099,-0.08427635431795752
ACH-000108,-0.040820428158319114
ACH-000113,0.04314917152069922
ACH-000116,0.012834989472774986
ACH-000118,0.1668541361536985
ACH-000120,-0.029000088265201587
ACH-000123,-0.0932048071736527
ACH-000127,0.08069207027535738
ACH-000128,0.03392191651781235
ACH-000132,0.0330200374381898
ACH-000133,0.10605798298587997
ACH-000137,0.0240814495323772
ACH-000138,0.1266692150757131
ACH-000142,0.06042468914215491
ACH-000143,-0.025384683119433326
ACH-000146,0.01644410931825459
ACH-000148,-0.026450675972779333
ACH-000150,0.0203066391623398
ACH-000152,0.02784264228484005
ACH-000153,-0.09647021402920432
ACH-000159,-0.061902744061906115
ACH-000160,0.05003047187530945
ACH-000163,0.033331554772743195
ACH-000167,0.116866562866571
ACH-000168,0.10914170942260604
ACH-000169,0.11008860357153237
ACH-000178,-0.009829661717445546
ACH-000183,0.0908431069120986
ACH-000188,-0.07630887696377595
ACH-000189,0.031522626093281984
ACH-000190,-0.03293499894812132
ACH-000198,0.07193391622831448
ACH-000203,-0.12501542855502806
ACH-000204,-0.1071051448497954
ACH-000206,-0.08174552495690092
ACH-000207,0.12610146684619006
ACH-000208,0.24238648256308565
ACH-000210,0.054754236937462064
ACH-000211,0.024147136620621342
ACH-000215,0.04950015563320586
ACH-000221,0.005899668487473529
ACH-000222,0.030403759411945626
ACH-000223,-0.11612045778622328
ACH-000226,0.044472889640421225
ACH-000227,-0.11153704165104143
ACH-000228,-0.11924884633834013
ACH-000231,0.07462330392871519
ACH-000232,0.04875379357315153
ACH-000233,-0.033010050850934745
ACH-000234,-0.05336240616594407
ACH-000235,0.019214728495310515
ACH-000237,0.044029592747605074
ACH-000238,-0.04327038801750163
ACH-000242,0.07605888774079847
ACH-000243,0.04777956696331054
ACH-000244,0.22553279596353376
ACH-000246,0.02617501612235538
ACH-000248,-0.0045402859003656395
ACH-000250,0.001920323898611974
ACH-000251,0.03935350123080778
ACH-000252,-0.017201442572686975
ACH-000253,-0.16042837596233928
ACH-000255,-0.029423066867385564
ACH-000256,-0.06313676182983502
ACH-000257,0.2481542302918717
ACH-000258,-0.05462838531304811
ACH-000259,-0.04268659174210152
ACH-000260,0.03675020545379418
ACH-000261,0.03421061591966644
ACH-000262,0.13547262737401766
ACH-000263,0.05383625210350276
ACH-000264,0.01056897071023197
ACH-000265,0.0857671353768721
ACH-000266,0.061047239779469575
ACH-000272,0.02234917340220716
ACH-000274,-0.005043254451557839
ACH-000277,-0.0021997986696493006
ACH-000278,0.15797900958461705
ACH-000279,0.06826820677156491
ACH-000280,0.010313156865111
ACH-000281,-0.05040627102249475
ACH-000288,0.05453801269453189
ACH-000291,0.04867238275475192
ACH-000293,0.018506080388506145
ACH-000294,-0.0293112834868762
ACH-000295,-0.2176275697005261
ACH-000296,0.16113574988928042
ACH-000302,0.041501810725933314
ACH-000304,0.1042673945500126
ACH-000307,0.04201933096130662
ACH-000308,-0.12477745619297535
ACH-000310,-0.20028966567141854
ACH-000311,0.02358217088222315
ACH-000312,0.09612909293424493
ACH-000315,-0.09340963356707722
ACH-000316,0.18909142617253147
ACH-000317,0.18494527962042645
ACH-000318,-0.08952477875566524
ACH-000319,-0.2116767255750676
ACH-000320,0.1465051160085113
ACH-000322,-0.032781858301502584
ACH-000323,-0.03954493501212695
ACH-000324,0.017731913503753756
ACH-000329,0.07377122634633622
ACH-000330,0.0016423740907939698
ACH-000331,0.012843281232001326
ACH-000332,0.054533548016408896
ACH-000334,0.023525692765222588
ACH-000335,0.19133932095586415
ACH-000336,-0.17003588119084986
ACH-000337,0.11711010358233002
ACH-000338,0.20236684306068373
ACH-000339,0.010078421520802877
ACH-000341,-0.08770996519330533
ACH-000348,-0.053667430798235896
ACH-000350,-0.042468399034340604
ACH-000352,-0.05717237620503673
ACH-000356,0.061193034046386485
ACH-000361,0.042931962711034735
ACH-000362,0.1009430067723078
ACH-000363,0.12022266413400592
ACH-000364,-0.10199006975499783
ACH-000365,-0.026271594128232826
ACH-000366,0.0030063567209446004
ACH-000368,-0.044030423123872287
ACH-000374,0.07466515287887547
ACH-000375,-0.03227827187216832
ACH-000376,-0.035273038890103935
ACH-000381,0.00836506295165969
ACH-000383,0.039352567614943317
ACH-000387,0.14388748070673682
ACH-000389,-0.029463750227175213
ACH-000390,0.0447216211861358
ACH-000393,-0.06702699278318723
ACH-000395,-0.054543307929700864
ACH-000396,-0.18850865124777785
ACH-000397,-0.0034137486200032405
ACH-000401,0.033402238051879626
ACH-000402,0.08793493145721518
ACH-000403,0.020345506536158908
ACH-000404,0.4524285217374802
ACH-000406,0.026118632609952726
ACH-000407,0.006041146144917757
ACH-000408,0.07628411048935606
ACH-000410,-0.08145360313741931
ACH-000411,-0.04613738709053652
ACH-000414,0.058921797549769936
ACH-000415,-0.021827682521798
ACH-000416,-0.034002455979216285
ACH-000420,-0.14112129424655054
ACH-000421,0.02697151127814177
ACH-000424,-0.10287853376592647
ACH-000425,0.007878915367373604
ACH-000426,-0.022414904577117443
ACH-000427,-0.20990556285264275
ACH-000433,-0.1142604040806668
ACH-000435,-0.03006300192896095
ACH-000436,0.2470140041487165
ACH-000444,0.06468063210779952
ACH-000445,0.12397523930509105
ACH-000448,-0.011562059650939609
ACH-000450,-0.12073095752441752
ACH-000452,0.10935992418654378
ACH-000454,-0.012580063786484836
ACH-000458,0.13916263677131524
ACH-000459,0.15589067573467538
ACH-000460,0.022778531575905817
ACH-000461,0.020492273059088302
ACH-000463,0.028510964464666288
ACH-000464,0.18564010547218926
ACH-000466,0.12101138680502012
ACH-000467,0.06741771973708023
ACH-000468,-0.01543877308778354
ACH-000469,0.1419274385688749
ACH-000470,-0.017275294607168482
ACH-000471,-0.02460361418274239
ACH-000472,-0.020732816423197943
ACH-000473,0.0016048062777800519
ACH-000475,-0.007509386855341599
ACH-000476,-0.031892753475939714
ACH-000477,-0.1000746865215261
ACH-000479,0.17726753320738015
ACH-000480,0.10498001631099277
ACH-000481,0.07471722361348042
ACH-000483,0.14370085148660566
ACH-000484,0.04479494817199913
ACH-000485,-0.00014769733427704937
ACH-000486,0.09732964165346383
ACH-000487,0.1274108696467292
ACH-000488,0.036845053432503584
ACH-000490,0.15105232721129871
ACH-000491,0.13085383443976076
ACH-000495,0.024621379824406472
ACH-000496,0.13903385455098896
ACH-000499,0.13930772621647786
ACH-000500,0.3297686731028168
ACH-000502,-0.09960122481135138
ACH-000503,0.5231167379404175
ACH-000505,0.026100216496488454
ACH-000507,0.08158657817265652
ACH-000510,0.05169515831369803
ACH-000511,-0.05899083696512375
ACH-000512,-0.04168278978892567
ACH-000516,0.051377233343468526
ACH-000517,-0.02357036876816334
ACH-000518,0.18304964485307304
ACH-000520,0.13072384687569202
ACH-000521,0.006213053332065337
ACH-000522,0.007577665714826095
ACH-000524,0.044552221778917586
ACH-000527,-0.01018990868529669
ACH-000528,0.01147299290809709
ACH-000537,0.11832462178150385
ACH-000541,0.019835369140518342
ACH-000542,-0.03023093014322788
ACH-000544,0.042787136531824484
ACH-000545,-0.08186559235525404
ACH-000547,0.060052020409755325
ACH-000548,-0.11823250674275948
ACH-000549,-0.11324097257864273
ACH-000550,-0.09204574396575148
ACH-000552,0.1842216007944989
ACH-000556,-0.07208950103631659
ACH-000557,0.06794871344445598
ACH-000569,-0.1653993505788377
ACH-000570,0.10642244036641173
ACH-000571,-0.023462012965733185
ACH-000573,0.06347926256383983
ACH-000576,0.02585557388260018
ACH-000579,-0.1839679989483936
ACH-000580,-0.04290029253072344
ACH-000584,0.059285263797466924
ACH-000585,-0.006851390224281185
ACH-000588,0.147696969503962
ACH-000589,0.2014574418813603
ACH-000591,0.09587327072179913
ACH-000593,-0.004026840559238974
ACH-000600,0.0953760438742774
ACH-000601,0.08101115615910119
ACH-000605,0.01873699931448856
ACH-000606,-0.01622233504903304
ACH-000608,-0.04688369414952688
ACH-000614,0.04226886554375366
ACH-000616,-0.11911519011179718
ACH-000618,0.0842772089609288
ACH-000619,0.15542777136884836
ACH-000620,0.06676414120644385
ACH-000621,0.021156678746933902
ACH-000622,0.040055732088022704
ACH-000623,0.050136314419456235
ACH-000624,-0.08818413485437121
ACH-000627,0.09279849055020373
ACH-000630,0.06852538229586964
ACH-000631,0.033175787373415484
ACH-000632,-0.02122753402007019
ACH-000633,-0.06022566555685905
ACH-000637,-0.20669071389627666
ACH-000638,0.12228580554694965
ACH-000646,-0.056671560397829786
ACH-000647,-0.06381091608149914
ACH-000648,0.07495146092963156
ACH-000649,0.06302381230469918
ACH-000651,-0.10138366478055973
ACH-000652,0.05635749369608375
ACH-000653,0.03253481659489257
ACH-000657,0.10110864503618038
ACH-000658,0.03700963335084264
ACH-000661,-0.04645533997187296
ACH-000662,0.10881347914753034
ACH-000663,0.019849792314444087
ACH-000665,0.0017765918673252616
ACH-000671,0.07165799409244086
ACH-000672,-0.12186542605909892
ACH-000673,-0.014000287340295837
ACH-000676,0.04513413588535009
ACH-000677,-0.07948881295079127
ACH-000681,0.02088508282922609
ACH-000683,-0.012012772644478965
ACH-000684,0.1684828804422557
ACH-000688,-0.14345228680622812
ACH-000693,0.0340604995668467
ACH-000694,0.030990223681324168
ACH-000695,-0.21049825143161924
ACH-000696,0.056388397511196224
ACH-000697,-0.12559984695755674
ACH-000699,-0.009443044286587043
ACH-000701,-0.02221123380980232
ACH-000706,0.05497921940041157
ACH-000711,-0.07935008956671058
ACH-000713,0.10251868611072744
ACH-000714,0.05720915629834222
ACH-000718,-0.02992349647651952
ACH-000720,0.00610117214502238
ACH-000721,-0.0031359465092637953
ACH-000724,-0.1882949852379733
ACH-000725,0.19144155432224694
ACH-000732,0.1316459039297198
ACH-000734,0.084164673953267
ACH-000735,-0.029108947346182374
ACH-000736,0.04372731901212742
ACH-000738,0.0682044449404572
ACH-000746,0.16812153612181455
ACH-000747,0.16288696274393374
ACH-000748,0.10255766472327957
ACH-000753,0.051979811162420335
ACH-000756,-0.007244814110697816
ACH-000757,0.02785473795889477
ACH-000758,-0.17110396200396066
ACH-000760,0.11184904845091936
ACH-000762,0.03863168558713824
ACH-000763,-0.16939136907791366
ACH-000764,0.09034046109145706
ACH-000765,0.04660012233696748
ACH-000766,-0.050410676123233945
ACH-000767,0.04230694611518737
ACH-000768,0.13136084742898074
ACH-000769,0.009259877379645249
ACH-000770,-0.06628880081612787
ACH-000771,-0.05037067614401895
ACH-000773,0.04402069315398376
ACH-000776,-0.020125746873084056
ACH-000777,0.043854940771039526
ACH-000778,-0.03675897325414334
ACH-000781,0.0011210068271247436
ACH-000782,0.013457684202275746
ACH-000783,-0.030167764897531056
ACH-000784,-0.04682009724008078
ACH-000785,0.0848354837183734
ACH-000787,-0.02380156800363266
ACH-000788,0.020987937762829183
ACH-000791,0.0318777664250807
ACH-000792,0.11328466959828515
ACH-000794,-0.017804625667637138
ACH-000796,0.020596254172367445
ACH-000798,0.1761745579695306
ACH-000799,0.033192415158223534
ACH-000800,0.1067216796846878
ACH-000802,-0.09713426254252963
ACH-000804,0.031414619418935016
ACH-000805,0.08692928681008265
ACH-000809,0.04886249380175934
ACH-000810,0.15334188520441927
ACH-000811,0.07116439555104867
ACH-000817,0.13512293608941425
ACH-000819,0.04827214191852015
ACH-000820,0.375454764422223
ACH-000821,-0.011779464473647734
ACH-000822,0.03898083973064617
ACH-000823,-0.0013372253741394727
ACH-000824,-0.0411586959438388
ACH-000827,0.047948058216918985
ACH-000829,0.04909004429092712
ACH-000831,0.004585065780007968
ACH-000832,-0.005861805737774903
ACH-000833,0.2997588838275374
ACH-000834,-0.1271057366416462
ACH-000835,0.011662940666518531
ACH-000836,0.08803672974711994
ACH-000837,0.13133808744180112
ACH-000838,-0.06270065856910924
ACH-000839,-0.10866039099779597
ACH-000840,0.16559755349176167
ACH-000841,0.12539155762411852
ACH-000843,-0.08368426602959532
ACH-000846,0.0018342478657423548
ACH-000847,-0.03790249296259016
ACH-000848,0.07829073089080785
ACH-000849,0.08692329338835404
ACH-000851,0.1422969051850397
ACH-000855,0.016132222946169818
ACH-000856,-0.0393515757894963
ACH-000858,-0.04267767370281506
ACH-000859,0.17399858279234806
ACH-000861,0.048304900694622906
ACH-000862,0.01188983491663187
ACH-000865,-0.01248321053618005
ACH-000866,-0.0102292476844662
ACH-000867,0.02129896429396114
ACH-000869,-0.11631071722616268
ACH-000872,0.010054134085263044
ACH-000873,0.11006749042209388
ACH-000876,0.009946903135983369
ACH-000878,0.14644664097540228
ACH-000880,0.012742768191474223
ACH-000881,-0.11272705908791444
ACH-000882,0.05430052607188436
ACH-000884,0.01220538930534261
ACH-000885,0.03557910627253655
ACH-000887,0.03179721908836895
ACH-000889,0.06653344115767089
ACH-000896,0.038488555551497036
ACH-000898,0.026783636939846044
ACH-000900,0.10101294868604196
ACH-000901,0.029120363642330987
ACH-000905,0.08911315450857354
ACH-000906,0.023201403671349537
ACH-000907,-0.0942818059732002
ACH-000910,0.03616070186091061
ACH-000911,-0.0191502106913356
ACH-000912,0.06862509980460604
ACH-000913,0.09053934866302576
ACH-000915,0.09649289038314957
ACH-000916,0.17022280101475956
ACH-000917,0.17724587771668582
ACH-000920,-0.17621222910250206
ACH-000921,-0.02071947891601152
ACH-000924,0.11003214122975452
ACH-000926,0.05114970760401539
ACH-000928,0.029478177330055817
ACH-000929,-0.04310822732071093
ACH-000932,-0.07909700871337351
ACH-000935,-0.06781536050220989
ACH-000936,0.1259785538618747
ACH-000937,0.015896320706956457
ACH-000938,0.05628239519854712
ACH-000939,0.03924923193863336
ACH-000941,0.022279185496257216
ACH-000943,0.12793038356095826
ACH-000946,0.043848159707904996
ACH-000947,-0.02472708231161124
ACH-000948,0.02002059990313254
ACH-000950,-0.09129132592525796
ACH-000953,-0.11859480703006665
ACH-000954,0.1993311544119522
ACH-000957,0.09097497020998324
ACH-000958,-0.07783520567895902
ACH-000960,0.10824249524013137
ACH-000963,-0.03076772313563217
ACH-000968,-0.0075841374818191015
ACH-000969,-0.0965144144178366
ACH-000972,-0.04409681205001937
ACH-000973,0.007328567410295964
ACH-000974,0.03820864638516009
ACH-000978,0.04129477574653245
ACH-000984,-0.06357664175763099
ACH-000986,-0.04901725608512526
ACH-000988,-0.007462123261680166
ACH-000993,-0.0947227332738724
ACH-000994,-0.06221462972003235
ACH-000996,0.09103470600829176
ACH-001001,-0.02019081791321835
ACH-001020,0.37244200393251503
ACH-001028,0.027179969485773968
ACH-001031,-0.004229303334402151
ACH-001038,-0.021028836210507138
ACH-001048,0.1001909406279051
ACH-001050,-0.02251659766120181
ACH-001053,0.03344253213182511
ACH-001054,-0.17501673529659753
ACH-001061,0.024153247981285937
ACH-001067,0.03319096261350595
ACH-001075,-0.06657862338405764
ACH-001096,0.1015672982218454
ACH-001111,0.07053235660624578
ACH-001119,0.038996622186859765
ACH-001128,-0.09427064028217516
ACH-001134,-0.06222147387960888
ACH-001151,-0.06983625762489956
ACH-001163,0.1816874304446315
ACH-001164,0.13390290972448968
ACH-001183,0.033824670976166926
ACH-001192,-0.03828665528356777
ACH-001193,0.060906827044319566
ACH-001196,-0.047694262787677945
ACH-001197,0.12378039877501185
ACH-001205,-0.11434509980302587
ACH-001211,-0.10134065537959393
ACH-001212,-0.09621119460464747
ACH-001228,0.09494717880732373
ACH-001232,0.10397310971929637
ACH-001239,-0.0427532517300494
ACH-001270,0.205007344785624
ACH-001274,0.1263119668620996
ACH-001275,-0.07859809620533782
ACH-001277,-0.2599137463526337
ACH-001278,0.12644663021936295
ACH-001280,0.007404863055921745
ACH-001283,-0.14457145133237795
ACH-001289,0.12077055483838398
ACH-001300,-0.01557611976892174
ACH-001301,-0.06979629821419606
ACH-001302,0.0707121022813479
ACH-001306,-0.004734735310524876
ACH-001318,0.04792656493331311
ACH-001322,-0.01746795272166689
ACH-001328,0.11789254581785105
ACH-001332,-0.024475112112835942
ACH-001336,0.033000203922242746
ACH-001346,-0.09815062940476801
ACH-001353,-0.04969840121981943
ACH-001354,0.08614455884557598
ACH-001367,0.021295184549533983
ACH-001368,-0.14866648823945494
ACH-001374,-0.11397335228225294
ACH-001377,-0.15539802882875078
ACH-001380,0.04464826371292925
ACH-001391,-0.09467188149165594
ACH-001408,0.011688751697970007
ACH-001430,-0.09042963770563266
ACH-001431,0.08198118300038561
ACH-001450,-0.10679893949504836
ACH-001496,-0.10087616815316547
ACH-001500,0.12164415761747575
ACH-001523,-0.15931242176366664
ACH-001532,0.030598455369704194
ACH-001550,-0.0015605558523568625
ACH-001552,0.06843021779795601
ACH-001554,0.11477123120166224
ACH-001654,-0.010810507179248544
ACH-001735,-0.016886653521493347
ACH-001736,-0.017178865943833863
ACH-001737,-0.04562121783954081
