,DepMap_ID
2301,ACH-000008
2302,ACH-000008
2303,ACH-000008
4412,ACH-000014
4413,ACH-000014
10267,ACH-000030
23966,ACH-000065
23967,ACH-000065
28692,ACH-000070
30289,ACH-000077
31177,ACH-000081
32757,ACH-000089
62829,ACH-000201
71352,ACH-000226
91423,ACH-000289
151813,ACH-000446
157987,ACH-000461
171904,ACH-000495
181709,ACH-000519
191710,ACH-000545
193664,ACH-000549
199789,ACH-000561
227662,ACH-000621
231638,ACH-000630
231639,ACH-000630
239087,ACH-000644
243741,ACH-000653
245045,ACH-000656
245046,ACH-000656
245669,ACH-000657
275141,ACH-000710
292280,ACH-000743
305173,ACH-000764
317382,ACH-000781
337110,ACH-000786
337111,ACH-000786
337112,ACH-000786
337113,ACH-000786
337114,ACH-000786
337115,ACH-000786
337116,ACH-000786
337117,ACH-000786
337118,ACH-000786
337119,ACH-000786
337120,ACH-000786
364367,ACH-000796
387467,ACH-000825
430868,ACH-000875
430869,ACH-000875
452450,ACH-000893
455583,ACH-000896
459084,ACH-000899
459085,ACH-000899
492975,ACH-000921
499592,ACH-000925
509949,ACH-000930
533333,ACH-000940
555756,ACH-000948
600318,ACH-000962
618225,ACH-000967
625393,ACH-000969
629584,ACH-000970
641571,ACH-000973
645201,ACH-000974
654227,ACH-000977
674793,ACH-000981
680847,ACH-000982
720146,ACH-000988
727065,ACH-000989
748905,ACH-000991
786170,ACH-000992
786171,ACH-000992
786172,ACH-000992
786173,ACH-000992
786174,ACH-000992
786175,ACH-000992
786176,ACH-000992
786177,ACH-000992
786178,ACH-000992
843879,ACH-000995
853155,ACH-000996
892423,ACH-000999
892424,ACH-000999
892425,ACH-000999
924769,ACH-001081
939317,ACH-001127
949175,ACH-001145
959865,ACH-001199
962714,ACH-001203
962715,ACH-001203
965379,ACH-001212
986316,ACH-001345
986317,ACH-001345
1041745,ACH-001542
1067654,ACH-001610
1067655,ACH-001610
1078284,ACH-001650
1122836,ACH-002147
1135824,ACH-002170
1139138,ACH-002176
1155004,ACH-002216
1169599,ACH-002238
1195463,ACH-002275
1197397,ACH-002279
1202138,ACH-002287
1212956,ACH-002309
1223592,ACH-002341
1223593,ACH-002341
1236415,ACH-002390
1239933,ACH-002396
1239934,ACH-002396
1242559,ACH-002397
