,GAS8 (2622)
ACH-000004,0.03482808496237277
ACH-000005,0.11960227419484147
ACH-000007,0.0399399914836808
ACH-000009,0.07934439368653308
ACH-000011,-0.03435168137031981
ACH-000012,-0.11167509069505993
ACH-000013,-0.0015653057998287901
ACH-000014,0.09355228566711844
ACH-000015,0.1043546859834256
ACH-000017,0.003295224298059304
ACH-000018,0.18750823684414136
ACH-000019,-0.056716821660975275
ACH-000021,-0.12317983969773055
ACH-000022,0.026877013843175958
ACH-000025,0.012032844377958178
ACH-000028,0.0061114507599300755
ACH-000030,0.020293467213121027
ACH-000035,0.13892257107864148
ACH-000036,-0.14783303960201194
ACH-000037,-0.1242130460934082
ACH-000039,-0.01460103794181456
ACH-000040,0.020145984703443604
ACH-000041,0.20164454588354586
ACH-000042,-0.045928976519788514
ACH-000045,-0.04910255397315321
ACH-000047,-0.03327002590630272
ACH-000052,0.00293592780013786
ACH-000053,-0.054710351815965966
ACH-000054,-0.10450815484050824
ACH-000055,-0.009084058873359906
ACH-000060,0.02915926929430588
ACH-000067,-0.032934795098096784
ACH-000070,-0.12738589174329434
ACH-000075,-0.01604796082663124
ACH-000078,-0.2191382991845666
ACH-000082,0.032413289824216325
ACH-000085,-0.051197486971680736
ACH-000086,0.008646772073158381
ACH-000087,0.157754175712949
ACH-000092,-0.033651662114944685
ACH-000095,-0.038844564598346884
ACH-000097,-0.040332654843577856
ACH-000098,-0.05874154334355886
ACH-000099,-0.09953147627050958
ACH-000108,-0.2339414232718888
ACH-000113,-0.12222786337647888
ACH-000116,0.08310274183451574
ACH-000118,-0.00992695111533688
ACH-000120,0.027628633284271027
ACH-000123,0.0003731489434152776
ACH-000127,0.07872474202922887
ACH-000128,-0.09350913711068154
ACH-000132,0.035867615454084914
ACH-000133,-0.1126242886793827
ACH-000137,-0.021827755029620456
ACH-000138,-0.038538105778193776
ACH-000142,0.028075597135084316
ACH-000143,0.10756632828851287
ACH-000146,-0.054155490853360515
ACH-000148,-0.08928765747250413
ACH-000150,-0.012568614571212862
ACH-000152,-0.08425129252469776
ACH-000153,0.0872706033121659
ACH-000159,-0.08563051446634969
ACH-000160,0.033653302862600376
