,DepMap_ID
6183,ACH-000019
9384,ACH-000028
18376,ACH-000053
29982,ACH-000076
35266,ACH-000099
45723,ACH-000141
77143,ACH-000247
172138,ACH-000496
198354,ACH-000559
202339,ACH-000566
211994,ACH-000588
219804,ACH-000605
245438,ACH-000657
245439,ACH-000657
319425,ACH-000784
324914,ACH-000786
324915,ACH-000786
324916,ACH-000786
324917,ACH-000786
361573,ACH-000793
381473,ACH-000818
387296,ACH-000825
420004,ACH-000866
440689,ACH-000884
445763,ACH-000888
477372,ACH-000914
479662,ACH-000915
481365,ACH-000916
488973,ACH-000920
492278,ACH-000921
503856,ACH-000928
515150,ACH-000933
527119,ACH-000938
529648,ACH-000939
540491,ACH-000943
565991,ACH-000952
576683,ACH-000955
583109,ACH-000957
592708,ACH-000960
592709,ACH-000960
609200,ACH-000965
612679,ACH-000966
616781,ACH-000967
616782,ACH-000967
628304,ACH-000970
632228,ACH-000971
636410,ACH-000972
636411,ACH-000972
643685,ACH-000974
695363,ACH-000985
717677,ACH-000988
717678,ACH-000988
761934,ACH-000992
761935,ACH-000992
761936,ACH-000992
761937,ACH-000992
761938,ACH-000992
830642,ACH-000994
830643,ACH-000994
840657,ACH-000995
849299,ACH-000996
849300,ACH-000996
871404,ACH-000998
883635,ACH-000999
922086,ACH-001081
952472,ACH-001162
958804,ACH-001199
958805,ACH-001199
966434,ACH-001233
992536,ACH-001360
997760,ACH-001369
1043772,ACH-001549
1063735,ACH-001603
1076832,ACH-001650
1082706,ACH-001673
1086763,ACH-001715
1101633,ACH-002058
1131841,ACH-002166
1147172,ACH-002195
1168292,ACH-002238
1210915,ACH-002309
1237089,ACH-002393
