,GCNT3 (9245)
ACH-000004,-0.34151499736984336
ACH-000005,-0.16935461830146795
ACH-000007,0.0772659638354978
ACH-000009,-0.22964146060513446
ACH-000011,0.11963021120914415
ACH-000012,-0.09229514296542543
ACH-000013,-0.08166357956904438
ACH-000014,0.07117302862935178
ACH-000015,0.015028065303685188
ACH-000017,-0.05434275888962138
ACH-000018,0.029371355046049413
ACH-000019,0.14021724019967494
ACH-000021,-0.030647602906962036
ACH-000022,-0.14978775724664056
ACH-000025,-0.2322810486976716
ACH-000028,0.15480052093816302
ACH-000030,-0.1238978864475902
ACH-000035,-0.2579047564031354
ACH-000036,-0.047965889214328525
ACH-000037,-0.07801735396452704
ACH-000039,-0.09437610404912868
ACH-000040,0.026948301314515036
ACH-000041,-0.08555603930481913
ACH-000042,-0.06967921035411874
ACH-000045,0.027551294685729383
ACH-000047,0.01862068090741805
ACH-000052,-0.2588904142277583
ACH-000053,-0.0698320995368463
ACH-000054,0.13663392629675294
ACH-000055,-0.17700957496703112
ACH-000060,-0.01124238368025438
ACH-000067,-0.158207174002958
ACH-000070,-0.06163610454853126
ACH-000075,0.19756631386332094
ACH-000078,0.00418036312147743
ACH-000082,-0.07460849811973999
ACH-000085,0.06258551513462315
ACH-000086,-0.17202105357013753
ACH-000087,-0.18239944645384187
ACH-000092,-0.07354148118955317
ACH-000095,-0.11807228834165664
ACH-000097,-0.19163887592267165
ACH-000098,0.10415692594083582
ACH-000099,-0.03053817257067797
ACH-000108,-0.11948780507764305
ACH-000113,0.0075729865678259125
ACH-000116,-0.14065402314156866
ACH-000118,-0.07658137894572542
ACH-000120,-0.11846815737304255
ACH-000123,-0.06313457283622298
ACH-000127,-0.097927782136468
ACH-000128,0.1516662632257727
ACH-000132,-0.3519521115517353
ACH-000133,0.0079382978571224
ACH-000137,0.011028437956027388
ACH-000138,0.06942638896360669
ACH-000142,-0.2522629547478791
ACH-000143,-0.22468268700478908
ACH-000146,-0.029358028124288074
ACH-000148,-0.16881310857150894
ACH-000150,-0.16838585685438265
ACH-000152,-0.04378481563064333
ACH-000153,-0.23022719730320004
ACH-000159,-0.08715918065670958
ACH-000160,-0.14735403534418204
ACH-000163,-0.06571808016156068
ACH-000167,-0.2914109690894961
ACH-000168,-0.13290181735351456
ACH-000169,-0.20980247955394213
ACH-000178,0.08703533668825927
ACH-000183,-0.20577411561768152
ACH-000188,-0.07046107417217226
ACH-000189,0.18606778983276487
ACH-000190,0.12182220010055228
ACH-000198,-0.029560482039639614
ACH-000203,-0.28473622192393433
ACH-000204,-0.15237137889123342
ACH-000206,-0.02515299212907578
ACH-000207,-0.06014438511653696
ACH-000208,0.08223795935291597
ACH-000210,-0.4523947753793471
ACH-000211,-0.17477976207492066
ACH-000215,-0.10258134099289393
ACH-000221,-0.28710206160480484
ACH-000222,-0.2657344498727801
ACH-000223,-0.21312029259772106
ACH-000226,-0.0910173396097906
ACH-000227,-0.2291109146558951
ACH-000228,-0.22855710031708704
ACH-000231,-0.026142257117697902
ACH-000232,-0.08698354988759698
ACH-000233,-0.1676427616128197
ACH-000234,-0.09065833502914644
ACH-000235,-0.07358476098305074
ACH-000237,-0.1587821265024886
ACH-000238,-0.28367838906862164
ACH-000242,-0.09018361548821366
ACH-000243,-0.11007321258441806
ACH-000244,-0.027402737544185648
ACH-000246,-0.013145604554473474
ACH-000248,-0.08034440344741789
ACH-000250,-0.05276145033326887
ACH-000251,-0.005395586672558414
ACH-000252,-0.20054461437289808
ACH-000253,-0.16010187933564676
ACH-000255,-0.16264007986894896
ACH-000256,-0.16492772759806312
ACH-000257,-0.32821944794892377
ACH-000258,-0.1485772321690288
ACH-000259,-0.07196373054030089
ACH-000260,-0.11413270677760955
ACH-000261,-0.10398383690708457
