,GDF5 (8200)
ACH-000004,0.003844256132984196
ACH-000005,0.12265651842126445
ACH-000007,0.2089632265706572
ACH-000009,-0.08327804219107808
ACH-000011,0.19912682153235536
ACH-000012,0.19028022367409173
ACH-000013,0.06642329803652759
ACH-000014,0.05907207730085037
ACH-000015,0.11377034254531443
ACH-000017,-0.1384533695493595
ACH-000018,0.020378694161987843
ACH-000019,0.11931222989195965
ACH-000021,-0.048639000981402385
ACH-000022,0.04369953117789741
ACH-000025,-0.17192237744938538
ACH-000028,-0.0070487857142614565
ACH-000030,-0.1314540855348817
ACH-000035,0.030437864847121906
ACH-000036,0.09987611049445463
ACH-000037,0.1509445878967312
ACH-000039,0.17229755099608166
ACH-000040,0.048721233019253685
ACH-000041,0.12249560004822994
ACH-000042,-0.1926482367679002
ACH-000045,0.0987801725613318
ACH-000047,0.037720082560353314
ACH-000052,0.1893646358891731
ACH-000053,-0.07947428913364175
ACH-000054,0.12301045342487392
ACH-000055,-0.008944989543513042
ACH-000060,0.014470787026753053
ACH-000067,0.04042886574166955
ACH-000070,0.17576334914345154
ACH-000075,-0.04980852461811058
ACH-000078,-0.0058301240757819206
ACH-000082,-0.10291352753356107
ACH-000085,-0.06745538866070068
ACH-000086,0.027800967881105396
ACH-000087,0.2470440311637177
ACH-000092,-0.03644234704573028
ACH-000095,0.047317774935124686
ACH-000097,0.05149486623588504
ACH-000098,0.1964476946978121
ACH-000099,-0.08633152653089719
ACH-000108,-0.06469841527302142
ACH-000113,-0.06231658783296645
ACH-000116,-0.0652875746808588
ACH-000118,0.002462653990449382
ACH-000120,-0.09447895013287512
ACH-000123,0.03300629863336437
ACH-000127,0.000989282303939707
ACH-000128,0.05354560092411848
ACH-000132,0.09544581588264868
ACH-000133,-0.21200579054805527
ACH-000137,0.057582687197401915
ACH-000138,-0.07119101436232711
ACH-000142,-0.036693133339307335
ACH-000143,0.01693868291632502
ACH-000146,-0.026196422303951042
ACH-000148,0.08709673201966593
ACH-000150,0.18882962665440728
ACH-000152,0.06054583776971085
ACH-000153,0.09867844942736048
ACH-000159,0.03979277598778065
ACH-000160,0.03993622747918685
ACH-000163,-0.17568907284912424
ACH-000167,0.05066928365388258
