,DepMap_ID
54875,ACH-000173
60737,ACH-000195
63325,ACH-000202
74491,ACH-000237
84784,ACH-000267
88806,ACH-000280
92199,ACH-000291
102766,ACH-000317
103170,ACH-000318
103931,ACH-000320
107729,ACH-000332
111843,ACH-000344
115784,ACH-000353
134562,ACH-000402
136203,ACH-000407
168346,ACH-000486
194387,ACH-000550
194388,ACH-000550
208322,ACH-000580
249281,ACH-000663
273644,ACH-000706
280959,ACH-000721
281538,ACH-000722
292436,ACH-000743
301107,ACH-000757
307421,ACH-000767
314103,ACH-000777
316800,ACH-000780
372317,ACH-000806
374591,ACH-000809
402049,ACH-000844
419699,ACH-000865
434001,ACH-000878
455785,ACH-000896
464541,ACH-000904
476848,ACH-000913
508139,ACH-000929
511041,ACH-000930
511042,ACH-000930
514464,ACH-000932
548373,ACH-000945
551311,ACH-000946
575167,ACH-000954
594682,ACH-000960
601559,ACH-000962
615520,ACH-000966
622790,ACH-000968
663477,ACH-000978
663478,ACH-000978
668400,ACH-000979
668401,ACH-000979
668402,ACH-000979
671692,ACH-000980
683336,ACH-000982
693488,ACH-000984
700557,ACH-000985
715459,ACH-000987
742365,ACH-000990
752438,ACH-000991
752439,ACH-000991
827741,ACH-000993
837934,ACH-000994
857479,ACH-000996
868395,ACH-000997
927751,ACH-001081
933041,ACH-001106
944563,ACH-001134
950587,ACH-001145
974744,ACH-001318
992205,ACH-001358
993905,ACH-001362
1011967,ACH-001408
1026533,ACH-001498
1034316,ACH-001521
1041355,ACH-001540
1049403,ACH-001550
1069721,ACH-001610
1074107,ACH-001638
1079822,ACH-001650
1092433,ACH-001738
1101927,ACH-002058
1107643,ACH-002096
1118171,ACH-002128
1165647,ACH-002232
1170964,ACH-002238
1189514,ACH-002265
1215299,ACH-002309
1226091,ACH-002346
1228460,ACH-002357
1241261,ACH-002396
