,GUF1 (60558)
ACH-000004,-0.02799273986051041
ACH-000005,0.24395811119525396
ACH-000007,-0.0554264902722554
ACH-000009,0.04170906236906074
ACH-000011,-0.1459541254051105
ACH-000012,0.026268819498809156
ACH-000013,-0.014130720673928725
ACH-000014,-0.04171673999977921
ACH-000015,-0.04179935946749161
ACH-000017,-0.012943963753419208
ACH-000018,0.005352080460687179
ACH-000019,-0.10566748175606057
ACH-000021,-0.0728911739900922
ACH-000022,-0.14528238504584534
ACH-000025,0.02535911460257842
ACH-000028,-0.0842607104622305
ACH-000030,-0.03914820671544788
ACH-000035,0.0626313243157259
ACH-000036,-0.13690319610465151
ACH-000037,-0.06379803061646229
ACH-000039,0.20124608999092675
ACH-000040,-0.09264733188011877
ACH-000041,0.03105141379095385
ACH-000042,0.0434568688869108
ACH-000045,0.05600285578956366
ACH-000047,-0.14598577126291326
ACH-000052,-0.28142200638791404
ACH-000053,0.07050543692238488
ACH-000054,-0.12804331357316007
ACH-000055,-0.3137874026913634
ACH-000060,-0.08250547547403042
ACH-000067,-0.14550467321222235
ACH-000070,0.04226407335758785
ACH-000075,0.012644634343769829
ACH-000078,0.0034188903842342004
ACH-000082,-0.05024426675808654
ACH-000085,-0.15909630823888946
ACH-000086,-0.08081885863618518
ACH-000087,0.09311016252213593
ACH-000092,-0.0035660390573941225
ACH-000095,0.05827934005847639
ACH-000097,-0.030759656648411144
ACH-000098,-0.04522297733059933
ACH-000099,0.07064837569615044
ACH-000108,0.008968574876095863
ACH-000113,-0.07063852704454443
ACH-000116,-0.11783841279422347
ACH-000118,-0.07741132254675957
ACH-000120,-0.061568465177244215
ACH-000123,0.0641983106511902
ACH-000127,-0.09527545523301366
ACH-000128,-0.12795316612030228
ACH-000132,-0.1335591338849742
ACH-000133,-0.15310697028302742
ACH-000137,-0.07832622825086727
ACH-000138,0.03377042153083346
ACH-000142,-0.18993337426821208
ACH-000143,-0.008144857786837828
ACH-000146,-0.03519969022787205
ACH-000148,-0.053966075175971386
ACH-000150,-0.02464241471575906
ACH-000152,-0.02009894693943305
ACH-000153,-0.4479144565793018
ACH-000159,-0.12698846416028964
ACH-000160,-0.07721005192984368
ACH-000163,0.0694778004284044
ACH-000167,0.1486090982684501
ACH-000168,-0.007206404922817198
ACH-000169,-0.028062297763799697
ACH-000178,-0.059924096696090424
ACH-000183,-0.036237172483567066
ACH-000188,-0.1898087680683852
ACH-000189,-0.19437283910323733
ACH-000190,-0.1007192282646535
ACH-000198,-0.006663885238684308
ACH-000203,-0.0684211398654867
ACH-000204,0.17684885123690927
ACH-000206,-0.08596014468348186
ACH-000207,-0.000767452871610405
ACH-000208,-0.0931575887129846
ACH-000210,-0.05447894662194504
ACH-000211,-0.08097701200534012
ACH-000215,-0.1172289715914024
ACH-000221,0.01622664423039727
ACH-000222,-0.19759275861147332
ACH-000223,-0.02627849938954565
ACH-000226,-0.06610964244326956
ACH-000227,-0.0400266213164291
ACH-000228,-0.011321002805927457
ACH-000231,-0.07158192780537248
ACH-000232,0.02888183259863662
ACH-000233,-0.06467793763162458
ACH-000234,-0.019152400934696227
ACH-000235,-0.10035437761270899
ACH-000237,-0.049393555897013816
ACH-000238,-0.09358289418539728
ACH-000242,-0.05616777018183913
ACH-000243,-0.06346655687007931
ACH-000244,-0.05111780342045053
ACH-000246,-0.11497719146278927
ACH-000248,-0.0971226961841408
ACH-000250,-0.043398335800522166
ACH-000251,-0.1926446299408648
ACH-000252,-0.06573421361326287
ACH-000253,-0.026996996007424712
ACH-000255,-0.04692690735682742
ACH-000256,-0.003924550737327787
ACH-000257,-0.21571564819885894
ACH-000258,-0.03935971993495732
ACH-000259,-0.23432924523635595
ACH-000260,-0.0366293015987512
ACH-000261,-0.04603403562421883
ACH-000262,0.2554389499530961
ACH-000263,-0.005377461898710705
ACH-000264,-0.10245430835195994
ACH-000265,-0.039528518385109034
ACH-000266,-0.06646821841156503
ACH-000272,-0.15984477202256786
ACH-000274,-0.10184215037052664
ACH-000277,0.02150229213005597
ACH-000278,0.09529956818209856
ACH-000279,-0.017373430865823963
ACH-000280,-0.0871516289129388
ACH-000281,-0.05527114001992228
ACH-000288,0.029116889615319476
ACH-000291,-0.0266995331384088
ACH-000293,-0.10155938078418404
ACH-000294,0.06251697242976542
ACH-000295,-0.03699839915392205
ACH-000296,-0.026949731017664375
ACH-000302,0.012007416963726257
ACH-000304,-0.1511065196972212
ACH-000307,-0.06389192415319839
ACH-000308,-0.12652511363230548
ACH-000310,-0.07555648400364832
ACH-000311,-0.219993203424118
ACH-000312,-0.018533952963427337
ACH-000315,0.08399832758668704
ACH-000316,0.12843397198979994
ACH-000317,0.007731195828158712
ACH-000318,-0.06246837737159301
ACH-000319,-0.03764405497530117
ACH-000320,-0.05086339565422236
ACH-000322,-0.04341598926474962
ACH-000323,0.04525629302229514
ACH-000324,-0.0009924864082155296
ACH-000329,-0.11910030826995785
ACH-000330,0.04601821168022517
ACH-000331,-0.11210984400048797
ACH-000332,-0.04694119634719048
ACH-000334,-0.18852390266563726
ACH-000335,-0.22117974689938716
ACH-000336,-0.2426683409281546
ACH-000337,-0.051868709514401735
ACH-000338,-0.13988525702402813
ACH-000339,-0.09312975292641816
ACH-000341,0.0573692933898861
ACH-000348,-0.0615121839184647
ACH-000350,0.15556098404141586
ACH-000352,-0.08070633845050501
ACH-000356,-0.015191817023879341
ACH-000361,-0.16238390702705713
ACH-000362,-0.03360861324412013
ACH-000363,0.004488841838222668
ACH-000364,-0.05368263459969027
ACH-000365,0.0913875196828074
ACH-000366,-0.13947131320367526
ACH-000368,-0.07550491892302398
ACH-000374,0.008743649100285996
ACH-000375,-0.1059165163387218
ACH-000376,0.03353590633236685
ACH-000381,0.10164556807364354
ACH-000383,-0.07670352831142918
ACH-000387,0.014909521453944431
ACH-000389,-0.08897166636299636
ACH-000390,-0.07001577317330583
ACH-000393,0.1260521607615919
ACH-000395,-0.020237558065698047
ACH-000396,-0.23144118736033115
ACH-000397,-0.13837095219352671
ACH-000401,0.18341681411887054
ACH-000402,0.3731836610786012
ACH-000403,-0.1217824817825048
ACH-000404,-0.30173260708340993
ACH-000406,0.044790772621259016
ACH-000407,0.03620363747456662
ACH-000408,0.014546023163883478
ACH-000410,-0.08801814367136622
ACH-000411,-0.04680285886168475
ACH-000414,-0.12380070776712758
ACH-000415,-0.11541342352622362
ACH-000416,-0.031764274107197794
ACH-000420,-0.0986004224942012
ACH-000421,0.009464809042475195
ACH-000424,-0.07881973588552803
ACH-000425,-0.032217220261037606
ACH-000426,0.0999807171151777
ACH-000427,-0.05437248762403927
ACH-000433,-0.06659417955874453
ACH-000435,-0.4250559873481009
ACH-000436,-0.06487323617618304
ACH-000444,-0.0368944237967421
ACH-000445,0.11887166801625568
ACH-000448,-0.054337806469939263
ACH-000450,0.09076001277135087
ACH-000452,-0.10542771503227284
ACH-000454,0.01364543190596164
ACH-000458,0.016919461694976462
ACH-000459,0.11995311419252652
ACH-000460,-0.006067299551994802
ACH-000461,-0.19095577587357165
ACH-000463,-0.10860894257233733
ACH-000464,-0.04375620939835164
ACH-000466,-0.02698447864398917
ACH-000467,-0.18475022090789625
ACH-000468,0.16669223059947985
ACH-000469,-0.027547131130305973
ACH-000470,-0.021707108177594973
ACH-000471,0.03186816744739415
ACH-000472,-0.06028964404778399
ACH-000473,-0.04070546865750823
ACH-000475,-0.1051404990836166
ACH-000476,0.056358904419402125
ACH-000477,-0.1064574182015674
ACH-000479,0.09567985202423313
ACH-000480,0.040120457964536685
ACH-000481,-0.0602079237613464
ACH-000483,-0.00016619677953097888
ACH-000484,-0.12344324316335285
ACH-000485,-0.052970623989423433
ACH-000486,-0.03968314191196858
ACH-000487,-0.006753657167935903
ACH-000488,-0.202112194174386
ACH-000490,-0.07583191438896301
ACH-000491,-0.04738578785955543
ACH-000495,-0.02622337766112191
ACH-000496,-0.05265002863249394
ACH-000499,0.02921801648740645
ACH-000500,-0.21242002003258525
ACH-000502,-0.0946946179986568
ACH-000503,-0.2434218418903249
ACH-000505,-0.10332936279750646
ACH-000507,-0.1093370021113125
ACH-000510,-0.037785348633922966
ACH-000511,-0.08829033049081114
ACH-000512,-0.11977273874190045
ACH-000516,-0.08227934341232457
ACH-000517,-0.11578974270170272
ACH-000518,-0.07469305097288705
ACH-000520,-0.160240460601471
ACH-000521,-0.029843514564957083
ACH-000522,-0.018805292592054296
ACH-000524,0.04031582652767222
ACH-000527,-0.14218549356882645
ACH-000528,0.070275017793058
ACH-000537,-0.042345217491268176
ACH-000541,-0.02648360759714049
ACH-000542,-0.056661504844635086
ACH-000544,-0.1628826237246633
ACH-000545,0.14263505906564966
ACH-000547,-0.1678978313777257
ACH-000548,-0.08219130673036594
ACH-000549,0.05707304704900626
ACH-000550,-0.0652150900610655
ACH-000552,0.11164019537800923
ACH-000556,-0.08503931907960018
ACH-000557,-0.0019452037081788762
ACH-000569,-0.3409855894163901
ACH-000570,-0.07676454051052678
ACH-000571,-0.16374762931018225
ACH-000573,-0.15939677929221002
ACH-000576,0.15392166369709828
ACH-000579,0.040746973609987
ACH-000580,-0.04260617143053098
ACH-000584,-0.09964874191755313
ACH-000585,-0.03209690514706015
ACH-000588,-0.008374542973067792
ACH-000589,-0.07940497647442614
ACH-000591,0.03003950548309729
ACH-000593,-0.06497699086598023
ACH-000600,-0.04839382188233228
ACH-000601,-0.1671862485210024
ACH-000605,-0.08837949175762387
ACH-000606,-0.09606317911107144
ACH-000608,-0.1007513009350642
ACH-000614,-0.1624714444678875
ACH-000616,-0.1720032840138664
ACH-000618,-0.08824554470206443
ACH-000619,-0.17598745872608645
ACH-000620,-0.09545242710429028
ACH-000621,-0.0812587511414267
ACH-000622,-0.007205558989446242
ACH-000623,-0.07653034130115335
ACH-000624,0.005287618403744618
ACH-000627,-0.08377868958884899
ACH-000630,-0.005727301127893303
ACH-000631,-0.4032654128544384
ACH-000632,-0.008289230056397805
ACH-000633,0.05486956416971957
ACH-000637,0.033633043318155934
ACH-000638,-0.08090106208150727
ACH-000646,-0.08617430358646744
ACH-000647,-0.15340945223932034
ACH-000648,-0.14008129542562034
ACH-000649,-0.003886856941164838
ACH-000651,-0.09689471235490812
ACH-000652,0.08685583566901461
ACH-000653,0.055678275367627365
ACH-000657,-0.02066571230055062
ACH-000658,-0.07748661965711877
ACH-000661,-0.0015538842452139962
ACH-000662,-0.14684190737754846
ACH-000663,-0.018208866920433883
ACH-000665,-0.0028542876710242666
ACH-000671,0.03696897552355593
ACH-000672,-0.20806320930436292
ACH-000673,-0.14287868729302047
ACH-000676,-0.07150994645943633
ACH-000677,-0.09860799129944728
ACH-000681,-0.09574610646921623
ACH-000683,-0.013131754928664231
ACH-000684,-0.2617542346808341
ACH-000688,-0.00022163834380059947
ACH-000693,-0.008641486442648541
ACH-000694,-0.10387818559596318
ACH-000695,-0.03194114960547684
ACH-000696,-0.143984132110065
ACH-000697,-0.25879422486850234
ACH-000699,-0.028799787528083293
ACH-000701,-0.14185297651301204
ACH-000706,-0.0728960614965097
ACH-000711,-0.11492462397293188
ACH-000713,-0.21858166050503508
ACH-000714,0.014160726886186109
ACH-000718,-0.04552908128729735
ACH-000720,-0.16897115714243324
ACH-000721,-0.08676529918816096
ACH-000724,0.07655037825706074
ACH-000725,-0.1898143805112537
ACH-000732,-0.23152188895843195
ACH-000734,-0.11144200430751927
ACH-000735,-0.11194710217986398
ACH-000736,-0.044111804162597947
ACH-000738,-0.16027670594323246
ACH-000746,0.03015184666437722
ACH-000747,-0.17171239904062152
ACH-000748,-0.1878911770876324
ACH-000753,0.01931332453198281
ACH-000756,-0.021463717988852028
ACH-000757,0.18225933453256785
ACH-000758,-0.00982990860481233
ACH-000760,-0.09239223281964408
ACH-000762,-0.18717093897938525
ACH-000763,-0.03944744758631564
ACH-000764,-0.05823365806395494
ACH-000765,0.04688230506847669
ACH-000766,-0.09090164823844066
ACH-000767,0.15970130610284894
ACH-000768,-0.10700701623598773
ACH-000769,-0.08802974639030665
ACH-000770,-0.0013556541909116393
ACH-000771,-0.14824387291885754
ACH-000773,-0.06693924157666242
ACH-000776,0.01864727601075523
ACH-000777,0.07804051687172484
ACH-000778,-0.06538942436903572
ACH-000781,-0.022032385839452925
ACH-000782,0.12916017387069775
ACH-000783,0.013537436864823343
ACH-000784,-0.08110473790964295
ACH-000785,-0.08393131566321296
ACH-000787,-0.057518259022122785
ACH-000788,-0.007036548373428344
ACH-000791,0.04315191043542745
ACH-000792,-0.04703150858971451
ACH-000794,-0.15482642654628026
ACH-000796,-0.03918586881629793
ACH-000798,-0.02583069124193319
ACH-000799,-0.207343325361716
ACH-000800,-0.10817777338563196
ACH-000802,-0.06684734007090193
ACH-000804,-0.20248498258524386
ACH-000805,-0.10519864563737402
ACH-000809,-0.0926297563539644
ACH-000810,-0.06608665328279681
ACH-000811,-0.009977751662483148
ACH-000817,0.0648921763432139
ACH-000819,-0.14279671156656634
ACH-000820,-0.02476311121330162
ACH-000821,0.07357118914020153
ACH-000822,-0.019455625830216563
ACH-000823,-0.0038900002897012064
ACH-000824,-0.06387664708296054
ACH-000827,-0.1586132051996854
ACH-000829,-0.0979872015118676
ACH-000831,-0.0759061542664513
ACH-000832,-0.15452950938266646
ACH-000833,-0.06890821215037927
ACH-000834,0.01521179507441187
ACH-000835,-0.16842535434241726
ACH-000836,-0.09703217392644077
ACH-000837,-0.12071769444190375
ACH-000838,-0.031386464175949084
ACH-000839,-0.20663508429352095
ACH-000840,0.040974840417767014
ACH-000841,0.03734434686393328
ACH-000843,-0.05928510261061683
ACH-000846,-0.04880481345065681
ACH-000847,0.04927823302837545
ACH-000848,-0.06989382708689215
ACH-000849,-0.03103445281780697
ACH-000851,0.03747641364602591
ACH-000855,-0.08149729575577955
ACH-000856,0.03562836086335909
ACH-000858,-0.020499075705902932
ACH-000859,-0.1542954776897604
ACH-000861,0.0540783347497308
ACH-000862,0.02084505569917994
ACH-000865,-0.11460668163750423
ACH-000866,-0.07459006270601287
ACH-000867,-0.11703201209916388
ACH-000869,-0.03220903474698046
ACH-000872,0.009166275505399312
ACH-000873,-0.05565280477764697
ACH-000876,-0.16613390296628402
ACH-000878,0.026485978322957068
ACH-000880,-0.10893136956636257
ACH-000881,-0.14719757193938635
ACH-000882,-0.03258105847240335
ACH-000884,-0.06515127523811211
ACH-000885,-0.059641500978497936
ACH-000887,-0.10088955186816802
ACH-000889,0.008980221322908512
ACH-000896,-0.06922473060291758
ACH-000898,-0.10831727230041792
ACH-000900,-0.21489428523274776
ACH-000901,-0.05329015346852799
ACH-000905,-0.0402233718969424
ACH-000906,-0.003056526313497272
ACH-000907,-0.01315691307438428
ACH-000910,-0.07846336507629588
ACH-000911,-0.0928058225957509
ACH-000912,0.033613287943349016
ACH-000913,-0.024364046626223015
ACH-000915,0.07023988982270775
ACH-000916,0.1897374829629632
ACH-000917,0.0377406745766946
ACH-000920,-0.014559789297195412
ACH-000921,-0.004386972995740689
ACH-000924,-0.11042763890667444
ACH-000926,-0.05259569518799166
ACH-000928,0.05175020972879572
ACH-000929,-0.01910440486224895
ACH-000932,-0.20001328014007852
ACH-000935,0.06316129089187167
ACH-000936,-0.08863138611601977
ACH-000937,-0.021632217579152548
ACH-000938,0.010462378514255787
ACH-000939,0.08243753455600664
ACH-000941,-0.10582898981287278
ACH-000943,-0.020130071886134568
ACH-000946,-0.15931324594731847
ACH-000947,-0.09271597283500288
ACH-000948,-0.10846879744069374
ACH-000950,0.09548724080238544
ACH-000953,0.0059428667383908396
ACH-000954,0.04943017746409089
ACH-000957,-0.10880627214550988
ACH-000958,-0.2290507544863006
ACH-000960,-0.05529034616292682
ACH-000963,-0.007018656486896696
ACH-000968,-0.01551367933783816
ACH-000969,-0.04071930623779597
ACH-000972,-0.16340864789773862
ACH-000973,-0.12452904033970708
ACH-000974,-0.14988855658758002
ACH-000978,0.060142891043852134
ACH-000984,0.04462961386330062
ACH-000986,0.00041314760036946177
ACH-000988,-0.02531362031826895
ACH-000993,0.037938813947696194
ACH-000994,-0.0383779804367064
ACH-000996,-0.15395802391581012
ACH-001001,-0.1039448228065162
ACH-001020,-0.13823142749017886
ACH-001028,0.019116900628626667
ACH-001031,0.0012275395139444275
ACH-001038,-0.10766832493714217
ACH-001048,-0.10489923052978667
ACH-001050,-0.0950638382570119
ACH-001053,0.0009287309921545422
ACH-001054,-0.09728307357510373
ACH-001061,-0.02830956822412018
ACH-001067,-0.09285584143747563
ACH-001075,0.09365306669962446
ACH-001096,0.07187278761508803
ACH-001111,0.08579053602447761
ACH-001119,0.08738873952658689
ACH-001128,-0.20959854071251066
ACH-001134,-0.11654212764205868
ACH-001151,-7.106397585498111e-05
ACH-001163,-0.06955311406167537
ACH-001164,-0.007902477563475091
ACH-001183,0.01657751296340597
ACH-001192,0.04337555975626108
ACH-001193,0.015209373204521143
ACH-001196,0.13829648417142998
ACH-001197,-0.12974297056680895
ACH-001205,-0.18995697269134126
ACH-001211,-0.1557016449929099
ACH-001212,-0.14524924098508862
ACH-001228,-0.010627747657676306
ACH-001232,-0.07674944183410375
ACH-001239,-0.08851812518398873
ACH-001270,0.08696448314944219
ACH-001274,0.05347812238122026
ACH-001275,0.0014089421848808873
ACH-001277,0.18019776796929
ACH-001278,-0.09424826499893177
ACH-001280,-0.14497580339468388
ACH-001283,0.028353402236457482
ACH-001289,0.090422086325632
ACH-001300,0.11273523329682045
ACH-001301,0.10509993742097704
ACH-001302,0.11925297982809467
ACH-001306,0.002021848432848665
ACH-001318,-0.00691920729944774
ACH-001322,-0.043671917982144065
ACH-001328,-0.036061627939049434
ACH-001332,-0.052529362056087936
ACH-001336,-0.16899976344730558
ACH-001346,-0.11284723524638796
ACH-001353,-0.06508822758988575
