,DepMap_ID
16884,ACH-000046
29170,ACH-000072
113835,ACH-000349
134786,ACH-000403
230027,ACH-000626
265203,ACH-000693
281484,ACH-000722
389111,ACH-000827
389112,ACH-000827
399013,ACH-000841
450791,ACH-000891
468989,ACH-000908
510767,ACH-000930
518059,ACH-000934
567274,ACH-000952
662717,ACH-000978
662718,ACH-000978
692853,ACH-000984
741106,ACH-000990
826775,ACH-000993
826776,ACH-000993
867370,ACH-000997
899536,ACH-000999
919698,ACH-001065
1110817,ACH-002100
1151400,ACH-002206
1202896,ACH-002287
1206091,ACH-002295
