,IGFALS (3483)
ACH-000004,-0.10119248747583652
ACH-000005,-0.1853962795387944
ACH-000007,-0.15852149014613934
ACH-000009,-0.1418125253272133
ACH-000011,-0.29613032061860345
ACH-000012,-0.08835044278356312
ACH-000013,-0.08524822980018844
ACH-000014,-0.12786492481190898
ACH-000015,-0.16432826865622832
ACH-000017,-0.11130159585846264
ACH-000018,0.03108682155705972
ACH-000019,0.07206695587445351
ACH-000021,-0.0716065051749872
ACH-000022,-0.045292635544833
ACH-000025,-0.10749083520143424
ACH-000028,-0.031636364840794524
ACH-000030,0.002483294928553932
ACH-000035,-0.025106073948057674
ACH-000036,-0.02556899776038897
ACH-000037,0.08884126701362473
ACH-000039,-0.20039643348559827
ACH-000040,-0.14114165212209615
ACH-000041,-0.02962283495377525
ACH-000042,-0.008959756151963429
ACH-000045,-0.17067006481753905
ACH-000047,-0.15305740805531826
ACH-000052,-0.06602027594992932
ACH-000053,-0.12052313265353798
ACH-000054,-0.111131126082558
ACH-000055,-0.06909433373145787
ACH-000060,-0.09448800627761053
ACH-000067,-0.03053463652752521
ACH-000070,-0.19779996750459647
ACH-000075,-0.06353155841594556
ACH-000078,0.02286787798694272
ACH-000082,-0.07785125808520788
ACH-000085,-0.16248448516325306
ACH-000086,-0.2691138765843961
ACH-000087,-0.13933022808563084
ACH-000092,-0.07067104846393574
ACH-000095,0.04966906623794674
ACH-000097,-0.020524419944245587
ACH-000098,-0.16796469233573055
ACH-000099,0.012387679846508678
ACH-000108,-0.42126834867286295
ACH-000113,-0.028506729133557486
ACH-000116,-0.10494559073405912
ACH-000118,-0.08520191035893934
ACH-000120,-0.1999984167584359
ACH-000123,-0.10115861878030136
ACH-000127,-0.09339755967531664
ACH-000128,0.031006984182367775
ACH-000132,-0.3251391069641642
ACH-000133,-0.11112647693255387
ACH-000137,-0.10901032452149373
ACH-000138,-0.012989149148793469
ACH-000142,-0.11250579174136048
ACH-000143,-0.07536331311715204
ACH-000146,-0.2363098379884789
ACH-000148,-0.15702654112577366
ACH-000150,-0.2195293370864144
ACH-000152,0.09139752217919164
ACH-000153,0.004697522428158447
ACH-000159,0.09760007334529287
ACH-000160,-0.017235972853694378
ACH-000163,-0.07545010608647805
ACH-000167,0.13842873753797946
ACH-000168,-0.15563758058473476
ACH-000169,-0.061105579896153575
ACH-000178,-0.03371400946477328
ACH-000183,0.03616941898427997
ACH-000188,0.007796499202148579
ACH-000189,-0.2758942070370772
ACH-000190,-0.09706220578481706
ACH-000198,-0.06635641345459485
ACH-000203,-0.5692602869965739
ACH-000204,0.06475376035131349
ACH-000206,0.0870985472610638
ACH-000207,0.20325238009046992
ACH-000208,0.2152228344320616
ACH-000210,-0.037162267002349335
ACH-000211,-0.08432298360313698
ACH-000215,-0.12093585202540445
ACH-000221,0.008068228658711764
ACH-000222,-0.16753531837478966
ACH-000223,-0.03102704819857855
ACH-000226,-0.05310158035068878
ACH-000227,-0.2307426334443435
ACH-000228,-0.14137027635040805
ACH-000231,-0.048585420078631064
ACH-000232,0.04847797351975215
ACH-000233,-0.030609019374415306
ACH-000234,-0.19536576974246586
ACH-000235,-0.1229346553295254
ACH-000237,-0.012680857412500269
ACH-000238,-0.10946940338403506
ACH-000242,0.14937250364684118
ACH-000243,-0.0549101912035582
ACH-000244,-0.3830310376560125
ACH-000246,-0.10787707486254808
ACH-000248,-0.05843470018672747
ACH-000250,-0.10080363602939288
ACH-000251,-0.07459085190101877
ACH-000252,0.009242889753761224
ACH-000253,-0.043208768843919367
ACH-000255,0.06901980979798074
ACH-000256,-0.1679596804368641
ACH-000257,-0.07621055195129428
ACH-000258,-0.02393597406660311
ACH-000259,-0.06429058830035844
ACH-000260,-0.112709455832461
ACH-000261,-0.13589271168714356
ACH-000262,-0.12781774388465006
ACH-000263,-0.027418614442095368
ACH-000264,-0.07703081225830935
ACH-000265,-0.14251050940317525
ACH-000266,-0.0837748243757289
ACH-000272,-0.033478778836748734
ACH-000274,-0.133757728010788
ACH-000277,-0.10415369716150104
ACH-000278,0.08739862318301858
ACH-000279,-0.07888650496953553
ACH-000280,-0.08965659469496245
ACH-000281,-0.05052162216974704
ACH-000288,-0.11421898224036953
ACH-000291,-0.23983806007035344
ACH-000293,-0.08063745190968549
ACH-000294,-0.019049852958323697
ACH-000295,-0.20541884797357268
ACH-000296,-0.05866299306230069
ACH-000302,-0.01837536861546836
ACH-000304,0.011019025401502288
ACH-000307,-0.17717173605623315
ACH-000308,-0.07344515724602915
ACH-000310,0.0327839082048377
ACH-000311,-0.2392844270961867
ACH-000312,-0.039175365073425936
ACH-000315,0.13635937899178668
ACH-000316,-0.2206097118480442
ACH-000317,-0.18045850909342376
ACH-000318,0.05645864520262254
ACH-000319,-0.07939433203907484
ACH-000320,-0.035954494367827626
ACH-000322,-0.3668121834608687
ACH-000323,-0.034721554999470314
ACH-000324,-0.15810502936071466
ACH-000329,-0.08288351640837059
ACH-000330,0.18730471789510167
ACH-000331,-0.12107770342173185
ACH-000332,-0.10275662054863882
ACH-000334,-0.10245506958103308
ACH-000335,-0.10699086150327283
ACH-000336,-0.16352681807235347
ACH-000337,-0.22492792742773327
ACH-000338,0.4051990639620763
ACH-000339,0.03590723713611345
ACH-000341,-0.16149264739301838
ACH-000348,-0.16310842941014067
ACH-000350,-0.24183337162016794
ACH-000352,-0.06767133667905875
ACH-000356,-0.30929846357107643
ACH-000361,-0.174505807538305
ACH-000362,0.012942844013181718
ACH-000363,-0.17329090574028874
ACH-000364,-0.1138956742824748
ACH-000365,-0.013448003422901934
ACH-000366,-0.09592856339298357
ACH-000368,-0.2670999338777765
ACH-000374,0.11546017630225835
ACH-000375,-0.13423410563306695
ACH-000376,-0.11496600210251474
ACH-000381,-0.002367766662583137
ACH-000383,-0.12586158971927988
ACH-000387,0.0109875076029822
ACH-000389,-0.17018654372274786
ACH-000390,-0.08395522910072374
ACH-000393,-0.13064034441959754
ACH-000395,0.0683158882055359
ACH-000396,0.042743497423240163
ACH-000397,-0.16049561100744314
ACH-000401,-0.21162808454701668
ACH-000402,0.09015836171087467
ACH-000403,-0.10646741751024907
ACH-000404,-0.11073585682567398
ACH-000406,-0.08862837695684417
ACH-000407,-0.07501126199985432
ACH-000408,-0.15709573921549874
ACH-000410,0.00980551193452619
ACH-000411,-0.11056228388110786
ACH-000414,-0.0006127917440839353
ACH-000415,-0.10362221357270752
ACH-000416,-0.003472646675514093
ACH-000420,-0.13655288988983422
ACH-000421,-0.17215801004004044
ACH-000424,-0.1310222030355597
ACH-000425,-0.15048690386646246
ACH-000426,0.15821559845402067
ACH-000427,0.1365988705438
ACH-000433,-0.23215157306308476
ACH-000435,-0.053348561607647386
ACH-000436,-0.2586701710182769
ACH-000444,-0.11684791267639005
ACH-000445,-0.1574095745744229
ACH-000448,-0.06437818515159507
ACH-000450,-0.2650515847231895
ACH-000452,-0.10499347891879103
ACH-000454,0.03149116247151985
ACH-000458,-0.032940835237604014
ACH-000459,-0.2413398751004224
ACH-000460,0.07190086047376662
ACH-000461,-0.04494690163646858
ACH-000463,-0.2356616390339595
ACH-000464,-0.23195704642332074
ACH-000466,-0.12629486132896994
ACH-000467,0.011414331318664357
ACH-000468,-0.1921812134572516
ACH-000469,-0.1395769621580234
ACH-000470,-0.05261188388245615
ACH-000471,-0.12606214412206238
ACH-000472,-0.10673731315198218
ACH-000473,0.1493125247663728
ACH-000475,-0.12967218724126392
ACH-000476,-0.04801858422026661
ACH-000477,0.005077051105884075
ACH-000479,-0.3870781683981595
ACH-000480,-0.12453146977476408
ACH-000481,-0.05791187708379868
ACH-000483,-0.16362905106350695
ACH-000484,-0.037441977868869686
ACH-000485,-0.17397008685667256
ACH-000486,-0.1012074842489538
ACH-000487,-0.07810159612564706
ACH-000488,-0.10727449833393712
ACH-000490,-0.035734444111882466
ACH-000491,-0.2018684114185764
ACH-000495,-0.028026226643145
ACH-000496,-0.006086177754376029
ACH-000499,-0.3945428939997801
ACH-000500,0.1728636532741588
ACH-000502,-0.16351066195964267
ACH-000503,0.1583616238937683
ACH-000505,-0.0934691073062192
ACH-000507,-0.04409184434749143
ACH-000510,-0.0017407827935472676
ACH-000511,-0.2594746597235761
ACH-000512,-0.28712655427370243
ACH-000516,-0.12499615431748208
ACH-000517,-0.11282231281141986
ACH-000518,-0.12257805480450752
ACH-000520,-0.21777009427154528
ACH-000521,-0.05942619465324134
ACH-000522,-0.20546539002107894
ACH-000524,-0.08363246315220359
ACH-000527,-0.10509983546059927
ACH-000528,-0.12927375094280946
ACH-000537,-0.09308177960817876
ACH-000541,-0.2581536058083945
ACH-000542,-0.11142049860663993
ACH-000544,0.022990096587351343
ACH-000545,-0.05640496610171598
ACH-000547,0.011119303201501543
ACH-000548,-0.13036227799086475
ACH-000549,-0.2410710353155071
ACH-000550,-0.013081179930919144
ACH-000552,-0.03143006531764223
ACH-000556,-0.2620306683641247
ACH-000557,0.026372664945226432
ACH-000569,0.01733816485706785
ACH-000570,-0.1380772910384188
ACH-000571,-0.0650085522589069
ACH-000573,0.024259996684503824
ACH-000576,-0.11216565148417472
ACH-000579,-0.07020027972654481
ACH-000580,-0.16805605264784773
ACH-000584,-0.07932787931932528
ACH-000585,-0.12293044409061593
ACH-000588,-0.0237605066203632
ACH-000589,-0.13566726664583198
ACH-000591,-0.27988699050168064
ACH-000593,0.028743741020568182
ACH-000600,-0.05548057693096177
ACH-000601,-0.06585585214290067
ACH-000605,-0.19311422902375144
ACH-000606,-0.19068412850572425
ACH-000608,-0.12682261298142686
ACH-000614,0.09823208018121524
ACH-000616,-0.1963531538610326
ACH-000618,0.09755571458390896
ACH-000619,0.07036514051448503
ACH-000620,-0.05061627469753064
ACH-000621,-0.19446163568618172
ACH-000622,-0.1856880520857767
ACH-000623,-0.09631376237069736
ACH-000624,-0.21280383007343845
ACH-000627,0.0028055379363949875
ACH-000630,-0.11010411999249374
ACH-000631,-0.3615410871290797
ACH-000632,-0.05794348144332547
ACH-000633,-0.054886642317959033
ACH-000637,-0.22079407375280224
ACH-000638,-0.044470937986026235
ACH-000646,-0.19317414787328244
ACH-000647,-0.0639199649259967
ACH-000648,-0.15920193016819306
ACH-000649,-0.07928183995247401
ACH-000651,0.011383713120915158
ACH-000652,-0.09680585734898696
ACH-000653,-0.14440747774724064
ACH-000657,-0.18425739021551013
ACH-000658,0.016433048135861775
ACH-000661,0.0042916983087842656
ACH-000662,-0.11077520003277344
ACH-000663,-0.14073309741003834
ACH-000665,-0.04889327760054617
ACH-000671,-0.013791935881180144
ACH-000672,0.20257189212061769
ACH-000673,-0.0543295738707459
ACH-000676,-0.08725456693789375
ACH-000677,-0.10579066483758703
ACH-000681,-0.08639145767519787
ACH-000683,-0.08631863574799148
ACH-000684,-0.16747419363827715
ACH-000688,0.08264422675078624
ACH-000693,-0.10024246063522584
ACH-000694,-0.1400464664620244
ACH-000695,0.1420002816261818
ACH-000696,-0.12064258714736426
ACH-000697,0.029316701059648325
ACH-000699,-0.04341301990728784
ACH-000701,-0.2779460589637219
ACH-000706,-0.09016791304313396
ACH-000711,-0.13362659338911534
ACH-000713,0.038963163749172004
ACH-000714,-0.07331430351808746
ACH-000718,-0.046882774636787285
ACH-000720,0.0982884148307563
ACH-000721,-0.14399408304582045
ACH-000724,-0.013449237463665569
ACH-000725,-0.04603079957838363
ACH-000732,-0.2164172802538312
ACH-000734,-0.043438156296740416
ACH-000735,-0.033688292955661
ACH-000736,-0.13330759956811247
ACH-000738,0.011340248761605524
ACH-000746,0.17827632382707345
ACH-000747,-0.1479769675153917
ACH-000748,-0.29754031362237343
ACH-000753,-0.09471423141681988
ACH-000756,-0.08051371530442628
ACH-000757,0.02098114126738922
ACH-000758,-0.1772355272159014
ACH-000760,-0.1429427264130106
ACH-000762,0.006502239196554761
ACH-000763,0.06095041959076562
ACH-000764,-0.14555588227405666
ACH-000765,-0.06580005039122835
ACH-000766,-0.2422279070236815
ACH-000767,-0.1292537966597718
ACH-000768,-0.09940721723405678
ACH-000769,-0.074040647607269
ACH-000770,-0.024374393332626417
ACH-000771,-0.17538981409721002
ACH-000773,0.1912764636912773
ACH-000776,-0.2388829003860288
ACH-000777,-0.0119482386376215
ACH-000778,0.13146103628232056
ACH-000781,-0.0716114996367477
ACH-000782,-0.1545645201526659
ACH-000783,-0.2716041251714297
ACH-000784,0.01976450936231544
ACH-000785,-0.2003660447523987
ACH-000787,-0.12649966261262618
ACH-000788,-0.13434606389364767
ACH-000791,-0.03076659882118543
ACH-000792,-0.06563912929883473
ACH-000794,-0.14529586340365164
ACH-000796,-0.10863699743523074
ACH-000798,-0.09515135096077397
ACH-000799,-0.028339309049964106
ACH-000800,-0.2408657689456185
ACH-000802,-0.2305360393645729
ACH-000804,-0.2326009783806556
ACH-000805,-0.24339200748325865
ACH-000809,0.021410480130392172
ACH-000810,0.10036449288788972
ACH-000811,-0.2022771227467206
ACH-000817,0.08379940769726445
ACH-000819,-0.17932556203514585
ACH-000820,-0.234142525805334
ACH-000821,-0.017585514935615817
ACH-000822,-0.17907432603279508
ACH-000823,-0.05326670515330994
ACH-000824,-0.05581283472189962
ACH-000827,-0.08625328095434956
ACH-000829,-0.3355117739212095
ACH-000831,-0.1910748053150116
ACH-000832,-0.0163293258045386
ACH-000833,-0.09892907529317403
ACH-000834,0.029603787580028795
ACH-000835,0.015867628125757063
ACH-000836,0.010704432162483044
ACH-000837,0.043037310428207416
ACH-000838,-0.11605129518590472
ACH-000839,-0.19607727405576952
ACH-000840,0.06250723846004151
ACH-000841,-0.06211972947743614
ACH-000843,-0.08501782272913896
ACH-000846,-0.05415499844781807
ACH-000847,0.051181762253347626
ACH-000848,0.003737500565629404
ACH-000849,-0.07235217581387328
ACH-000851,-0.057786657553502076
ACH-000855,0.06787182759267636
ACH-000856,-0.059263533553462165
ACH-000858,-0.0518252563184906
ACH-000859,-0.014317521734501557
ACH-000861,0.022504418140223643
ACH-000862,-0.06415839928729658
ACH-000865,-0.15477128959759218
ACH-000866,-0.07858681805331262
ACH-000867,-0.16173377797116528
ACH-000869,-0.06607788974024237
ACH-000872,-0.11415370806831528
ACH-000873,-0.10138831990638306
ACH-000876,-0.26341480740163525
ACH-000878,-0.08571805394093374
ACH-000880,0.03167875234846833
ACH-000881,-0.06360164632507219
ACH-000882,-0.01115118635889149
ACH-000884,-0.00987073602407516
ACH-000885,-0.20706389643099235
ACH-000887,-0.01865288396067395
ACH-000889,-0.06656038796917339
ACH-000896,-0.1732818134421278
ACH-000898,-0.11304729483284932
ACH-000900,-0.1717988788483145
ACH-000901,-0.04656075841319445
ACH-000905,-0.10744974896199662
ACH-000906,-0.06389137688347059
ACH-000907,-0.1656222270806562
ACH-000910,-0.05442895937947745
ACH-000911,-0.1966937618167444
ACH-000912,-0.017805135813995083
ACH-000913,-0.12428953431952115
ACH-000915,-0.005853497649124214
ACH-000916,-0.06872053063056115
ACH-000917,-0.218914769133904
ACH-000920,-0.03426696953571224
ACH-000921,-0.10050399696773192
ACH-000924,-0.12615421885980022
ACH-000926,-0.05108582514781354
ACH-000928,-0.3122048259177167
ACH-000929,0.06670008729372168
ACH-000932,0.04703159306114967
ACH-000935,-0.04979649730695662
ACH-000936,-0.21882497295813685
ACH-000937,-0.059688350779800385
ACH-000938,-0.03735295300581455
ACH-000939,-0.023147309171857908
ACH-000941,-0.1563739256942674
ACH-000943,-0.06412471767637555
ACH-000946,-0.10023181058332434
ACH-000947,-0.193463267544374
ACH-000948,-0.004828433348513169
ACH-000950,-0.029081334963840494
ACH-000953,-0.018294957306907663
ACH-000954,0.01597565912130199
ACH-000957,-0.22110972919550376
ACH-000958,-0.3133659184471431
ACH-000960,-0.06573910562907077
ACH-000963,-0.05966573619524844
ACH-000968,-0.25463701525821103
ACH-000969,0.01864342971725484
ACH-000972,0.03851896641446489
ACH-000973,-0.015310363803145103
ACH-000974,-0.07464389398099562
ACH-000978,-0.16186914128558186
ACH-000984,0.014550971000825813
ACH-000986,0.018932079720161667
ACH-000988,-0.1264470531633205
ACH-000993,-0.1980702401666931
ACH-000994,-0.16909288294405664
ACH-000996,-0.0770024766302325
ACH-001001,-0.027197132780552368
ACH-001020,-0.11451790284088993
ACH-001028,-0.022887195830155645
ACH-001031,-0.11234495745983553
ACH-001038,0.03681674262914427
ACH-001048,-0.1521064586670777
ACH-001050,-0.22380585713275736
ACH-001053,-0.5430349988042924
ACH-001054,-0.00259949567715928
ACH-001061,0.07696775031506245
ACH-001067,-0.3408451880211088
ACH-001075,-0.3037720260704226
ACH-001096,-0.05930717429919372
ACH-001111,-0.062081925633357175
ACH-001119,-0.1045162743061267
ACH-001128,-0.08998485506351493
ACH-001134,0.0051030995328999774
ACH-001151,-0.07766162911731332
ACH-001163,0.016190414507123895
ACH-001164,-0.0294922790537497
ACH-001183,-0.18038197416828194
ACH-001192,-0.10593200445592996
ACH-001193,-0.3663672348294662
ACH-001196,-0.06983729582945279
ACH-001197,-0.18616482094950945
ACH-001205,0.007638571165581622
ACH-001211,0.07777804462738949
ACH-001212,-0.1296626601945085
ACH-001228,0.009537943404391788
ACH-001232,-0.19652063170682255
ACH-001239,-0.1882389718174536
ACH-001270,-0.013814887510374909
ACH-001274,-0.008409152990891974
ACH-001275,-0.04089978782068426
ACH-001277,0.011924596731087509
ACH-001278,0.07150736827170902
ACH-001280,-0.31971557177887644
ACH-001283,-0.17943732144534708
ACH-001289,0.15864023572889813
ACH-001300,-0.1437820806328858
ACH-001301,-0.0338161831195617
ACH-001302,-0.171637120546658
ACH-001306,-0.028260730429559226
ACH-001318,0.03410752819363525
ACH-001322,-0.24333441473545914
ACH-001328,-0.07684091330925955
ACH-001332,-0.13941055653066384
ACH-001336,-0.12588996655180973
ACH-001346,-0.05858382640869341
ACH-001353,-0.1451971721923305
ACH-001354,-0.030649261736671117
ACH-001367,-0.10148489469336028
ACH-001368,-0.0992333765540128
ACH-001374,-0.20906486094172494
ACH-001377,-0.0829532123488559
ACH-001380,-0.07051366899214835
ACH-001391,-0.03656678627564959
ACH-001408,-0.13622329907068034
ACH-001430,-0.1448820066412519
ACH-001431,-0.14518410427457384
ACH-001450,0.0426905879145071
ACH-001496,-0.13076949824780626
ACH-001500,-0.04146524639499925
ACH-001523,-0.07085132562056383
ACH-001532,-0.008812291186693116
ACH-001550,-0.0276690696651481
ACH-001552,-0.03780437218045438
ACH-001554,-0.07518415942403887
ACH-001654,-0.14700187182144148
ACH-001735,-0.04509937238903685
ACH-001736,-0.1373149420492531
ACH-001737,-0.09097505663616702
ACH-001740,-0.3586190868337445
ACH-001745,-0.3211951452028687
ACH-001765,-0.12675916103681567
