,IGFN1 (91156)
ACH-000004,-0.1219947958590342
ACH-000005,-0.044879085127342434
ACH-000007,-0.16168799229740768
ACH-000009,-0.1896653578161472
ACH-000011,0.07349077092558295
ACH-000012,0.02737400407098473
ACH-000013,-0.08727979461922893
ACH-000014,-0.02627207925276557
ACH-000015,-0.0412317693432023
ACH-000017,-0.09005083854032596
ACH-000018,0.0042574480877559905
ACH-000019,-0.14639515343990336
ACH-000021,0.03123179133094917
ACH-000022,-0.041666866338743516
ACH-000025,-0.07377842118422809
ACH-000028,0.014157528755326219
ACH-000030,-0.004306090434773363
ACH-000035,0.018761937453303842
ACH-000036,-0.0547313764799228
ACH-000037,0.019353903303223768
ACH-000039,0.012692233649168884
ACH-000040,0.11092245890915647
ACH-000041,-0.034454556816834785
ACH-000042,-0.11672665793014465
ACH-000045,0.12337315427549232
ACH-000047,-0.055078351670263134
ACH-000052,-0.2147849482020086
ACH-000053,-0.030373704366742964
ACH-000054,0.01789323276675207
ACH-000055,-0.041052301545214935
ACH-000060,0.01624187989883529
ACH-000067,-0.0032457290888130387
ACH-000070,0.06908100368674888
ACH-000075,0.045793414622937664
ACH-000078,0.013513677967200736
ACH-000082,0.03598245935134425
ACH-000085,-0.1817245019232657
ACH-000086,-0.329029156816158
ACH-000087,-0.0038042793789628353
ACH-000092,-0.05176665172737183
ACH-000095,0.002569795069824625
ACH-000097,-0.030617317154909236
ACH-000098,-0.08110713397899222
ACH-000099,-0.04763520029931895
ACH-000108,-0.08331528649410913
ACH-000113,-0.08951917461439991
ACH-000116,-0.11968861144171793
ACH-000118,0.011413326588594315
ACH-000120,-0.1325933553868203
ACH-000123,0.03636678638534261
ACH-000127,0.004007602506771759
ACH-000128,-0.007932740891019712
ACH-000132,-0.0860652431784528
ACH-000133,0.1232756562152289
ACH-000137,-0.01726117279435322
ACH-000138,-0.06526400806762847
ACH-000142,-0.10384502579746456
ACH-000143,0.1212498121168942
ACH-000146,-0.040355403412197684
ACH-000148,-0.08592800261124811
ACH-000150,0.08069740281595172
ACH-000152,-0.01092725528621904
ACH-000153,0.0549308151270337
ACH-000159,-0.005365040244373232
ACH-000160,0.05465282274565652
ACH-000163,-0.034975901489803056
ACH-000167,0.10956231653475823
ACH-000168,0.057160109101843014
ACH-000169,-0.09531812728565818
ACH-000178,-0.006275666581728096
ACH-000183,-0.09370334543796734
ACH-000188,-0.0683203430115976
ACH-000189,-0.16204744742631905
ACH-000190,-0.1970098434421056
ACH-000198,-0.06178178660504927
ACH-000203,-0.11889155633613248
ACH-000204,0.1344795427121081
ACH-000206,0.05368200435149873
ACH-000207,0.056127319810130805
ACH-000208,-0.07115772299786713
ACH-000210,-0.11469999426179432
ACH-000211,0.013948790561105592
ACH-000215,-0.08323728934256887
ACH-000221,0.06063613454392092
