,DepMap_ID
3587,ACH-000012
9675,ACH-000029
22013,ACH-000065
39926,ACH-000117
70864,ACH-000225
91326,ACH-000289
110645,ACH-000341
118818,ACH-000362
127252,ACH-000384
128726,ACH-000388
149313,ACH-000440
152568,ACH-000448
180025,ACH-000515
248235,ACH-000662
257610,ACH-000678
259289,ACH-000681
268064,ACH-000698
277427,ACH-000715
298776,ACH-000754
302580,ACH-000760
326052,ACH-000786
326053,ACH-000786
326054,ACH-000786
359289,ACH-000790
371682,ACH-000806
479697,ACH-000915
532338,ACH-000940
560201,ACH-000950
580240,ACH-000956
592778,ACH-000960
602803,ACH-000963
632351,ACH-000971
636531,ACH-000972
652412,ACH-000977
669767,ACH-000980
710667,ACH-000987
717863,ACH-000988
746226,ACH-000991
764530,ACH-000992
884396,ACH-000999
995207,ACH-001364
997837,ACH-001369
1011613,ACH-001408
1033399,ACH-001521
1045300,ACH-001550
1065942,ACH-001610
1072509,ACH-001626
1102289,ACH-002059
1156026,ACH-002220
1168400,ACH-002238
1178532,ACH-002256
1234856,ACH-002388
