,IPO9 (55705)
ACH-000004,-0.6778605909269908
ACH-000005,-0.613469615085244
ACH-000007,-0.3654687005189403
ACH-000009,-0.6828705287281404
ACH-000011,-0.9594620475314404
ACH-000012,-0.7246766633830156
ACH-000013,-0.664083559183719
ACH-000014,-1.1097282251136291
ACH-000015,-0.7139468247807276
ACH-000017,-0.5266279555204469
ACH-000018,-0.91322938648097
ACH-000019,-0.6590502582359894
ACH-000021,-0.6756504494887842
ACH-000022,-0.6143449887800125
ACH-000025,-0.9318929630401916
ACH-000028,-0.9771556235474258
ACH-000030,-0.6955057048673722
ACH-000035,-0.5272668361380569
ACH-000036,-0.9908907827422141
ACH-000037,-0.30829636035674085
ACH-000039,-0.3234985021767916
ACH-000040,-0.9779360056543448
ACH-000041,-0.4919833108110856
ACH-000042,-0.9552341555359396
ACH-000045,-0.9258605255793108
ACH-000047,-0.8456494902448092
ACH-000052,-0.8120500393935762
ACH-000053,-0.4794977642619111
ACH-000054,-0.7409837427153656
ACH-000055,-0.7891613105244033
ACH-000060,-0.8675311724713705
ACH-000067,-0.5867051009447347
ACH-000070,-0.7695190345520708
ACH-000075,-0.6994880989881561
ACH-000078,-0.2158217683584552
ACH-000082,-0.687947842455131
ACH-000085,-0.8839410542925822
ACH-000086,-0.914471726915886
ACH-000087,-0.4135564971529253
ACH-000092,-0.7037754483895363
ACH-000095,-0.6425559300295967
ACH-000097,-0.8501124815128003
ACH-000098,-0.8371976550737921
ACH-000099,-0.4305624375279571
ACH-000108,-0.7216413727771439
ACH-000113,-0.5738161180935516
ACH-000116,-0.7980026935628939
ACH-000118,-0.8767099418975391
ACH-000120,-0.6685112314656817
ACH-000123,-0.8819571342943475
ACH-000127,-1.0175404531426766
ACH-000128,-0.5765392934123916
ACH-000132,-0.7843532887730562
ACH-000133,-0.9161460584970272
ACH-000137,-0.8656754795496885
ACH-000138,-1.0210856808972495
ACH-000142,-0.6834668479168174
ACH-000143,-0.7750979476326575
ACH-000146,-0.3466938384768232
ACH-000148,-0.9145858161700836
ACH-000150,-0.7326247464535269
ACH-000152,-0.5261412694961326
ACH-000153,-0.9244731921640852
ACH-000159,-0.5584835330869147
ACH-000160,-0.5210071938546295
ACH-000163,-0.9720240193514856
ACH-000167,-0.2757484184551038
ACH-000168,-0.8631617797807909
ACH-000169,-0.6497987469016826
ACH-000178,-0.8091448845526801
ACH-000183,-0.9134673877185779
ACH-000188,-0.6548679885798924
ACH-000189,-1.082820932269507
ACH-000190,-0.4758836526905546
ACH-000198,-0.8536862635427206
ACH-000203,-0.4558889363366261
ACH-000204,-1.094650543902062
ACH-000206,-1.391907012694268
ACH-000207,-0.7052816494566064
ACH-000208,-1.0494565789937818
