,DepMap_ID
23024,ACH-000065
23025,ACH-000065
32731,ACH-000089
41497,ACH-000124
43386,ACH-000131
48814,ACH-000152
80186,ACH-000254
93083,ACH-000294
156846,ACH-000458
164706,ACH-000478
168097,ACH-000486
168098,ACH-000486
174199,ACH-000502
192263,ACH-000546
198011,ACH-000558
213816,ACH-000591
218424,ACH-000602
231287,ACH-000629
233105,ACH-000633
233907,ACH-000635
241907,ACH-000650
271506,ACH-000703
289507,ACH-000737
295938,ACH-000749
315285,ACH-000779
331561,ACH-000786
331562,ACH-000786
331563,ACH-000786
331564,ACH-000786
331565,ACH-000786
331566,ACH-000786
356996,ACH-000787
366553,ACH-000800
366554,ACH-000800
385594,ACH-000823
392082,ACH-000831
395675,ACH-000837
400393,ACH-000843
401556,ACH-000844
406138,ACH-000849
420214,ACH-000866
421391,ACH-000867
432775,ACH-000877
433486,ACH-000878
449135,ACH-000890
468156,ACH-000908
469999,ACH-000909
494612,ACH-000922
513136,ACH-000932
520268,ACH-000936
535953,ACH-000941
552727,ACH-000947
555294,ACH-000948
558162,ACH-000949
566384,ACH-000952
572435,ACH-000954
580736,ACH-000956
593189,ACH-000960
609812,ACH-000965
629010,ACH-000970
633033,ACH-000971
653323,ACH-000977
659688,ACH-000978
659689,ACH-000978
659690,ACH-000978
666194,ACH-000979
666195,ACH-000979
696865,ACH-000985
711692,ACH-000987
718927,ACH-000988
735277,ACH-000990
735278,ACH-000990
747675,ACH-000991
774421,ACH-000992
774422,ACH-000992
823640,ACH-000993
851536,ACH-000996
873309,ACH-000998
873310,ACH-000998
873311,ACH-000998
873312,ACH-000998
873313,ACH-000998
888279,ACH-000999
888280,ACH-000999
888281,ACH-000999
913912,ACH-001042
914157,ACH-001047
918582,ACH-001064
923702,ACH-001081
934930,ACH-001118
935852,ACH-001126
976044,ACH-001328
977354,ACH-001332
981028,ACH-001336
996093,ACH-001365
1013540,ACH-001412
1018775,ACH-001442
1021950,ACH-001459
1025780,ACH-001498
1028848,ACH-001517
1028849,ACH-001517
1060910,ACH-001569
1062757,ACH-001591
1070860,ACH-001611
1071347,ACH-001617
1072135,ACH-001625
1114298,ACH-002114
1116245,ACH-002121
1164638,ACH-002232
1167025,ACH-002236
1179797,ACH-002256
1179798,ACH-002256
1179799,ACH-002256
1199396,ACH-002283
1200456,ACH-002286
1209595,ACH-002306
1212052,ACH-002309
1221377,ACH-002338
1230681,ACH-002368
