,LNX2 (222484)
ACH-000004,0.14715225337849347
ACH-000005,0.1965478683124616
ACH-000007,-0.044407342481719854
ACH-000009,0.18194745564402567
ACH-000011,0.0544791072455199
ACH-000012,0.19322043075492631
ACH-000013,0.09543701355379593
ACH-000014,0.1482403455996896
ACH-000015,0.013334326413684651
ACH-000017,0.15021227063374365
ACH-000018,0.1807840993476645
ACH-000019,0.13132838964232604
ACH-000021,0.08412071430937093
ACH-000022,0.2021863754574306
ACH-000025,0.10136491632340663
ACH-000028,0.035269547324839716
ACH-000030,0.20535769839417564
ACH-000035,0.050850575466942834
ACH-000036,0.2710408415423013
ACH-000037,0.05494283520069729
ACH-000039,0.15742461247531395
ACH-000040,0.01812796863264748
ACH-000041,0.1763084913375685
ACH-000042,0.0811106973042929
ACH-000045,0.061069342212245685
ACH-000047,0.11938002976951526
ACH-000052,0.1268025156669024
ACH-000053,0.14533393530909666
ACH-000054,0.16234937213121062
ACH-000055,0.12170725323638608
ACH-000060,0.02824268008787378
ACH-000067,0.2804622489439525
ACH-000070,0.147249946932142
ACH-000075,-0.06794423555907189
ACH-000078,0.16500540179301
ACH-000082,0.14316854563367667
ACH-000085,0.1068157311584043
ACH-000086,0.14003707456171327
ACH-000087,0.2914082361318576
ACH-000092,0.12115894586478775
ACH-000095,0.16834739015424488
ACH-000097,0.08173960604407295
ACH-000098,0.17672584477418835
ACH-000099,0.013717651366185716
ACH-000108,0.07051943624984011
ACH-000113,0.17040623476996092
ACH-000116,0.11188938822911733
ACH-000118,0.15269231415027926
ACH-000120,0.14857921143404362
ACH-000123,0.23010498377471386
ACH-000127,0.06684517881224168
ACH-000128,0.0013087886110908886
ACH-000132,-0.14857399420271558
ACH-000133,0.14079419964722545
ACH-000137,0.017437989997032343
ACH-000138,0.19657077304030007
ACH-000142,0.15447952862093106
ACH-000143,0.17583881254266626
ACH-000146,0.1359651098864695
ACH-000148,0.14802642416832335
ACH-000150,-0.09105912645748122
ACH-000152,0.18213752976265588
ACH-000153,0.3046005359463468
ACH-000159,0.11814930031452275
ACH-000160,0.04808840920603631
ACH-000163,0.1342097913499772
ACH-000167,0.08222648969003109
ACH-000168,0.06359932790663499
ACH-000169,0.1042510063811144
ACH-000178,0.17528172592873728
ACH-000183,0.12654572217769952
ACH-000188,0.1245528546389045
ACH-000189,0.3237416480488578
ACH-000190,0.16595156179313733
ACH-000198,0.1129388985437268
ACH-000203,0.36123905792020944
ACH-000204,0.080939667021987
ACH-000206,0.2410085669951676
ACH-000207,0.06403033804714027
ACH-000208,0.16170372116600154
