,LRCH3 (84859)
ACH-000004,-0.07462204487097822
ACH-000005,-0.07206447833878843
ACH-000007,0.04581642906706262
ACH-000009,-0.05506064675938002
ACH-000011,-0.1512430772523791
ACH-000012,-0.06711184035247185
ACH-000013,0.002970351173906252
ACH-000014,-0.1941892289748176
ACH-000015,-0.05454159710801478
ACH-000017,-0.20672423870518333
ACH-000018,-0.28389353176326154
ACH-000019,-0.2293387687083424
ACH-000021,-0.07562799753287372
ACH-000022,0.1059497004688106
ACH-000025,-0.023625538886973545
ACH-000028,-0.07107673049603047
ACH-000030,-0.1726021650602973
ACH-000035,-0.012181417425462705
ACH-000036,0.0408299796218738
ACH-000037,0.1020312441979218
ACH-000039,-0.08992836006018376
ACH-000040,-0.3972581036385819
ACH-000041,-0.04827302680801568
ACH-000042,-0.12114557784675994
ACH-000045,-0.015013859033285852
ACH-000047,-0.16197492908041491
ACH-000052,-0.1339064485528288
ACH-000053,-0.021949564365766717
ACH-000054,-0.19124639587732786
ACH-000055,-0.11543780293159248
ACH-000060,-0.276148375068384
ACH-000067,0.015003265388560134
ACH-000070,0.018346149535607374
ACH-000075,-0.06155117281117479
ACH-000078,0.021931097520508556
ACH-000082,-0.18641852452297014
ACH-000085,0.018696921721751674
ACH-000086,-0.011483889968947426
ACH-000087,0.006309843656180923
ACH-000092,-0.1239017322059141
ACH-000095,0.0037495660415226436
ACH-000097,-0.06883699674301043
ACH-000098,-0.15581742269533325
ACH-000099,-0.06545393042580631
ACH-000108,-0.27239095328894464
ACH-000113,-0.07414427641310344
ACH-000116,-0.11009277738077937
ACH-000118,-0.16929938667566213
ACH-000120,-0.09109603577192144
ACH-000123,-0.0739650038570146
ACH-000127,-0.14868656559956406
ACH-000128,-0.11649873571431718
ACH-000132,-0.036264320907439015
ACH-000133,-0.055179667721035705
ACH-000137,0.04930840091872115
ACH-000138,-0.08220371360381773
ACH-000142,-0.07119233937463403
ACH-000143,-0.13334051126026153
ACH-000146,-0.09973801551590032
ACH-000148,-0.018938258604967142
ACH-000150,-0.0965056964256899
ACH-000152,0.014796634529726212
ACH-000153,0.059402055123609035
ACH-000159,-0.037470698138923036
ACH-000160,0.025761571949850928
ACH-000163,-0.4226703096759922
ACH-000167,-0.0389131801121717
ACH-000168,-0.3279308375023282
ACH-000169,-0.048524072337478935
ACH-000178,-0.045915264877408435
ACH-000183,-0.165196479417432
ACH-000188,-0.06447005974592941
ACH-000189,-0.11674610841500475
ACH-000190,-0.15114163360662305
ACH-000198,-0.1949745731987913
ACH-000203,-0.0327654568913816
ACH-000204,-0.2120045046202747
ACH-000206,-0.24386511624898385
ACH-000207,-0.031229642308632257
ACH-000208,0.021550464190079683
ACH-000210,-0.1536649362506719
ACH-000211,-0.08781363911323495
ACH-000215,-0.1352556065786234
ACH-000221,0.05785178860564525
ACH-000222,0.04939514197211263
ACH-000223,-0.0673394673734093
ACH-000226,0.019494547733042742
ACH-000227,-0.02973903026959995
ACH-000228,0.11751482100111985
ACH-000231,-0.07860500346532606
ACH-000232,-0.3055465588611696
ACH-000233,-0.1015187825555311
ACH-000234,-0.10177990474788676
ACH-000235,-0.10568718803086302
ACH-000237,-0.0377767080371284
