,LZTS1 (11178)
ACH-000004,-0.2524008610342808
ACH-000005,0.11332035249396648
ACH-000007,-0.039214891792775035
ACH-000009,-0.07575936838521169
ACH-000011,-0.11424039784293
ACH-000012,-0.017022668097901258
ACH-000013,-0.052532508123194425
ACH-000014,-0.123259925773243
ACH-000015,0.005804990666352569
ACH-000017,-0.07200854050286784
ACH-000018,-0.15988647895967356
ACH-000019,0.0784953340901343
ACH-000021,0.037956550292774296
ACH-000022,-0.0893894978357704
ACH-000025,-0.18169103660335809
ACH-000028,0.009481504546366702
ACH-000030,0.011898661555853984
ACH-000035,-0.2055718215549377
ACH-000036,0.08000183866591623
ACH-000037,-0.15361224556702086
ACH-000039,-0.1612686773081705
ACH-000040,0.10206090939776467
ACH-000041,-0.1515498023236214
ACH-000042,-0.10077675983467534
ACH-000045,-0.09226069816843163
ACH-000047,-0.02736433791300161
ACH-000052,-0.2626253894107954
ACH-000053,0.039607410415659114
ACH-000054,0.019401823974581317
ACH-000055,0.06904739729327904
ACH-000060,-0.03832817706214158
ACH-000067,-0.042880032085255065
ACH-000070,-0.08453331817157222
ACH-000075,0.0181335038490426
ACH-000078,-0.07602616740907181
ACH-000082,-0.01833086925495743
ACH-000085,-0.08348925456296287
ACH-000086,0.0994534840741499
ACH-000087,-0.13494242298146888
ACH-000092,-0.02799665466861998
ACH-000095,-0.06683666848963209
ACH-000097,-0.021736787119761486
ACH-000098,0.06609083848891786
ACH-000099,-0.05552431797288447
ACH-000108,-0.12941580628239605
ACH-000113,-0.025605163369995583
ACH-000116,-0.06439663856605132
ACH-000118,0.03859608833902065
ACH-000120,0.01781891192449396
ACH-000123,0.04075243568405077
ACH-000127,0.07797000087178052
ACH-000128,-0.12617269926094812
ACH-000132,-0.024295383252753502
ACH-000133,-0.023594266847851986
ACH-000137,-0.0491184707072189
ACH-000138,-0.04899175309407465
ACH-000142,-0.027342213990063462
ACH-000143,-0.2460072663184754
ACH-000146,-0.04920716840876616
ACH-000148,-0.0016465090382816196
ACH-000150,-0.0944863171877428
ACH-000152,0.06766542225667507
ACH-000153,0.17172287246203044
ACH-000159,0.020809573472575067
ACH-000160,0.2356193064335269
ACH-000163,-0.0176260444851627
ACH-000167,0.5332764114446856
ACH-000168,-0.19419126113747706
ACH-000169,0.007925240110492778
ACH-000178,-0.16440747570679135
ACH-000183,-0.03203798735563451
ACH-000188,0.009172898821752677
ACH-000189,-0.16603498695074398
ACH-000190,0.4447742564081293
ACH-000198,0.003936337543830839
ACH-000203,-0.4653938175587822
ACH-000204,-0.07937211666234621
ACH-000206,-0.12132889570642312
ACH-000207,-0.13201341736779526
ACH-000208,-0.3160254027772409
ACH-000210,-0.19393756957503647
ACH-000211,-0.053788133347778655
ACH-000215,0.09869332796260434
ACH-000221,-0.18328649443254874
ACH-000222,-0.12310553820890363
ACH-000223,0.08131625355089482
ACH-000226,0.06233631169436396
ACH-000227,0.004853970243043628
ACH-000228,-0.11676564104555524
ACH-000231,0.06974708795331352
ACH-000232,-0.044483987409567785
ACH-000233,-0.05853471344681231
ACH-000234,-0.013506717571181515
ACH-000235,0.06453523762856947
ACH-000237,-0.015212844892339747
ACH-000238,-0.033151366475173416
ACH-000242,-0.5439730812407025
ACH-000243,0.0392581221779987
ACH-000244,0.038222602456182427
ACH-000246,0.0428187408457646
ACH-000248,0.13285226860541238
ACH-000250,-0.02642719960721221
ACH-000251,-0.11472249534141872
ACH-000252,-0.1227403423157283
ACH-000253,0.03781749727934966
ACH-000255,0.0488899099644086
ACH-000256,-0.13194183032832485
ACH-000257,0.06863621023080863
ACH-000258,-0.10228375375249392
ACH-000259,-0.026400981367005995
ACH-000260,-0.028723328471131338
ACH-000261,-0.11694774122665035
ACH-000262,-0.14875393179927032
ACH-000263,-0.4086659797915401
ACH-000264,-0.056870709723973414
ACH-000265,0.1280723180941928
ACH-000266,0.029476119274295283
ACH-000272,0.04894407914508577
ACH-000274,-0.013090144575217148
ACH-000277,0.019548600153770617
ACH-000278,0.020609883140401027
ACH-000279,-0.04665865805490792
ACH-000280,-0.2022304066694804
ACH-000281,0.01557306850555554
ACH-000288,0.1029817048262054
ACH-000291,-0.10599949020817333
ACH-000293,0.04405232427343032
ACH-000294,-0.14281480669780552
ACH-000295,-0.13753159530659753
ACH-000296,-0.09105489091242014
ACH-000302,-0.052505840277718256
ACH-000304,-0.02210398858998128
ACH-000307,-0.011906171308172505
ACH-000308,-0.02887569351879625
ACH-000310,-0.29602808507403194
ACH-000311,0.02649916749999228
ACH-000312,-0.11906844409267985
ACH-000315,-0.24399604208514405
ACH-000316,-0.0036183049768463696
ACH-000317,-0.11566868539005035
ACH-000318,-0.13419982722309326
ACH-000319,0.012077098669757294
ACH-000320,-0.1633870337614602
ACH-000322,-0.21333561604858087
ACH-000323,-0.04778346424454085
ACH-000324,-0.02736781021125272
ACH-000329,0.039136662418337055
ACH-000330,-0.2472549143869009
ACH-000331,-0.09527293758746326
ACH-000332,-0.036454909399607716
ACH-000334,-0.012327265461245941
ACH-000335,-0.15722255103914026
ACH-000336,0.13659332056060974
ACH-000337,0.012033591424020823
ACH-000338,0.2027583246024752
ACH-000339,-0.0045095908488205615
ACH-000341,-0.023805007301264426
ACH-000348,0.03925745597133997
ACH-000350,-0.16162697693298178
ACH-000352,-0.12254394102269445
ACH-000356,-0.2401912593580361
ACH-000361,-0.18194843671037605
ACH-000362,-0.15523427420208005
ACH-000363,-0.09146723563938508
ACH-000364,-0.08324298306672794
ACH-000365,-0.06584065739247247
ACH-000366,0.04559311108024322
ACH-000368,0.05699120677871381
ACH-000374,-0.04320713295141615
ACH-000375,-0.042926922721941686
ACH-000376,-0.045617271847034006
ACH-000381,-0.1549535662079811
ACH-000383,0.08094369094575506
ACH-000387,-0.03685065540086616
ACH-000389,-0.011864327196802178
ACH-000390,-0.04616992996174829
ACH-000393,0.013185009987564812
ACH-000395,-0.20586844151755265
ACH-000396,0.09515352978345276
ACH-000397,-0.12775690007274626
ACH-000401,0.12033996317102726
ACH-000402,-0.1155869051789927
ACH-000403,-0.12401990895520275
ACH-000404,-0.008209187479833166
ACH-000406,-0.02383581450945975
ACH-000407,-0.12213048530714556
ACH-000408,0.054979507773675336
ACH-000410,-0.13297541988533731
ACH-000411,0.05011194299276798
ACH-000414,-0.0038347137517026
ACH-000415,-0.1628433661308027
ACH-000416,-0.13331801270913585
ACH-000420,0.023839656364172398
ACH-000421,-0.07069208751626258
ACH-000424,0.027319623444562343
ACH-000425,-0.017218509823783302
ACH-000426,-0.09269275102936526
ACH-000427,0.03949078471350665
ACH-000433,0.04790366215991618
ACH-000435,0.043965194431803134
ACH-000436,0.25886741783928274
ACH-000444,-0.10404550651795744
ACH-000445,0.04864393386070635
ACH-000448,-0.03757168491082966
ACH-000450,0.07498654354343669
ACH-000452,0.01094894578540121
ACH-000454,0.14179757088214848
ACH-000458,-0.03084948088250028
ACH-000459,-0.13056768196628854
ACH-000460,-0.05098490736764757
ACH-000461,-0.10271478969013437
ACH-000463,-0.07989886552622645
ACH-000464,0.008820701803036181
ACH-000466,-0.09330398457577582
ACH-000467,-0.0009128051608879856
ACH-000468,-0.06111505684150297
ACH-000469,-0.1050162428404462
ACH-000470,-0.2724884789505394
ACH-000471,-0.024788700837456257
ACH-000472,-0.03041120908382932
ACH-000473,-0.03817301042373867
ACH-000475,-0.012627859824778596
ACH-000476,-0.03636483953621554
ACH-000477,0.1266225836723395
ACH-000479,-0.15763796454937076
ACH-000480,-0.08943551420768336
ACH-000481,-0.05104806247079918
ACH-000483,-0.17049634078736225
ACH-000484,-0.2231364042031438
ACH-000485,-0.19943633061626906
ACH-000486,-0.10184194225224726
ACH-000487,-0.03229645744485275
ACH-000488,0.050995875791106884
ACH-000490,-0.0839191404529368
ACH-000491,-0.06317450322771946
ACH-000495,-0.021330486224375098
ACH-000496,0.029393033956825174
ACH-000499,-0.11978846943235827
ACH-000500,0.4251732410596519
ACH-000502,0.038325320187670917
ACH-000503,-0.2270812264391989
ACH-000505,-0.1105242462585373
ACH-000507,0.1104540124278488
ACH-000510,0.003389191528834216
