,DepMap_ID
41314,ACH-000123
45231,ACH-000138
45900,ACH-000141
46462,ACH-000143
47971,ACH-000148
50351,ACH-000157
52525,ACH-000164
75387,ACH-000240
91459,ACH-000289
96790,ACH-000304
101214,ACH-000314
103105,ACH-000318
109310,ACH-000337
114269,ACH-000350
116472,ACH-000355
157239,ACH-000459
162237,ACH-000471
178134,ACH-000511
191838,ACH-000545
192459,ACH-000546
214473,ACH-000593
226285,ACH-000618
232727,ACH-000632
242693,ACH-000651
268538,ACH-000698
268539,ACH-000698
269888,ACH-000700
272209,ACH-000704
272775,ACH-000705
280843,ACH-000721
302924,ACH-000760
320747,ACH-000785
360708,ACH-000791
373404,ACH-000808
385981,ACH-000823
388282,ACH-000826
421717,ACH-000867
440276,ACH-000883
443414,ACH-000885
475113,ACH-000912
500015,ACH-000925
516190,ACH-000933
533906,ACH-000940
542842,ACH-000943
550864,ACH-000946
553541,ACH-000947
569897,ACH-000953
581789,ACH-000956
584681,ACH-000957
604878,ACH-000963
608102,ACH-000964
630342,ACH-000970
638737,ACH-000972
646072,ACH-000974
671277,ACH-000980
682163,ACH-000982
682164,ACH-000982
687095,ACH-000983
687096,ACH-000983
687097,ACH-000983
692400,ACH-000984
699203,ACH-000985
706651,ACH-000986
728589,ACH-000989
740176,ACH-000990
796374,ACH-000992
796375,ACH-000992
796376,ACH-000992
796377,ACH-000992
796378,ACH-000992
796379,ACH-000992
836338,ACH-000994
855294,ACH-000996
855295,ACH-000996
866570,ACH-000997
876935,ACH-000998
897615,ACH-000999
908754,ACH-001022
915501,ACH-001054
915502,ACH-001054
915503,ACH-001054
920956,ACH-001075
920957,ACH-001075
930753,ACH-001090
933299,ACH-001107
933972,ACH-001111
934618,ACH-001113
940713,ACH-001127
940714,ACH-001127
944480,ACH-001134
953815,ACH-001173
958247,ACH-001197
967648,ACH-001239
969775,ACH-001277
970014,ACH-001278
971396,ACH-001295
976779,ACH-001329
982357,ACH-001340
983365,ACH-001344
987551,ACH-001345
991234,ACH-001354
991824,ACH-001356
996831,ACH-001367
1001532,ACH-001375
1001738,ACH-001376
1003068,ACH-001377
1004247,ACH-001379
1007275,ACH-001394
1007276,ACH-001394
1012349,ACH-001409
1013175,ACH-001411
1014497,ACH-001413
1015208,ACH-001414
1020995,ACH-001454
1021723,ACH-001458
1022080,ACH-001459
1036215,ACH-001524
1039692,ACH-001532
1053985,ACH-001555
1054478,ACH-001557
1054479,ACH-001557
1055226,ACH-001560
1055780,ACH-001562
1056588,ACH-001563
1056589,ACH-001563
1063889,ACH-001603
1063890,ACH-001603
1075065,ACH-001642
1087026,ACH-001715
1090402,ACH-001737
1095567,ACH-001790
1126209,ACH-002156
1160435,ACH-002222
1160436,ACH-002222
1176538,ACH-002253
1182860,ACH-002256
1188501,ACH-002263
1226531,ACH-002348
1231436,ACH-002371
1240763,ACH-002396
