,DepMap_ID
9051,ACH-000026
25713,ACH-000065
25714,ACH-000065
25715,ACH-000065
25716,ACH-000065
25717,ACH-000065
25718,ACH-000065
48008,ACH-000148
48961,ACH-000152
87447,ACH-000276
102395,ACH-000316
108408,ACH-000334
123798,ACH-000375
158876,ACH-000463
189466,ACH-000539
195432,ACH-000552
197457,ACH-000556
197458,ACH-000556
248696,ACH-000662
271831,ACH-000703
301072,ACH-000757
316775,ACH-000780
347123,ACH-000786
347124,ACH-000786
347125,ACH-000786
347126,ACH-000786
347127,ACH-000786
347128,ACH-000786
347129,ACH-000786
347130,ACH-000786
347131,ACH-000786
347132,ACH-000786
347133,ACH-000786
347134,ACH-000786
358904,ACH-000789
384320,ACH-000821
409868,ACH-000853
510945,ACH-000930
510946,ACH-000930
521265,ACH-000936
528795,ACH-000938
551201,ACH-000946
582147,ACH-000956
594571,ACH-000960
630856,ACH-000970
646619,ACH-000974
676417,ACH-000981
676418,ACH-000981
676419,ACH-000981
687482,ACH-000983
707690,ACH-000986
715146,ACH-000987
729569,ACH-000989
741914,ACH-000990
752090,ACH-000991
805371,ACH-000992
805372,ACH-000992
805373,ACH-000992
805374,ACH-000992
805375,ACH-000992
805376,ACH-000992
805377,ACH-000992
805378,ACH-000992
805379,ACH-000992
805380,ACH-000992
805381,ACH-000992
805382,ACH-000992
805383,ACH-000992
805384,ACH-000992
805385,ACH-000992
805386,ACH-000992
805387,ACH-000992
805388,ACH-000992
805389,ACH-000992
805390,ACH-000992
805391,ACH-000992
805392,ACH-000992
805393,ACH-000992
805394,ACH-000992
805395,ACH-000992
805396,ACH-000992
805397,ACH-000992
837628,ACH-000994
857073,ACH-000996
857074,ACH-000996
878405,ACH-000998
901082,ACH-000999
914661,ACH-001049
927464,ACH-001081
945289,ACH-001136
963433,ACH-001203
993857,ACH-001362
1001267,ACH-001374
1018554,ACH-001433
1041340,ACH-001540
1049162,ACH-001550
1074429,ACH-001639
1088524,ACH-001735
1093205,ACH-001740
1104331,ACH-002062
1122298,ACH-002146
1161041,ACH-002222
