,MLN (4295)
ACH-000004,0.033691503681566766
ACH-000005,-0.04922316230699458
ACH-000007,0.0924759966023225
ACH-000009,0.052560535838815085
ACH-000011,0.04561291530609116
ACH-000012,0.09538403275746617
ACH-000013,-0.0476338126182777
ACH-000014,-0.0392579404788036
ACH-000015,0.15350156634388365
ACH-000017,0.1029161822177391
ACH-000018,0.13609725031600367
ACH-000019,0.05362728393278229
ACH-000021,0.14359542388604554
ACH-000022,0.1369775553806225
ACH-000025,0.029021271425594138
ACH-000028,0.014835396421102412
ACH-000030,0.1517891394414937
ACH-000035,0.06895911429861319
ACH-000036,0.12307574591621664
ACH-000037,0.21756676072211095
ACH-000039,0.3357535073512229
ACH-000040,0.04318521852715234
ACH-000041,0.15061861959594408
ACH-000042,0.015269259610487872
ACH-000045,0.1387673691325449
ACH-000047,0.07861699956732868
ACH-000052,-0.08824174639607556
ACH-000053,0.09828083277119268
ACH-000054,0.18881539393887886
ACH-000055,0.10269741191959048
ACH-000060,-0.01652016251631872
ACH-000067,0.115262872144596
ACH-000070,0.19735384367335765
ACH-000075,-0.04749367111238025
ACH-000078,0.14806597953495915
ACH-000082,0.02905209177509302
ACH-000085,0.1176929857297022
ACH-000086,0.1853240831416783
ACH-000087,0.008123291229950135
ACH-000092,0.07034531359503758
ACH-000095,0.1588353190333247
ACH-000097,0.14849041174171726
ACH-000098,0.181118241219543
ACH-000099,0.17101130598871506
ACH-000108,0.011917760561847759
ACH-000113,0.1063213425882252
ACH-000116,0.20103949568367704
ACH-000118,-0.022434010054727786
ACH-000120,0.1335225749804394
ACH-000123,0.1668673613638101
ACH-000127,0.1611471325296138
ACH-000128,0.19171057287112733
ACH-000132,-0.07431914802990819
ACH-000133,0.20435092268290628
ACH-000137,-0.06326615481658165
ACH-000138,0.06602758183353727
ACH-000142,0.017793989338302132
ACH-000143,0.13652291570917727
ACH-000146,0.015345412712388491
ACH-000148,0.12126122321493785
ACH-000150,0.06903026180828509
ACH-000152,-0.03704603682265522
ACH-000153,-0.04291058424433506
ACH-000159,0.12333588745236447
ACH-000160,-0.027306310747319425
ACH-000163,0.026911117007766376
ACH-000167,0.15949962719500205
ACH-000168,-0.09771132070546874
ACH-000169,0.2019441642299814
ACH-000178,0.10374691971742933
ACH-000183,0.09072311777444468
ACH-000188,0.033674442154663066
ACH-000189,-0.08296520310729336
ACH-000190,-0.13402265934620272
ACH-000198,0.05458178273341311
ACH-000203,0.30187373749814417
ACH-000204,0.22203286107330106
ACH-000206,0.1793019617543566
ACH-000207,0.05486907888528586
ACH-000208,-0.003091362424343302
ACH-000210,0.0152428324118277
ACH-000211,0.12143985483019533
ACH-000215,0.09661744684377616
ACH-000221,0.12242305342755826
ACH-000222,0.06613970474722168
ACH-000223,0.0660087865692876
ACH-000226,0.07026826952722605
ACH-000227,0.04720349428907599
ACH-000228,-0.05983145350878375
ACH-000231,0.06930520295630288
ACH-000232,0.09992683764486504
ACH-000233,0.015146435748982244
ACH-000234,0.15456441986476374
ACH-000235,0.05665108480068426
ACH-000237,0.06851084831040118
ACH-000238,0.057396248046832764
ACH-000242,0.3587487962884303
ACH-000243,0.14475623631658188
ACH-000244,0.2216420461355285
ACH-000246,0.1976776110048763
ACH-000248,0.07959281754584333
ACH-000250,0.015675118190053492
ACH-000251,0.2437135667741275
ACH-000252,0.1177562199748504
ACH-000253,0.09223592241760938
ACH-000255,-0.0063548136291855855
ACH-000256,0.05902838236934304
ACH-000257,0.15813884838972653
ACH-000258,0.12089846377753627
ACH-000259,0.04294601206344407
ACH-000260,0.15699102788408453
ACH-000261,0.043148679052699736
ACH-000262,0.04993198265824178
ACH-000263,0.2320062464774287
ACH-000264,0.04208972591622264
ACH-000265,-0.10167247019557428
ACH-000266,0.003502879085502897
ACH-000272,0.03127476200849563
ACH-000274,0.07315187045271195
ACH-000277,0.13952978480027514
ACH-000278,0.03907695502812975
ACH-000279,0.04569514350387435
ACH-000280,0.06847434217157858
ACH-000281,0.0711527395881182
ACH-000288,0.07056663738238991
ACH-000291,-0.03804362904663687
ACH-000293,0.037855518252737586
ACH-000294,0.07964601887335422
ACH-000295,0.06822495350212343
ACH-000296,0.3710804169389357
ACH-000302,0.15052067316912565
ACH-000304,0.23592137989775944
ACH-000307,0.012886047969189551
ACH-000308,0.0009239946972783305
ACH-000310,0.19735741926331596
ACH-000311,-0.062438102279971076
ACH-000312,0.062095268294936126
ACH-000315,0.16323518983013824
ACH-000316,0.11812995496731142
ACH-000317,0.05844210971883655
ACH-000318,0.18142409823074854
ACH-000319,0.24196633665733405
ACH-000320,0.09930411813318324
ACH-000322,0.2774971536889417
ACH-000323,0.05534648991931655
ACH-000324,0.037528901266419785
ACH-000329,0.09307649005378844
ACH-000330,0.06176111865519567
ACH-000331,0.184670352775904
ACH-000332,0.08052716297508178
ACH-000334,0.1805410810729172
ACH-000335,0.14700207614395888
ACH-000336,0.17244645383065754
ACH-000337,0.031620718413248906
ACH-000338,-0.17084352282308568
ACH-000339,0.09430361946816734
ACH-000341,0.16660466608458974
ACH-000348,0.10051977822137403
ACH-000350,0.12529713586236468
ACH-000352,0.026012894284026263
ACH-000356,-0.27597590224883434
ACH-000361,0.22064326665055808
ACH-000362,0.1386326482942833
ACH-000363,0.009034673759945927
ACH-000364,0.12209658810095053
ACH-000365,0.11878866795064424
ACH-000366,0.11457705088160193
ACH-000368,0.12241045737522653
ACH-000374,0.14507393641244132
ACH-000375,0.06395108373472443
ACH-000376,0.028943228884734037
ACH-000381,0.21638845225080336
ACH-000383,0.0018096084434323593
ACH-000387,0.057555243852014125
ACH-000389,0.229280792680464
ACH-000390,0.12275955747496738
ACH-000393,0.013253285290614468
ACH-000395,0.20722424380999907
ACH-000396,-0.08027059707551949
ACH-000397,0.12923208237313658
ACH-000401,0.13831812874228155
ACH-000402,0.4797523762417142
ACH-000403,0.11960525594928173
ACH-000404,0.3011507931204493
ACH-000406,0.08292142225426907
ACH-000407,0.01348415241277823
ACH-000408,0.022795001481606243
ACH-000410,0.1012197063808435
ACH-000411,0.0335189216912964
ACH-000414,0.01334356590799983
ACH-000415,0.10217360015984868
ACH-000416,0.0964660705138011
ACH-000420,0.11959886491923588
ACH-000421,0.13522637327553794
ACH-000424,0.13450308634163682
ACH-000425,0.1370967889919706
ACH-000426,-0.028083833002789396
ACH-000427,0.006997812304641741
ACH-000433,0.06939421598792016
ACH-000435,0.16783465740521367
ACH-000436,0.08059253097736511
ACH-000444,0.11814049017735545
ACH-000445,0.18746635398368228
ACH-000448,0.16492592986528926
