,DepMap_ID
36626,ACH-000104
64214,ACH-000205
79457,ACH-000252
96631,ACH-000304
100853,ACH-000314
111364,ACH-000343
146914,ACH-000433
155391,ACH-000454
163494,ACH-000475
180645,ACH-000516
190753,ACH-000543
223082,ACH-000611
224124,ACH-000614
263417,ACH-000690
285433,ACH-000729
287395,ACH-000733
391250,ACH-000830
402658,ACH-000845
428268,ACH-000873
471507,ACH-000910
504506,ACH-000928
511923,ACH-000931
555564,ACH-000948
583905,ACH-000957
610121,ACH-000965
617925,ACH-000967
629309,ACH-000970
633417,ACH-000971
641379,ACH-000973
660294,ACH-000978
666597,ACH-000979
690684,ACH-000984
690685,ACH-000984
719597,ACH-000988
726542,ACH-000989
726543,ACH-000989
726544,ACH-000989
736489,ACH-000990
736490,ACH-000990
824268,ACH-000993
824269,ACH-000993
833418,ACH-000994
833419,ACH-000994
843054,ACH-000995
852444,ACH-000996
852445,ACH-000996
863711,ACH-000997
863712,ACH-000997
863713,ACH-000997
863714,ACH-000997
890607,ACH-000999
890608,ACH-000999
907155,ACH-001002
920286,ACH-001068
920287,ACH-001068
959645,ACH-001199
967494,ACH-001239
978721,ACH-001333
985925,ACH-001345
998598,ACH-001369
1022314,ACH-001460
1067201,ACH-001610
1067202,ACH-001610
1083298,ACH-001674
1097691,ACH-001957
1102740,ACH-002059
1106925,ACH-002094
1113372,ACH-002110
1117910,ACH-002127
1124963,ACH-002153
1125686,ACH-002155
1164818,ACH-002232
1166423,ACH-002234
1205962,ACH-002295
1219665,ACH-002317
1220249,ACH-002336
1228050,ACH-002355
1228744,ACH-002359
