,NPB (256933)
ACH-000004,-0.32310126813535833
ACH-000005,-0.3115737347082458
ACH-000007,-0.3457898969564227
ACH-000009,-0.408262042235324
ACH-000011,-0.4401388644953377
ACH-000012,-0.4431911213965722
ACH-000013,-0.4543880423751575
ACH-000014,-0.4285683810136876
ACH-000015,-0.38561970664118017
ACH-000017,-0.5204898322867355
ACH-000018,-0.11963617596764135
ACH-000019,-0.2777032987295966
ACH-000021,-0.37684472311146855
ACH-000022,-0.4367362466280891
ACH-000025,-0.5182130037464575
ACH-000028,-0.3136756705899824
ACH-000030,-0.3850906496031127
ACH-000035,-0.33699618226148903
ACH-000036,-0.4976587962370508
ACH-000037,-0.3645046852495267
ACH-000039,-0.33705888432325914
ACH-000040,-0.4999127637541523
ACH-000041,-0.3206544132566031
ACH-000042,-0.5482569779086552
ACH-000045,-0.4842320201260985
ACH-000047,-0.6120781089150018
ACH-000052,-0.4748235366298151
ACH-000053,-0.4322896951892658
ACH-000054,-0.5473656171973355
ACH-000055,-0.36161944516242206
ACH-000060,-0.23677604026554705
ACH-000067,-0.35055059700699265
ACH-000070,-0.02725967553913694
ACH-000075,-0.5668329011118548
ACH-000078,-0.7230864808052093
ACH-000082,-0.5281804326489716
ACH-000085,-0.37960643173281394
ACH-000086,-0.3733462161278249
ACH-000087,-0.3966290728764125
ACH-000092,-0.3197928152525417
ACH-000095,-0.4880572078326664
ACH-000097,-0.43049839304621823
ACH-000098,-0.3908101476915725
ACH-000099,-0.5540168676815115
ACH-000108,-0.5699159637317193
ACH-000113,-0.4893703262524848
ACH-000116,-0.558024763350834
ACH-000118,-0.3547865419132197
ACH-000120,-0.5850077689236773
ACH-000123,-0.2335277378094016
ACH-000127,-0.22502658282576607
ACH-000128,-0.5379472546272427
ACH-000132,-0.5127833950472266
ACH-000133,-0.2760549481375451
ACH-000137,-0.34046938321587433
ACH-000138,-0.3379229835208271
ACH-000142,-0.5724626480813417
ACH-000143,-0.4337987142327078
ACH-000146,-0.3710085044869729
ACH-000148,-0.4671117251907264
ACH-000150,-0.5481350886215294
ACH-000152,-0.22343366323009653
ACH-000153,-0.4857293442206589
ACH-000159,-0.4700667393017856
ACH-000160,-0.5892342432207308
ACH-000163,-0.5059781137886613
ACH-000167,-0.7107126565679622
ACH-000168,-0.547750140356169
ACH-000169,-0.5795777044413101
ACH-000178,-0.332707173200039
ACH-000183,-0.2409779968206225
ACH-000188,-0.3277778854716333
ACH-000189,-0.4737436024373223
ACH-000190,-0.5579359966254096
ACH-000198,-0.4561855150529165
ACH-000203,-0.5642828222058061
ACH-000204,-0.5635839994587
ACH-000206,-0.2305009504615619
ACH-000207,-0.6340008958021606
