,DepMap_ID
10908,ACH-000032
36086,ACH-000101
36087,ACH-000101
36088,ACH-000101
68319,ACH-000218
87510,ACH-000276
99191,ACH-000310
122316,ACH-000371
134839,ACH-000403
140074,ACH-000416
165751,ACH-000480
180459,ACH-000515
200081,ACH-000561
212490,ACH-000588
225497,ACH-000616
275529,ACH-000711
279950,ACH-000719
288457,ACH-000734
352417,ACH-000786
352418,ACH-000786
352419,ACH-000786
372994,ACH-000807
384435,ACH-000821
387740,ACH-000825
410046,ACH-000853
413530,ACH-000858
477007,ACH-000913
500607,ACH-000925
514718,ACH-000932
551661,ACH-000946
557234,ACH-000948
559628,ACH-000949
579537,ACH-000955
592256,ACH-000959
598567,ACH-000961
605954,ACH-000963
635711,ACH-000971
669013,ACH-000979
684116,ACH-000982
716421,ACH-000987
744111,ACH-000990
753546,ACH-000991
753547,ACH-000991
814846,ACH-000992
814847,ACH-000992
814848,ACH-000992
814849,ACH-000992
828780,ACH-000993
828781,ACH-000993
859022,ACH-000996
859023,ACH-000996
880065,ACH-000998
880066,ACH-000998
928899,ACH-001081
964285,ACH-001206
989449,ACH-001345
1003626,ACH-001377
1019108,ACH-001442
1065177,ACH-001607
1080392,ACH-001650
1103790,ACH-002059
1171459,ACH-002238
1194015,ACH-002272
