,NXN (64359)
ACH-000004,0.0493125675806944
ACH-000005,-0.04759316022987423
ACH-000007,-0.14225617125886414
ACH-000009,-0.22545029518656676
ACH-000011,0.03492645893410877
ACH-000012,-0.09770631563909063
ACH-000013,-0.03882334501098601
ACH-000014,-0.2337848711874055
ACH-000015,-0.04006184392752599
ACH-000017,-0.10232423443704028
ACH-000018,-0.048201310592953565
ACH-000019,-0.08145962518355414
ACH-000021,-0.042583058546347176
ACH-000022,-0.10026838913436747
ACH-000025,-0.10620387323553923
ACH-000028,-0.0946171530628786
ACH-000030,-0.10497417312203568
ACH-000035,0.00963305276715856
ACH-000036,-0.0940339444431792
ACH-000037,-0.011908088192711773
ACH-000039,-0.022971756131590297
ACH-000040,-0.14741551265548727
ACH-000041,0.025468229295964817
ACH-000042,-0.14945278987855826
ACH-000045,-0.17365925554066525
ACH-000047,-0.1675384360577188
ACH-000052,-0.14704159292838867
ACH-000053,-0.12348254899219607
ACH-000054,0.005229139455812999
ACH-000055,-0.19039564443192472
ACH-000060,-0.06554504722368115
ACH-000067,-0.1049951893176392
ACH-000070,-0.2371608720933517
ACH-000075,0.040541124267162096
ACH-000078,-0.08593164897061861
ACH-000082,-0.013955219116352877
ACH-000085,0.004557464367858057
ACH-000086,-0.11102846607411712
ACH-000087,-0.21074960120674024
ACH-000092,0.039874749055087054
ACH-000095,-0.1934552402747142
ACH-000097,-0.07211906127950513
ACH-000098,-0.1094894843000186
ACH-000099,-0.13098418869011194
ACH-000108,-0.023910857475181468
ACH-000113,-0.11079006492769362
ACH-000116,-0.0716867272722691
ACH-000118,-0.10257049004622844
ACH-000120,-0.13958571109655896
ACH-000123,-0.051309318004230234
ACH-000127,-0.07504052967569443
ACH-000128,-0.08002193671988732
ACH-000132,-0.0986574266849709
ACH-000133,-0.005030976216226288
ACH-000137,-0.13864351428153307
ACH-000138,-0.07052656178759531
ACH-000142,-0.01562527882372045
ACH-000143,0.0817159529574135
ACH-000146,-0.09428541962020874
ACH-000148,-0.19228179054309869
ACH-000150,-0.12072498593838925
ACH-000152,-0.14624624430959052
ACH-000153,-0.20369006300652095
ACH-000159,-0.15285129865486952
ACH-000160,-0.16511938394937342
ACH-000163,-0.029729956871184158
ACH-000167,-0.20564599831172692
ACH-000168,-0.27887163326368797
ACH-000169,-0.18541481617107192
ACH-000178,-0.026714736934245198
ACH-000183,-0.27598219184163103
ACH-000188,-0.012452466441331888
ACH-000189,0.03233980394068644
ACH-000190,0.08328944496290706
ACH-000198,-0.06063322417520318
ACH-000203,-0.005465960146348974
ACH-000204,-0.3124280108860495
ACH-000206,-0.16081860677086218
ACH-000207,0.030826372667435167
ACH-000208,-0.03201709928394307
ACH-000210,-0.06426982590318482
ACH-000211,-0.06192930087461266
ACH-000215,-0.10939643739647828
ACH-000221,-0.022011192703487392
ACH-000222,-0.01008174435060059
ACH-000223,-0.09716965370025916
ACH-000226,-0.016313119145324004
ACH-000227,-0.12222094228364187
ACH-000228,-0.10829096279782803
ACH-000231,0.0628576708812308
ACH-000232,-0.028759610177191405
ACH-000233,-0.3365322202848525
ACH-000234,-0.20728550313581812
