,OR52K1 (390036)
ACH-000004,-0.007534209610932677
ACH-000005,-0.13998921282810867
ACH-000007,-0.17822892419574138
ACH-000009,-0.06951831234499617
ACH-000011,0.021032674201440556
ACH-000012,-0.09674930008373726
ACH-000013,-0.022942961520485583
ACH-000014,0.061801133798879276
ACH-000015,-0.025310069310077173
ACH-000017,0.09373878701226997
ACH-000018,-0.03971877001084447
ACH-000019,-0.08812723538049709
ACH-000021,0.035080330145742224
ACH-000022,0.08518992219444445
ACH-000025,-0.00027592799792732165
ACH-000028,0.04511724514729159
ACH-000030,-0.07604962003687626
ACH-000035,-0.12657014416848306
ACH-000036,-0.08204944853588939
ACH-000037,0.043389457285542415
ACH-000039,-0.031420882750997005
ACH-000040,0.0734192569202834
ACH-000041,0.05285500531366349
ACH-000042,-0.07869217691346563
ACH-000045,-0.09341234086989733
ACH-000047,-0.011287884330323258
ACH-000052,0.2367674803591081
ACH-000053,0.037444455905608034
ACH-000054,-0.014957029566716531
ACH-000055,-0.14007321259257918
ACH-000060,-0.11301421361423765
ACH-000067,-0.024833967642152958
ACH-000070,-0.11622962000665972
ACH-000075,0.16244631906897322
ACH-000078,-0.07990034504546531
ACH-000082,-0.04111591735566216
ACH-000085,0.16457913238574648
ACH-000086,0.09929651210595114
ACH-000087,0.04029676609610785
ACH-000092,0.031777932765868634
ACH-000095,0.06904858964943524
ACH-000097,0.0026972220417877733
ACH-000098,-0.049877899535851526
ACH-000099,0.006164596237181097
ACH-000108,0.1101915419490713
ACH-000113,-0.026342430804206417
ACH-000116,-0.01448087480888891
ACH-000118,0.13910140399218174
ACH-000120,-0.15844688170353005
ACH-000123,0.03717303451261413
ACH-000127,0.02110296161635566
ACH-000128,0.23900359785473144
ACH-000132,-0.04378559199263974
ACH-000133,-0.01925928892132708
ACH-000137,-0.06652205026258409
ACH-000138,0.0695560621962051
ACH-000142,-0.08092595052517366
ACH-000143,-0.03737449179178926
ACH-000146,-0.022724580637511444
ACH-000148,-0.02595777806117078
ACH-000150,0.018718594272979183
ACH-000152,-0.06993991689024219
ACH-000153,0.020610204323682456
ACH-000159,-0.016801033032862976
ACH-000160,0.024408286105941885
ACH-000163,0.06355813775170734
ACH-000167,0.023742806886533636
ACH-000168,0.021188731305061118
ACH-000169,0.021466093214805526
ACH-000178,0.018484139296512558
ACH-000183,0.15304202639861192
ACH-000188,0.15911536683137342
ACH-000189,-0.06380642402564753
ACH-000190,0.03163852474606872
ACH-000198,0.03140105528416888
ACH-000203,0.21072205303627053
ACH-000204,0.12657625663629932
ACH-000206,0.020734874440961604
ACH-000207,0.15232504796982327
ACH-000208,0.17814440136124318
ACH-000210,0.057184834946588485
ACH-000211,0.02864782777059465
ACH-000215,0.06879758896919487
