,PARPBP (55010)
ACH-000004,0.04826272316520986
ACH-000005,0.10527546100298908
ACH-000007,-0.05440810751028504
ACH-000009,-0.1915219988026534
ACH-000011,-0.09489731530603593
ACH-000012,-0.10633486273437276
ACH-000013,-0.06407366619027136
ACH-000014,-0.0035880146809482397
ACH-000015,0.04976964665983888
ACH-000017,-0.10958772601718396
ACH-000018,-0.111957136917338
ACH-000019,0.005748860431690192
ACH-000021,-0.03930308643774241
ACH-000022,-0.19984413993151529
ACH-000025,-0.06425642143517724
ACH-000028,0.0906967249400691
ACH-000030,-0.051539462928106974
ACH-000035,-0.1098640954209602
ACH-000036,-0.12415299068830872
ACH-000037,-0.06648125193368325
ACH-000039,-0.10694656654191824
ACH-000040,-0.12728909303299127
ACH-000041,-0.01797953598110829
ACH-000042,-0.1053080895553242
ACH-000045,-0.006212860469605104
ACH-000047,0.08422551182805749
ACH-000052,-0.3715098453106088
ACH-000053,-0.09687117023739483
ACH-000054,0.005259885186813511
ACH-000055,0.06805857197640032
ACH-000060,0.01706021142007618
ACH-000067,4.774350779373141e-05
ACH-000070,-0.029550871814657827
ACH-000075,-0.20250907563407491
ACH-000078,-0.17644354127681633
ACH-000082,-0.1284037097279346
ACH-000085,-0.20208857687294549
ACH-000086,-0.054818881534059324
ACH-000087,-0.03499190499519711
ACH-000092,-0.17308855848670462
ACH-000095,-0.15074456689150698
ACH-000097,-0.1009461736163806
ACH-000098,-0.106831856693971
ACH-000099,-0.06407978283284259
ACH-000108,-0.05011652480668133
ACH-000113,-0.049193787113138925
ACH-000116,-0.06038582410314095
ACH-000118,-0.011984651433232149
ACH-000120,-0.024334022157536352
ACH-000123,-0.027061537449995527
ACH-000127,-0.014962379076000615
ACH-000128,-0.08862720294019152
ACH-000132,0.052438364440425884
ACH-000133,-0.15757661236934162
ACH-000137,-0.11892609814251467
ACH-000138,-0.0501839142155183
ACH-000142,-0.0458446938786734
ACH-000143,-0.11619004079397426
ACH-000146,-0.07548365114296768
ACH-000148,-0.10909878278634964
ACH-000150,-0.22131184831946726
ACH-000152,-0.12873968381087325
ACH-000153,-0.04925315444301606
ACH-000159,-0.1186644982439803
ACH-000160,-0.15649142044025047
ACH-000163,-0.08773378448428218
ACH-000167,-0.2679955779092773
ACH-000168,-0.18549854164140292
ACH-000169,-0.09517280823582662
ACH-000178,0.035469092221375204
ACH-000183,-0.011424377703855907
ACH-000188,-0.08016718699628113
ACH-000189,0.030827911196755525
ACH-000190,-0.021641657476634237
ACH-000198,-0.06165188304075361
ACH-000203,0.16208049644744332
ACH-000204,0.15286077140721446
ACH-000206,-0.05856786404988225
ACH-000207,0.13877989492466408
ACH-000208,-0.3447893408278915
ACH-000210,-0.018042519589293204
ACH-000211,-0.0767095777173587
ACH-000215,-0.13326930635258444
ACH-000221,-0.021907317427279548
ACH-000222,-0.11119930101896036
ACH-000223,-0.1395431553187744
ACH-000226,-0.10446790372834792
ACH-000227,-0.1350638654609332
ACH-000228,-0.08033713599479242
ACH-000231,-0.07378031353250035
ACH-000232,-0.06323206424099158
ACH-000233,-0.07511899453317586
ACH-000234,-0.1655697133140981
ACH-000235,-0.096730856996273
ACH-000237,-0.07963886908063132
ACH-000238,-0.2014220420213881
ACH-000242,0.2646270257699862
ACH-000243,-0.017669023434283004
ACH-000244,-0.2344957780266899
ACH-000246,-0.07519873480024176
ACH-000248,-0.16526134766704625
ACH-000250,-0.06060653554631771
ACH-000251,-0.07403792998201171
ACH-000252,-0.1805786910995375
ACH-000253,-0.06639083615862962
ACH-000255,0.06300217572315386
ACH-000256,-0.18680103537532447
ACH-000257,-0.03216558277094372
ACH-000258,-0.10293235092493293
ACH-000259,-0.17295017438072746
ACH-000260,-0.10151576080412064
ACH-000261,-0.1361040630897028
ACH-000262,0.05787706954563478
ACH-000263,-0.1902707844234739
ACH-000264,-0.06614792410515673
ACH-000265,0.05708399697664221
ACH-000266,-0.07759892014030867
ACH-000272,-0.04437135626549804
ACH-000274,-0.11896496100597025
ACH-000277,-0.05051651066767635
ACH-000278,-0.09304385519868452
ACH-000279,0.006170007044660476
ACH-000280,-0.1352668551856053
ACH-000281,-0.093945859852501
ACH-000288,-0.08431920485850794
ACH-000291,-0.05210932487823117
ACH-000293,-0.14057691463029276
ACH-000294,-0.07595015050704149
ACH-000295,-0.05338111561959042
ACH-000296,-0.009248384041712208
ACH-000302,-0.07742230465240607
ACH-000304,-0.08554629783672542
ACH-000307,-0.15062706706472548
ACH-000308,-0.09976641173876877
ACH-000310,-0.09143395269539248
ACH-000311,-0.2217401626993746
ACH-000312,-0.059886608163837216
ACH-000315,-0.03622797197499319
ACH-000316,-0.2689965724465405
ACH-000317,0.06621060033487237
ACH-000318,-0.11470369765655936
ACH-000319,-0.1866778186460464
ACH-000320,-0.06447896831967248
ACH-000322,-0.020930731112405176
ACH-000323,-0.05722926221927702
ACH-000324,-0.05376787229026083
ACH-000329,-0.01972927784381132
ACH-000330,0.0069915927813853146
ACH-000331,-0.07890522938311978
ACH-000332,-0.08522213737279417
ACH-000334,-0.03001597753494655
ACH-000335,-0.11894804720521815
ACH-000336,-0.062477404348856326
ACH-000337,-0.12713858164555633
ACH-000338,0.33912434293121296
ACH-000339,-0.07054988178433684
ACH-000341,-0.1556611366372714
ACH-000348,-0.14067169059486168
ACH-000350,-0.19495664245953365
ACH-000352,0.06665398948984286
ACH-000356,-0.15575759115768298
ACH-000361,-0.1611600684821386
ACH-000362,-0.18752860518300726
ACH-000363,-0.10730818347265897
ACH-000364,-0.05582052885142712
ACH-000365,-0.04473913497204093
ACH-000366,-0.15995358409995436
ACH-000368,0.02617796876883164
ACH-000374,0.0026483506629030066
ACH-000375,-0.20151204752681973
ACH-000376,-0.038141267712625916
ACH-000381,-0.026398148739641556
ACH-000383,-0.12884184938257914
ACH-000387,-0.11648010982776988
ACH-000389,0.004958888903752685
ACH-000390,-0.07139519670105246
ACH-000393,-0.09521487269189262
ACH-000395,-0.13294225192939566
ACH-000396,0.21800468342693985
ACH-000397,-0.06373082368674421
ACH-000401,-0.0734465073742213
ACH-000402,-0.316150416067777
ACH-000403,-0.1219527639734302
ACH-000404,0.08858675669683379
ACH-000406,-0.10561923830478304
ACH-000407,-0.1793255086737735
ACH-000408,-0.22808203126962096
ACH-000410,-0.06808627067795019
ACH-000411,-0.033778743652613005
ACH-000414,-0.1970104167412732
ACH-000415,-0.08139102071520693
ACH-000416,-0.10202397661344896
ACH-000420,0.08264817686620511
ACH-000421,-0.13024657541501394
ACH-000424,-0.24076860407227124
ACH-000425,-0.09593286967420216
ACH-000426,-0.1069029495727028
ACH-000427,-0.12297683188761754
ACH-000433,0.11886534127173864
ACH-000435,-0.35686158705342064
ACH-000436,-0.05867620324303721
ACH-000444,0.030011609072959262
ACH-000445,0.0642020534549428
ACH-000448,-0.08438064032741296
ACH-000450,0.02584750608636686
ACH-000452,-0.12485970232156295
ACH-000454,-0.13740808323136228
ACH-000458,0.11652531515523375
ACH-000459,0.02491093062312373
ACH-000460,-0.0721384223294473
ACH-000461,-0.2280021306474737
ACH-000463,0.01913447962955112
ACH-000464,0.03292216115572137
ACH-000466,-0.054123281059405184
ACH-000467,-0.022046936025087043
ACH-000468,-0.03809628568112075
ACH-000469,-0.09883994734806208
ACH-000470,-0.0990148220054189
ACH-000471,-0.0657229292990234
