,PDE9A (5152)
ACH-000004,0.03382978911215598
ACH-000005,-0.09094578433064844
ACH-000007,-0.08244693624314564
ACH-000009,0.055109627635680065
ACH-000011,-0.007934883616300691
ACH-000012,-0.032483427219305534
ACH-000013,0.07927641294151164
ACH-000014,0.0658938790073243
ACH-000015,0.07469683728697261
ACH-000017,-0.009595306595335673
ACH-000018,0.059535809286073035
ACH-000019,0.11410557168816104
ACH-000021,0.13150705460467604
ACH-000022,-0.00040433568216907874
ACH-000025,0.08754734481228471
ACH-000028,0.02162134098296976
ACH-000030,-0.014657166197625447
ACH-000035,0.008087465274055607
ACH-000036,0.122167649373997
ACH-000037,-0.06827775111384833
ACH-000039,-0.05850929074754186
ACH-000040,0.07068975468422925
ACH-000041,0.03534974803805903
ACH-000042,0.013085840204510963
ACH-000045,0.09174708376783464
ACH-000047,0.05428454614764187
ACH-000052,0.0432988357068706
ACH-000053,-0.038296513768752254
ACH-000054,0.04339545013237126
ACH-000055,-0.052233719029022165
ACH-000060,0.0218466768206538
ACH-000067,-0.03289273286911839
ACH-000070,0.03020141880233545
ACH-000075,-0.2366607647134213
ACH-000078,-0.04446798409574247
ACH-000082,-0.02418525292939724
ACH-000085,0.004070672061346147
ACH-000086,0.0984435568341743
ACH-000087,0.1962139268143156
ACH-000092,0.019982139212149915
ACH-000095,-0.006316384884352943
ACH-000097,-0.051069543861764384
ACH-000098,-0.0262309521121008
ACH-000099,-0.026847409871786826
ACH-000108,0.0134098446444215
ACH-000113,0.010341666575707814
ACH-000116,-0.08095540248522744
ACH-000118,0.031937316246316426
ACH-000120,-0.04529082353261789
ACH-000123,0.03935163514460223
ACH-000127,-0.026877595718829663
ACH-000128,-0.0469165270539993
ACH-000132,-0.07071908916501331
ACH-000133,0.05904655213304143
ACH-000137,0.11027250776184734
ACH-000138,0.13712052055705373
ACH-000142,-0.1545063802276809
ACH-000143,-0.014117706267782791
ACH-000146,0.023141616553957
ACH-000148,0.025891512748317202
ACH-000150,0.008683109870987991
ACH-000152,0.1371137789286983
ACH-000153,-0.01100322200276563
ACH-000159,-0.020132660825170567
ACH-000160,-0.032105589628831324
ACH-000163,0.053560623451483616
ACH-000167,0.18959353862674666
ACH-000168,-0.042203628043782214
ACH-000169,0.04487513912783395
ACH-000178,0.005326517366909876
ACH-000183,-0.040124925575859435
ACH-000188,-0.031009060119418806
ACH-000189,0.15065073631665232
ACH-000190,-0.03131823348107668
ACH-000198,-0.004436226762054635
ACH-000203,-0.10636433234375997
ACH-000204,0.04180844867967254
ACH-000206,0.02442936836318417
ACH-000207,-0.02657019352333704
ACH-000208,-0.07587302207636089
ACH-000210,-0.05412553404895598
ACH-000211,0.028583372612635338
ACH-000215,-0.007665832621364039
ACH-000221,0.06358596477309482
ACH-000222,0.1522603910086568
ACH-000223,0.020886115348380096
ACH-000226,0.15572882156799225
ACH-000227,-0.15263404112718507
ACH-000228,-0.10155038330884764
ACH-000231,0.022569218156492182
ACH-000232,0.045157569707778525
ACH-000233,-0.0216632004032017
ACH-000234,0.06894991797372038
ACH-000235,0.02210734923376461
ACH-000237,0.11917564448877815
ACH-000238,-0.040746773416141836
ACH-000242,0.07640220429901798
ACH-000243,0.12084455045737608
ACH-000244,-0.09195516797389354
ACH-000246,0.08469308821366144
ACH-000248,0.11471892315685366
ACH-000250,0.003578215624471061
ACH-000251,-0.011829728814491012
ACH-000252,0.009913201645619409
ACH-000253,0.02061940497133749
ACH-000255,0.021302269063559483
ACH-000256,-0.006957724756245866
ACH-000257,0.00642160310126489
ACH-000258,-0.05761664714744981
ACH-000259,0.0008642414962970968
ACH-000260,-0.11249459112948644
ACH-000261,0.020264897225437475
ACH-000262,0.06016266908719053
ACH-000263,-0.09706882306249018
ACH-000264,0.04608464499096504
ACH-000265,0.03494027642640833
ACH-000266,-0.005849414371159951
ACH-000272,-0.01925440361376164
ACH-000274,0.03252181617254861
ACH-000277,0.04391425234644232
ACH-000278,0.0059353297436776035
ACH-000279,0.07694373458109746
ACH-000280,-0.02159111855681322
ACH-000281,-0.00588810594501829
ACH-000288,0.011885255214183188
ACH-000291,0.05820794805821676
ACH-000293,0.19711206856222227
ACH-000294,0.013853247066267524
ACH-000295,0.09748639233277152
ACH-000296,0.15829909397750466
ACH-000302,0.07131864537752249
ACH-000304,0.11610601203831156
ACH-000307,0.03704415448250364
ACH-000308,0.06287719808436469
ACH-000310,-0.13301197787265612
ACH-000311,-0.07485484790949941
ACH-000312,-0.012400981365345676
ACH-000315,0.0018425261734906421
ACH-000316,0.05968104227523063
ACH-000317,0.010123080467513541
ACH-000318,0.01218430075242252
ACH-000319,0.08965467394008979
ACH-000320,-0.0954260738078334
ACH-000322,-0.01889236562784175
ACH-000323,0.10267642125098528
ACH-000324,-0.006400308169462586
ACH-000329,0.0226261472591246
ACH-000330,-0.01085701809597525
ACH-000331,0.09853389671810676
ACH-000332,0.03823167765075716
ACH-000334,-0.05490484956658849
ACH-000335,0.10533546594208228
ACH-000336,0.16692608360282246
ACH-000337,0.06940458180426314
ACH-000338,-0.003052171389609581
ACH-000339,0.06645036772656487
ACH-000341,-0.0014777331054898913
ACH-000348,-0.022764620508519684
ACH-000350,0.03334133330946478
ACH-000352,0.1197760657845034
ACH-000356,-0.10768605558891807
ACH-000361,0.10676654503060157
ACH-000362,-0.07835876117118587
ACH-000363,-0.01447143816756526
ACH-000364,0.14284332042536987
ACH-000365,0.01376118166756073
