,DepMap_ID
53290,ACH-000167
82329,ACH-000260
87509,ACH-000276
97392,ACH-000305
98968,ACH-000309
102456,ACH-000316
134264,ACH-000401
136240,ACH-000407
140068,ACH-000416
142638,ACH-000423
142639,ACH-000423
142640,ACH-000423
151641,ACH-000445
165295,ACH-000479
192059,ACH-000545
202255,ACH-000565
247061,ACH-000659
251222,ACH-000666
259887,ACH-000681
266200,ACH-000694
287070,ACH-000732
304787,ACH-000763
306062,ACH-000765
359039,ACH-000789
382021,ACH-000818
399223,ACH-000841
405898,ACH-000848
415605,ACH-000860
417674,ACH-000863
423545,ACH-000869
423546,ACH-000869
440519,ACH-000883
453050,ACH-000893
461171,ACH-000900
464667,ACH-000904
494012,ACH-000921
495647,ACH-000922
503507,ACH-000927
512369,ACH-000931
537609,ACH-000941
537610,ACH-000941
544084,ACH-000943
557224,ACH-000948
562677,ACH-000950
567686,ACH-000952
575750,ACH-000954
582576,ACH-000956
585515,ACH-000957
589140,ACH-000958
605942,ACH-000963
611916,ACH-000965
615971,ACH-000966
620183,ACH-000967
620184,ACH-000967
627584,ACH-000969
631435,ACH-000970
635700,ACH-000971
639910,ACH-000972
639911,ACH-000972
642994,ACH-000973
656868,ACH-000977
672053,ACH-000980
684101,ACH-000982
723336,ACH-000988
744070,ACH-000990
828746,ACH-000993
828747,ACH-000993
828748,ACH-000993
838962,ACH-000994
858991,ACH-000996
904945,ACH-000999
904946,ACH-000999
904947,ACH-000999
904948,ACH-000999
910257,ACH-001024
913842,ACH-001041
928859,ACH-001081
961409,ACH-001199
961410,ACH-001199
963778,ACH-001203
982203,ACH-001339
989434,ACH-001345
994094,ACH-001362
1004991,ACH-001383
1006049,ACH-001386
1010413,ACH-001402
1023875,ACH-001490
1024439,ACH-001494
1032383,ACH-001517
1034499,ACH-001521
1061445,ACH-001569
1070306,ACH-001610
1099068,ACH-002029
1113280,ACH-002109
1121125,ACH-002143
1130544,ACH-002163
1148012,ACH-002196
1149676,ACH-002199
1154714,ACH-002215
1156899,ACH-002221
1156900,ACH-002221
1162580,ACH-002224
1184889,ACH-002256
1187016,ACH-002259
1188702,ACH-002263
1203495,ACH-002287
1224824,ACH-002341
