,PPP1R14C (81706)
ACH-000004,0.09864887642395624
ACH-000005,-0.1353857511786002
ACH-000007,-0.10298358845679252
ACH-000009,-0.14129151049425426
ACH-000011,-0.09973792337883304
ACH-000012,-0.10192380145140066
ACH-000013,-0.1370743424435552
ACH-000014,-0.13221591004083832
ACH-000015,-0.06844453032479851
ACH-000017,-0.3459935269380854
ACH-000018,-0.06844785529037524
ACH-000019,-0.186526685985892
ACH-000021,-0.1668566521779227
ACH-000022,-0.04364604218414832
ACH-000025,-0.08914065095749359
ACH-000028,-0.13864129458261112
ACH-000030,-0.18131030575106696
ACH-000035,-0.08267469378062116
ACH-000036,-0.23539223446468785
ACH-000037,-0.1963070119606676
ACH-000039,-0.08706238675106484
ACH-000040,-0.21152381701620665
ACH-000041,-0.2277531513061499
ACH-000042,-0.12861912419130905
ACH-000045,-0.268970088025468
ACH-000047,-0.11876392646003076
ACH-000052,-0.21489932301588727
ACH-000053,-0.06470473147433442
ACH-000054,-0.19686756488898888
ACH-000055,-0.08500283521234576
ACH-000060,-0.2259456153366899
ACH-000067,-0.3216011415970366
ACH-000070,-0.08023465536961169
ACH-000075,-0.4173076173992237
ACH-000078,0.009663624610182251
ACH-000082,-0.19747121959488387
ACH-000085,-0.02806695516862774
ACH-000086,-0.00932515011118775
ACH-000087,-0.0026375209229786557
ACH-000092,-0.245162195170659
ACH-000095,-0.1867232648255043
ACH-000097,-0.17235016451195742
ACH-000098,-0.1880395838800786
ACH-000099,-0.14098242703133185
ACH-000108,-0.1390200974533749
ACH-000113,-0.1318162097227966
ACH-000116,-0.2256082815369546
ACH-000118,-0.15408264152633155
ACH-000120,-0.07084027470976735
ACH-000123,-0.0614612768542646
ACH-000127,-0.14512224685265102
ACH-000128,-0.018438413656515187
ACH-000132,-0.17721825045425088
ACH-000133,-0.18377364125097945
ACH-000137,-0.23317254444365434
ACH-000138,-0.10313013392136446
ACH-000142,-0.07318194595559623
ACH-000143,-0.170476351073778
ACH-000146,-0.1859647376392253
ACH-000148,-0.051517151560689874
ACH-000150,-0.2898852364524775
ACH-000152,-0.21145897272166436
ACH-000153,-0.17475086420980934
ACH-000159,-0.0573697069564101
ACH-000160,-0.17940158738871634
ACH-000163,0.017527084161807534
ACH-000167,-0.08892493446399159
ACH-000168,0.043119807178360205
ACH-000169,-0.06811196814723966
ACH-000178,-0.15152228170367935
ACH-000183,-0.08866310492511875
ACH-000188,-0.1611704006578336
ACH-000189,-0.3001020668356233
ACH-000190,0.1440734150296101
ACH-000198,-0.04649068100818938
ACH-000203,-0.04396494921785658
ACH-000204,-0.29184861235409826
ACH-000206,-0.0730864630824401
ACH-000207,-0.15452364655328113
ACH-000208,-0.2563669925287351
ACH-000210,-0.3130118935413007
ACH-000211,-0.26454144157484805
ACH-000215,-0.16998404454379587
ACH-000221,-0.07990771582746181
ACH-000222,0.07140323595948801
ACH-000223,-0.2964431179750437
ACH-000226,-0.22515785336010016
ACH-000227,-0.2127892159622449
ACH-000228,-0.1786403599106763
ACH-000231,-0.0426980860911482
ACH-000232,-0.18049060359189328
ACH-000233,-0.043375022281961016
ACH-000234,-0.024753366229328562
ACH-000235,-0.16167756253301555
ACH-000237,-0.1955754322685776
ACH-000238,-0.20761688081849333
ACH-000242,-0.4094146787489501
ACH-000243,-0.04512099806618163
ACH-000244,-0.172086188787947
ACH-000246,-0.08425251401212971
ACH-000248,-0.25076840570603137
ACH-000250,-0.21990601530774356
ACH-000251,-0.05092674262580453
ACH-000252,-0.01264557387021328
ACH-000253,-0.12849353780639475
ACH-000255,-0.2438246812043994
ACH-000256,-0.2597496295237937
ACH-000257,0.08091755981055664
ACH-000258,-0.1353941040178298
ACH-000259,-0.1569615761550706
ACH-000260,-0.09267626806112517
ACH-000261,-0.2282961356729957
ACH-000262,-0.053666888569900935
ACH-000263,-0.05336389393276875
ACH-000264,-0.07657624223862924
ACH-000265,-0.09588703349727286
ACH-000266,-0.17421176152805815
ACH-000272,0.0008410072209981951
ACH-000274,-0.08811478818250121
ACH-000277,-0.1010697108460578
ACH-000278,-0.215981550196838
ACH-000279,-0.11545881197515402
ACH-000280,-0.1855876731754469
ACH-000281,-0.2214741651130454
ACH-000288,-0.035040271281574484
ACH-000291,-0.12327808287876635
ACH-000293,-0.17593562351871553
ACH-000294,-0.0817465942136116
ACH-000295,-0.2375736222816385
ACH-000296,-0.11458386545217085
ACH-000302,-0.1884377131245948
ACH-000304,-0.1332811069133627
ACH-000307,-0.09153346610835528
ACH-000308,-0.12141690807709896
ACH-000310,-0.215414614605586
ACH-000311,-0.17237294353740767
ACH-000312,-0.07049310997048734
ACH-000315,-0.009298113856235534
ACH-000316,-0.260147137810988
