,DepMap_ID
6174,ACH-000019
8628,ACH-000025
16554,ACH-000045
16963,ACH-000047
17648,ACH-000050
28006,ACH-000067
36971,ACH-000106
38986,ACH-000113
56324,ACH-000179
57103,ACH-000182
78692,ACH-000250
100475,ACH-000314
107286,ACH-000331
107520,ACH-000332
128238,ACH-000387
133453,ACH-000400
138412,ACH-000413
155276,ACH-000454
178328,ACH-000512
180892,ACH-000517
185352,ACH-000528
193525,ACH-000549
216217,ACH-000597
218742,ACH-000603
230740,ACH-000628
233800,ACH-000635
266282,ACH-000695
310448,ACH-000773
311286,ACH-000774
362754,ACH-000795
373718,ACH-000809
391000,ACH-000830
406837,ACH-000851
407802,ACH-000852
439758,ACH-000883
472355,ACH-000911
477344,ACH-000914
503829,ACH-000928
540427,ACH-000943
545980,ACH-000945
549272,ACH-000946
549273,ACH-000946
557702,ACH-000949
571510,ACH-000954
571511,ACH-000954
595560,ACH-000961
612617,ACH-000966
616729,ACH-000967
628240,ACH-000970
628241,ACH-000970
632162,ACH-000971
640524,ACH-000973
658182,ACH-000978
658183,ACH-000978
658184,ACH-000978
658185,ACH-000978
658186,ACH-000978
672818,ACH-000981
678564,ACH-000982
688869,ACH-000984
702752,ACH-000986
702753,ACH-000986
702754,ACH-000986
717590,ACH-000988
732529,ACH-000990
732530,ACH-000990
732531,ACH-000990
732532,ACH-000990
761309,ACH-000992
761310,ACH-000992
761311,ACH-000992
761312,ACH-000992
761313,ACH-000992
761314,ACH-000992
761315,ACH-000992
761316,ACH-000992
761317,ACH-000992
821885,ACH-000993
821886,ACH-000993
821887,ACH-000993
860782,ACH-000997
860783,ACH-000997
860784,ACH-000997
871251,ACH-000998
883296,ACH-000999
883297,ACH-000999
883298,ACH-000999
883299,ACH-000999
921973,ACH-001081
958763,ACH-001199
973863,ACH-001318
975936,ACH-001328
984077,ACH-001345
990431,ACH-001350
1024932,ACH-001497
1027780,ACH-001517
1051751,ACH-001552
1054846,ACH-001559
1065739,ACH-001610
1065740,ACH-001610
1076755,ACH-001650
1080784,ACH-001653
1089334,ACH-001737
1117140,ACH-002123
1123651,ACH-002149
1135586,ACH-002170
1141958,ACH-002180
1146870,ACH-002194
1150044,ACH-002201
1157403,ACH-002222
1157404,ACH-002222
1166342,ACH-002234
1167466,ACH-002237
1168225,ACH-002238
1188114,ACH-002263
1194912,ACH-002275
1201050,ACH-002287
1226156,ACH-002347
