,DepMap_ID
26713,ACH-000065
26714,ACH-000065
57056,ACH-000181
112686,ACH-000346
131442,ACH-000394
132779,ACH-000397
140539,ACH-000417
148442,ACH-000437
177043,ACH-000508
178758,ACH-000512
180842,ACH-000516
181526,ACH-000518
181527,ACH-000518
181528,ACH-000518
201164,ACH-000563
201165,ACH-000563
201166,ACH-000563
236392,ACH-000638
247068,ACH-000659
247069,ACH-000659
352741,ACH-000786
352742,ACH-000786
352743,ACH-000786
352744,ACH-000786
352745,ACH-000786
352746,ACH-000786
352747,ACH-000786
352748,ACH-000786
352749,ACH-000786
378790,ACH-000814
380592,ACH-000816
458500,ACH-000898
495679,ACH-000922
508505,ACH-000929
518456,ACH-000934
519629,ACH-000935
539932,ACH-000942
582613,ACH-000956
643034,ACH-000973
677311,ACH-000981
723448,ACH-000988
730846,ACH-000989
815408,ACH-000992
815409,ACH-000992
815410,ACH-000992
815411,ACH-000992
828848,ACH-000993
839167,ACH-000994
859148,ACH-000996
869745,ACH-000997
880195,ACH-000998
905310,ACH-000999
928976,ACH-001081
928977,ACH-001081
970458,ACH-001280
1006057,ACH-001386
1006058,ACH-001386
1026718,ACH-001498
1050164,ACH-001550
1053377,ACH-001552
1080443,ACH-001650
1090898,ACH-001737
1138782,ACH-002175
1144936,ACH-002188
1154730,ACH-002215
1161802,ACH-002222
1241863,ACH-002396
