,DepMap_ID
242841,ACH-000651
308606,ACH-000769
308607,ACH-000769
358946,ACH-000789
399879,ACH-000842
430105,ACH-000874
459552,ACH-000899
619748,ACH-000967
639454,ACH-000972
663541,ACH-000978
687609,ACH-000983
693547,ACH-000984
700627,ACH-000985
808005,ACH-000992
808006,ACH-000992
857568,ACH-000996
902148,ACH-000999
902149,ACH-000999
921029,ACH-001075
932095,ACH-001097
932096,ACH-001097
947468,ACH-001143
947469,ACH-001143
961060,ACH-001199
1087120,ACH-001715
1193759,ACH-002272
1236776,ACH-002391
