,SCAF4 (57466)
ACH-000004,-0.16497020645612698
ACH-000005,-0.20368747911175408
ACH-000007,-0.3105635992243057
ACH-000009,-0.1992375474833865
ACH-000011,-0.15566549463637994
ACH-000012,-0.1137721512541606
ACH-000013,-0.4300389075424514
ACH-000014,-0.22925223414947166
ACH-000015,-0.29945954796475266
ACH-000017,-0.07715105556254324
ACH-000018,-0.436388470932244
ACH-000019,-0.2979612315358152
ACH-000021,-0.4003599230618909
ACH-000022,-0.18553091167926306
ACH-000025,-0.5685028376830272
ACH-000028,-0.13056549556787142
ACH-000030,-0.4367206763746421
ACH-000035,-0.24635735418704216
ACH-000036,-0.42508080928701947
ACH-000037,-0.5148961032151468
ACH-000039,-0.0610807187593176
ACH-000040,-0.34110487291635105
ACH-000041,-0.02875870317558292
ACH-000042,-0.036275174860168
ACH-000045,-0.2775951545821449
ACH-000047,-0.2982916505795101
ACH-000052,-0.15421262424706014
ACH-000053,-0.09352867257402343
ACH-000054,-0.3985197621221927
ACH-000055,-0.2154868326878215
ACH-000060,-0.4146934456590517
ACH-000067,-0.5552428706851757
ACH-000070,-0.18145747082104915
ACH-000075,-0.2573704205564561
ACH-000078,-0.27016196485099203
ACH-000082,-0.11783225872338485
ACH-000085,0.20657149721907375
ACH-000086,-0.22241385423148347
ACH-000087,-0.28592612886862884
ACH-000092,-0.1063927508695718
ACH-000095,-0.2278860428861681
ACH-000097,-0.2419853993877334
ACH-000098,-0.40792671584950974
ACH-000099,0.1455611750299386
ACH-000108,-0.4001360576682666
ACH-000113,-0.2860144071394231
ACH-000116,-0.3119154086832193
ACH-000118,-0.41292777581878576
ACH-000120,-0.23184104570931896
ACH-000123,-0.17439476217307834
ACH-000127,-0.4357596631863303
ACH-000128,-0.2432412448641107
ACH-000132,-0.4087044325746881
ACH-000133,-0.29072167920981584
ACH-000137,-0.32001101391690073
ACH-000138,-0.20910733726595515
ACH-000142,-0.10597424753035947
ACH-000143,0.02452765994754168
ACH-000146,-0.2393895254532782
ACH-000148,-0.3197699006243174
ACH-000150,-0.4731748628762618
ACH-000152,-0.5317845118176207
ACH-000153,-0.3496073230610448
ACH-000159,-0.31253139075670555
ACH-000160,-0.3264523418717456
ACH-000163,-0.17533920704191838
ACH-000167,0.03440772563021975
ACH-000168,-0.13757593214207706
ACH-000169,-0.6548980636689394
ACH-000178,-0.3508352430729164
ACH-000183,-0.19196498856452732
ACH-000188,-0.4539834497579145
ACH-000189,-0.4040185955028998
ACH-000190,-0.5464810913544335
ACH-000198,-0.1455844833525522
ACH-000203,-0.8920213079972638
ACH-000204,-0.16694848135247373
ACH-000206,-0.2788837482094999
ACH-000207,-0.3098171176686938
ACH-000208,-0.20480226847183305
ACH-000210,-0.2936181011236157
ACH-000211,-0.3769337323264684
ACH-000215,-0.23616955070175624
ACH-000221,-0.5530714621613037
ACH-000222,-0.3426508244674147
ACH-000223,-0.3196774748684344
ACH-000226,-0.4867691393836918
ACH-000227,-0.3713466898591854
ACH-000228,-0.5267826806185618
ACH-000231,-0.14756456420694264
ACH-000232,-0.4549719824412736
ACH-000233,-0.4205343128349846
ACH-000234,-0.3276155816626866
ACH-000235,-0.14188336332779952
ACH-000237,-0.5027258373407921
ACH-000238,-0.4271990691910381
ACH-000242,-0.1526420744590528
ACH-000243,-0.4687622858990939
ACH-000244,-0.5771928921104036
ACH-000246,-0.2424485151159334
ACH-000248,0.049017394921896607
ACH-000250,-0.14747121163079055
ACH-000251,-0.3999052819697218
ACH-000252,-0.13378511893482067
ACH-000253,-0.07753089240062808
ACH-000255,-0.23422053022488154
ACH-000256,-0.10403048606890893
ACH-000257,-0.1201817287884186
ACH-000258,-0.03855948111501517
ACH-000259,-0.23143898328558524
ACH-000260,-0.5648955731022288
ACH-000261,-0.15014360181827652
ACH-000262,-0.4299918231587614
ACH-000263,-0.2954924835941128
ACH-000264,-0.17589689146463516
ACH-000265,-0.5593998361769273
ACH-000266,-0.2835954553784265
ACH-000272,-0.4842347225671769
ACH-000274,-0.20273905396179875
ACH-000277,-0.09498019671229617
ACH-000278,-0.4607420798150104
ACH-000279,-0.5996488380480728
ACH-000280,0.1147894700953852
ACH-000281,-0.21189229666860895
ACH-000288,-0.517165326768908
ACH-000291,-0.3244700396711546
ACH-000293,-0.20388772049025108
ACH-000294,-0.09341843677303772
ACH-000295,-0.13695028881383536
ACH-000296,-0.3388162699177642
ACH-000302,-0.11060706046727464
ACH-000304,-0.16870483250302232
ACH-000307,-0.3235751889600355
ACH-000308,-0.13193601038504282
ACH-000310,-0.14539865715762398
ACH-000311,0.06947296428014507
ACH-000312,-0.3061023767230324
ACH-000315,-0.4215415425475464
ACH-000316,-0.1102938018577564
ACH-000317,-0.601895561351287
ACH-000318,-0.27939316355198235
ACH-000319,-0.14096158023307592
ACH-000320,-0.3289590363159692
ACH-000322,-0.3722299281766837
ACH-000323,-0.3830320024309724
ACH-000324,-0.1860951067187278
ACH-000329,-0.31988731301756673
ACH-000330,-0.3945423397542341
ACH-000331,-0.33812905897992235
ACH-000332,-0.22774485327751104
ACH-000334,-0.5776713980058058
ACH-000335,-0.4827485130518922
ACH-000336,-0.18882932949321335
ACH-000337,-0.18301576802466255
ACH-000338,-0.612237156751244
ACH-000339,-0.306878715143385
ACH-000341,-0.2872432383663185
ACH-000348,-0.20639016369799112
ACH-000350,-0.1631607760270419
ACH-000352,-0.1858220252518507
ACH-000356,-0.18220383113599312
ACH-000361,-0.6090769090951711
ACH-000362,-0.304329712613841
ACH-000363,-0.049643287085882025
ACH-000364,-0.5798060101833489
ACH-000365,-0.566679164855432
ACH-000366,-0.2343922935675707
ACH-000368,-0.4054668066165788
ACH-000374,-0.22594849073381665
ACH-000375,-0.1421459407807111
ACH-000376,-0.4103739788912245
ACH-000381,-0.4442390309655319
ACH-000383,-0.3198805702173285
ACH-000387,-0.4034191254496322
ACH-000389,-0.2492445918477228
ACH-000390,-0.16229276815934354
ACH-000393,-0.11916340221492652
ACH-000395,-0.3326126889951945
ACH-000396,-0.3180036882446796
ACH-000397,-0.5147644990881088
ACH-000401,-0.7678903445389632
ACH-000402,-0.12151956810271955
ACH-000403,-0.35941712046098834
ACH-000404,-0.4844683340085143
ACH-000406,-0.1888898676733515
ACH-000407,-0.21970752359160065
ACH-000408,-0.5108692222118635
ACH-000410,-0.16929742660995853
ACH-000411,-0.3281751048645854
ACH-000414,-0.3312888354516985
ACH-000415,-0.1875811427474392
ACH-000416,-0.24639945070290026
ACH-000420,-0.2882448055318457
ACH-000421,-0.16707536976235407
ACH-000424,-0.6946227726894376
ACH-000425,-0.13160776503156751
ACH-000426,-0.38924673134671495
ACH-000427,-0.07786638401773567
ACH-000433,-0.11677380990494428
ACH-000435,-0.0715956908196528
ACH-000436,-0.3522024909538233
ACH-000444,-0.2371591692031035
ACH-000445,-0.08880466661860012
ACH-000448,-0.1203475518315974
ACH-000450,0.04390583513834533
ACH-000452,-0.3000213286401908
ACH-000454,-0.3824337470079125
ACH-000458,-0.1462047722704313
ACH-000459,-0.18208095677464048
ACH-000460,-0.3207070979964134
ACH-000461,-0.4939694164253463
ACH-000463,-0.3208895651555623
ACH-000464,-0.2588106397827145
ACH-000466,-0.29011364011597834
ACH-000467,-0.24767776500960026
ACH-000468,-0.5105910437117137
ACH-000469,-0.34727527411486164
ACH-000470,-0.12668754887832775
ACH-000471,-0.4255599008932055
ACH-000472,-0.34640394941040625
ACH-000473,-0.16777976523826832
ACH-000475,-0.12840917599074586
ACH-000476,-0.06704076180359039
ACH-000477,-0.3483531752225732
ACH-000479,-0.14581427126528346
ACH-000480,-0.5240163042072565
ACH-000481,-0.14922232130655835
ACH-000483,-0.2618908365572091
ACH-000484,-0.299209518294899
ACH-000485,-0.23185546481684174
ACH-000486,-0.02714250083735659
ACH-000487,-0.40745096472348497
ACH-000488,-0.3343448849110405
ACH-000490,-0.07495035962430646
ACH-000491,-0.2576700594795291
ACH-000495,-0.2839220296763627
ACH-000496,-0.4827910886715882
ACH-000499,-0.4174104658034655
ACH-000500,-0.7541606265738359
ACH-000502,-0.3950246929484827
ACH-000503,-0.2464084265299287
ACH-000505,-0.30095501584758955
ACH-000507,-0.23674982641350045
