,SIGLEC15 (284266)
ACH-000004,0.07412857231206675
ACH-000005,-0.2636263653335571
ACH-000007,-0.03701725961541128
ACH-000009,0.0363958468705935
ACH-000011,0.032510593301025216
ACH-000012,-0.002570882303131664
ACH-000013,-0.08218157969987623
ACH-000014,-0.12173050910775365
ACH-000015,-0.09914285137702228
ACH-000017,0.00663125010389084
ACH-000018,-0.02160387989701871
ACH-000019,0.051489984351351374
ACH-000021,-0.05040299772654665
ACH-000022,0.055564706620121786
ACH-000025,0.014360489319974138
ACH-000028,-0.020137173358655062
ACH-000030,-0.0026015422810791193
ACH-000035,0.032134570754549285
ACH-000036,0.017290893389200604
ACH-000037,-0.08629169162002963
ACH-000039,0.1141262411683348
ACH-000040,-0.14890655360309674
ACH-000041,0.0920677034113158
ACH-000042,-0.05556551892398449
ACH-000045,0.0002091912004994799
ACH-000047,-0.022128235387762343
ACH-000052,0.14559994946280042
ACH-000053,-0.02293442094886705
ACH-000054,-0.10064642218804674
ACH-000055,-0.15359923930870553
ACH-000060,0.0031793165420870273
ACH-000067,0.0378544376790045
ACH-000070,-0.08353813067622994
ACH-000075,0.04874994053201824
ACH-000078,0.08589897775700626
ACH-000082,0.0930936214626998
ACH-000085,0.08446662735784054
ACH-000086,-0.09151962724527343
ACH-000087,-0.015948913808444442
ACH-000092,0.016268527735847912
ACH-000095,-0.05683383276050925
ACH-000097,-0.0714718504362649
ACH-000098,0.037312162787428486
ACH-000099,-0.012710168346909077
ACH-000108,-0.026064455792411945
ACH-000113,-0.025996029500068612
ACH-000116,-0.03566770587332928
ACH-000118,-0.0398789891421134
ACH-000120,0.07061247278836966
ACH-000123,0.069370490018315
ACH-000127,-0.06261209761532523
ACH-000128,0.04494897999310787
ACH-000132,-0.2171684830293836
ACH-000133,0.11105820304024427
ACH-000137,-0.15475066775682822
ACH-000138,-0.02446953271211131
ACH-000142,0.08043732721958548
ACH-000143,-0.15960533937359328
ACH-000146,-0.1381277133059622
ACH-000148,0.02654517286930535
ACH-000150,0.009690331676513838
ACH-000152,0.004086488404480829
ACH-000153,0.11931478902614252
ACH-000159,-0.10725382905706207
ACH-000160,-0.15826364962861889
ACH-000163,0.09024590059682257
ACH-000167,0.33385149232352906
ACH-000168,0.034084974239859185
ACH-000169,0.02976271313782052
ACH-000178,-0.022699955621529745
ACH-000183,0.04208889647215485
ACH-000188,-0.03933962341309652
ACH-000189,-0.1475373534778856
ACH-000190,-0.13738839812334644
ACH-000198,0.0042958983665324505
ACH-000203,-0.19236277729066711
ACH-000204,-0.13236678203896246
ACH-000206,-0.08512358930138275
ACH-000207,0.06667937440534474
ACH-000208,0.18883068107145026
ACH-000210,0.28822274195961795
ACH-000211,-0.12790144910279594
ACH-000215,-0.056068769041292765
ACH-000221,-0.1805065809526012
ACH-000222,-0.1345089737877145
ACH-000223,-0.15270795067920606
ACH-000226,-0.008974628583250559
ACH-000227,0.14616438374366855
ACH-000228,-0.2154703248579502
ACH-000231,0.014493407874441675
ACH-000232,-0.08890407632784304
ACH-000233,-0.025070879809034247
ACH-000234,0.1108906238966675
ACH-000235,-0.030007751535678532
ACH-000237,0.012740079703764605
ACH-000238,0.05443677875846199
ACH-000242,0.14428732626216992
ACH-000243,0.00018274068046952893
ACH-000244,-0.033677691502001235
ACH-000246,-0.10749681045221632
ACH-000248,-0.03062842270869728
ACH-000250,-0.08340070072146087
ACH-000251,-0.0846162335723856
ACH-000252,-0.2117291332887158
ACH-000253,-0.05524426853214765
ACH-000255,0.0038014571035061826
ACH-000256,-0.11160878420650426
ACH-000257,-0.17089577089769106
ACH-000258,-0.1323238968987254
ACH-000259,-0.015369702864013709
ACH-000260,-0.02926088148327457
ACH-000261,-0.09241801905169536
ACH-000262,-0.00679457478915133
ACH-000263,-0.003691548704798236
ACH-000264,-0.038569441349016506
ACH-000265,-0.06343209302553983
ACH-000266,-0.03140281058409522
ACH-000272,0.03131250142202011
ACH-000274,-0.13533560449367182
ACH-000277,0.08203321608662308
ACH-000278,0.2136644176729596
ACH-000279,-0.006773677189294936
ACH-000280,-0.07018375087529985
ACH-000281,-0.04680041797624234
ACH-000288,0.04007757467409665
ACH-000291,-0.01936638685644181
ACH-000293,-0.040000526098552716
ACH-000294,0.14043980801178446
ACH-000295,-0.0073759434527922545
ACH-000296,-0.18240988438681693
ACH-000302,-0.049109259876330136
ACH-000304,0.061311982605327435
ACH-000307,-0.0404418070677587
ACH-000308,-0.07894050452613899
ACH-000310,-0.11201586881611597
ACH-000311,-0.08808876148179949
ACH-000312,-0.12037993119082588
ACH-000315,0.038699679682231085
ACH-000316,0.06226010790071241
ACH-000317,-0.0940364922577559
ACH-000318,-0.03109705436564096
ACH-000319,-0.09620704985235172
ACH-000320,0.06608827549808963
ACH-000322,-0.1970654242720484
ACH-000323,-0.06719260613068992
ACH-000324,0.05348207609789393
ACH-000329,-0.10152523042426327
ACH-000330,-0.06224861899720795
ACH-000331,-0.07644544527070624
ACH-000332,-0.0773279868250402
ACH-000334,0.13347576944366613
ACH-000335,0.0676129587721046
ACH-000336,-0.1173824305875619
ACH-000337,-0.1823304383496612
ACH-000338,0.2118260544805644
ACH-000339,-0.10268002734971726
ACH-000341,-0.12629763669606886
ACH-000348,-0.0919690876011704
ACH-000350,-0.16633168831922834
ACH-000352,-0.025964981662694543
ACH-000356,-0.254617515812954
ACH-000361,0.029989265757291838
ACH-000362,0.01976255501726121
ACH-000363,-0.12445715753327607
ACH-000364,-0.0501484539473646
ACH-000365,0.09175687647637848
ACH-000366,-0.005461212433276936
ACH-000368,-0.08502780820851244
ACH-000374,0.044471488657355625
ACH-000375,-0.0017824050999055109
ACH-000376,-0.13004307018391253
ACH-000381,-0.19265040195977112
ACH-000383,-0.012277038986030062
ACH-000387,0.012025893737723134
ACH-000389,-0.1408167600395841
ACH-000390,0.0828513762656148
ACH-000393,-0.037989305246346326
ACH-000395,0.1798241585240397
ACH-000396,0.028658628016363194
ACH-000397,-0.038948337878560085
ACH-000401,-0.1557577571819251
ACH-000402,-0.13088020117027893
ACH-000403,-0.11106707555501306
ACH-000404,0.1131553530359026
ACH-000406,-0.03666034278986577
ACH-000407,-0.0901061886508464
ACH-000408,0.15824424410012014
ACH-000410,0.15703574158701414
ACH-000411,-0.003924859697258818
ACH-000414,0.09931117327656197
ACH-000415,0.06921473667698982
ACH-000416,-0.14308752888603768
ACH-000420,-0.02902901922516175
ACH-000421,0.04179903328974525
ACH-000424,0.009069195717551857
ACH-000425,-0.07501524008674272
ACH-000426,0.03591880540621332
ACH-000427,-0.04553409531740212
ACH-000433,0.020619968742240737
ACH-000435,-0.03318774440979453
ACH-000436,-0.12890499077371845
ACH-000444,-0.19468539720438385
ACH-000445,-0.18690163287498726
ACH-000448,-0.03415301009362705
ACH-000450,0.02261373494468822
ACH-000452,-0.10295213709918558
ACH-000454,0.08516262951099432
ACH-000458,-0.014540531972167462
ACH-000459,0.004017531275800885
ACH-000460,-0.03609871794569522
ACH-000461,-0.006216610201776571
ACH-000463,-0.00723471638480863
ACH-000464,0.07203553032954435
ACH-000466,-0.08689128571750991
ACH-000467,0.01839598100453421
ACH-000468,-0.06967702360394296
ACH-000469,-0.019388744176549483
ACH-000470,0.05545062914585698
ACH-000471,-0.04233852446702484
ACH-000472,-0.10921346795689188
ACH-000473,-0.033664754037946124
ACH-000475,-0.08701914107372777
ACH-000476,-0.0760181316708933
ACH-000477,0.029431745407811506
ACH-000479,-0.13335566355392325
ACH-000480,-0.02087400218637057
ACH-000481,0.014807650905811653
ACH-000483,0.010536109191055723
ACH-000484,-0.11966542618294038
ACH-000485,0.034711753450874704
ACH-000486,0.07279182556207417
ACH-000487,-0.14122829309882998
ACH-000488,-0.020357911457658
ACH-000490,0.04984580323944925
ACH-000491,0.1894607686352319
ACH-000495,0.05312701082354157
ACH-000496,0.07885719286784902
ACH-000499,0.16159867099403274
ACH-000500,0.5550582703584448
ACH-000502,-0.056302008293066766
ACH-000503,0.17636335811892384
ACH-000505,-0.009135677859737016
ACH-000507,-0.11100839858836203
ACH-000510,0.0369773093583421
ACH-000511,-0.01329292633542052
ACH-000512,-0.20724086329015545
ACH-000516,0.013072990561659021
ACH-000517,-0.04710212880741487
ACH-000518,-0.029418932384446126
ACH-000520,0.0375725702974584
ACH-000521,-0.007834516358229305
ACH-000522,0.032203634988219404
ACH-000524,-0.07648720929022068
ACH-000527,0.012983551541986068
ACH-000528,0.019588469967198197
ACH-000537,0.03231110212164081
ACH-000541,-0.17587772848237382
ACH-000542,-0.1015884052202998
ACH-000544,0.1125536568661383
ACH-000545,-0.18730282078362745
ACH-000547,-0.032369764128360595
ACH-000548,-0.2461154969693215
ACH-000549,0.07562085329810632
ACH-000550,0.0490224970373377
ACH-000552,-0.0866277392087982
ACH-000556,-0.12811187482715064
ACH-000557,-0.06326761201132447
ACH-000569,-0.13699602455182494
ACH-000570,0.02405769638838512
ACH-000571,-0.029409379322322245
ACH-000573,-0.058019171720837426
ACH-000576,0.0007390093574384523
ACH-000579,-0.02550118724005361
ACH-000580,0.13613158309782844
ACH-000584,-0.07931580400294558
ACH-000585,-0.016273525172565476
ACH-000588,-0.13912714770398016
ACH-000589,-0.008387060075309444
ACH-000591,-0.037079420865453586
ACH-000593,-0.02740833285721275
ACH-000600,-0.03831179762447776
ACH-000601,0.010259103888434694
ACH-000605,-0.11036179154766043
ACH-000606,-0.016310001336975584
ACH-000608,-0.004439893030963543
ACH-000614,-0.09837329440782776
ACH-000616,-0.2312051435983403
ACH-000618,-0.04985528896386228
ACH-000619,0.08786137286580137
ACH-000620,-0.06553317662729162
ACH-000621,-0.0022780211775244173
ACH-000622,-0.028834833918573232
ACH-000623,0.09747978794599878
ACH-000624,-0.14879769106133614
ACH-000627,0.014246615376091988
ACH-000630,0.01456922641507376
ACH-000631,0.14772581324191905
ACH-000632,-0.028459917436230605
ACH-000633,0.002969038581350249
ACH-000637,-0.2487649013010833
ACH-000638,-0.10542362938444452
ACH-000646,0.06987574607928923
ACH-000647,-0.090239153507118
ACH-000648,-0.140526739418736
ACH-000649,-0.003960129592091818
ACH-000651,-0.09696775800629097
ACH-000652,-0.07793053225059247
ACH-000653,-0.07848114950768371
ACH-000657,0.006177562666083122
ACH-000658,-0.09023251603520108
ACH-000661,-0.15746454798738924
ACH-000662,0.0888967462479777
