,SNTG2 (54221)
ACH-000004,0.033819994512649616
ACH-000005,0.03955914611469823
ACH-000007,0.09779494256858734
ACH-000009,0.12659615075297706
ACH-000011,0.17669424477246862
ACH-000012,0.16742988088054492
ACH-000013,0.08532494659369318
ACH-000014,0.07650320651769506
ACH-000015,0.07535102646859053
ACH-000017,0.14700651691054714
ACH-000018,0.08350267588626399
ACH-000019,0.13080132279950465
ACH-000021,0.07740347542929334
ACH-000022,0.0473856389203012
ACH-000025,-0.004036282546351747
ACH-000028,0.08664931256784685
ACH-000030,0.15903269986321927
ACH-000035,0.24950824192774285
ACH-000036,0.05364769661371346
ACH-000037,0.05236999981245803
ACH-000039,0.09363593881502699
ACH-000040,0.14828177165226633
ACH-000041,0.04686845346759764
ACH-000042,0.07489464784274798
ACH-000045,0.19194797184599585
ACH-000047,0.07915128667842118
ACH-000052,0.06215509379837723
ACH-000053,0.11062738987006614
ACH-000054,0.03509756902126243
ACH-000055,0.18148966846297876
ACH-000060,0.05877879952086345
ACH-000067,0.20769894511355594
ACH-000070,0.16698426602839878
ACH-000075,0.17368280741102687
ACH-000078,0.024399736297187162
ACH-000082,0.12788649416488115
ACH-000085,0.16521942408576462
ACH-000086,0.0795934308979833
ACH-000087,0.017739090689285208
ACH-000092,0.10542864166119496
ACH-000095,0.12674067610463394
ACH-000097,0.0749598661526282
ACH-000098,0.033449270983721975
ACH-000099,0.10836264050361484
ACH-000108,0.07003990461508637
ACH-000113,0.11312929363776993
ACH-000116,0.11212188167124328
ACH-000118,0.05440042189365939
ACH-000120,0.11474405741222045
ACH-000123,0.09337605241402708
ACH-000127,0.10211967927141627
ACH-000128,-0.0066995295852557936
ACH-000132,0.13885807729586835
ACH-000133,0.1986174869091948
ACH-000137,0.1352354592527285
ACH-000138,0.11903255393054955
ACH-000142,0.03633313677813571
ACH-000143,0.1313263796470018
ACH-000146,0.10143514633734642
ACH-000148,0.13172209261564405
ACH-000150,0.22081133276879905
ACH-000152,0.02769727246828713
ACH-000153,-0.018240937085379633
ACH-000159,0.03978553966861599
ACH-000160,0.10659830585965123
ACH-000163,0.08595302647160483
ACH-000167,-0.4407609556675162
ACH-000168,0.14133398087580712
ACH-000169,0.1299689589684911
ACH-000178,0.05672761086036149
ACH-000183,0.10711126296010218
