,SPRR1A (6698)
ACH-000004,-0.04228444004067727
ACH-000005,0.07566866742708203
ACH-000007,-0.06580079054692461
ACH-000009,0.008232202443829863
ACH-000011,0.18728977652733256
ACH-000012,-0.05872144301234272
ACH-000013,0.0621050279831778
ACH-000014,0.2277862294654485
ACH-000015,0.0638149277724725
ACH-000017,0.11177511061999486
ACH-000018,0.0060098114150222036
ACH-000019,-0.0004523024110114918
ACH-000021,0.043671284145576486
ACH-000022,-0.0027400213320945407
ACH-000025,-0.002828053337339259
ACH-000028,0.0001402629446340389
ACH-000030,0.08368086246500675
ACH-000035,0.057188113597024484
ACH-000036,0.06733638972720916
ACH-000037,0.011772857552846528
ACH-000039,0.06327263685375499
ACH-000040,0.04546582053229257
ACH-000041,0.14724380062177744
ACH-000042,0.1291519250721993
ACH-000045,0.0883454408927115
ACH-000047,0.14295889646486631
ACH-000052,0.11140277747171486
ACH-000053,-0.00450283465155453
ACH-000054,-0.008626531331443083
ACH-000055,0.11475624899320305
ACH-000060,0.1324195728047662
ACH-000067,0.0367962288976116
ACH-000070,0.15880953221342878
ACH-000075,0.3757846300747119
ACH-000078,-0.03877332071844908
ACH-000082,0.028944705621242788
ACH-000085,-0.02596357837838091
ACH-000086,-0.17605611850302713
ACH-000087,0.022302157824738416
ACH-000092,0.011413427686765234
ACH-000095,0.04057757650216967
ACH-000097,-0.05306038303441032
ACH-000098,0.01057705408520922
ACH-000099,0.10411839491767974
ACH-000108,-0.06390984649553362
ACH-000113,0.09070805071477653
ACH-000116,-0.005802065025394339
ACH-000118,0.06049442505769504
ACH-000120,0.3401020457963311
ACH-000123,0.0964115704988414
ACH-000127,0.008875503021872542
ACH-000128,0.05156852578924455
ACH-000132,0.11233331513070202
ACH-000133,0.01164267436118853
ACH-000137,0.0880464854638699
ACH-000138,0.17532540185665232
ACH-000142,0.0598979299008711
ACH-000143,0.039533600237726584
ACH-000146,0.07828314085178452
ACH-000148,-0.0009709492842317703
ACH-000150,-0.02446253423949242
ACH-000152,0.02224209121236994
ACH-000153,0.12031472315023095
ACH-000159,0.07559749295591993
ACH-000160,-0.0162803983925922
ACH-000163,0.030900893036663338
ACH-000167,0.2889614077914046
ACH-000168,0.2013563767357003
ACH-000169,-0.04475356441795642
ACH-000178,0.03295240741594506
ACH-000183,0.10781190169881764
ACH-000188,0.17463985940165028
ACH-000189,0.1153662396681231
ACH-000190,0.0843695406313529
ACH-000198,0.048445083359798566
ACH-000203,0.17080862514078318
ACH-000204,-0.4427490863713686
ACH-000206,0.07173792956036562
ACH-000207,0.039323548445892025
ACH-000208,-0.17422668477846068
ACH-000210,0.024008102495645372
ACH-000211,0.07742064842745189
ACH-000215,0.043818086845150137
ACH-000221,0.039563911009475
ACH-000222,0.006840792623032236
ACH-000223,0.03347718815045435
ACH-000226,0.14919081592213793
ACH-000227,0.17789348850429812
ACH-000228,0.005920232772149753
ACH-000231,0.1017597669674892
ACH-000232,0.09859310896880988
ACH-000233,0.06786426630037684
ACH-000234,0.0007772157919198889
ACH-000235,0.030102364621322056
ACH-000237,0.048537823653268836
ACH-000238,0.11979911649885805
ACH-000242,0.1197460389778872
ACH-000243,0.007860845624526418
ACH-000244,0.07054985693876513
ACH-000246,0.011723358964858509
ACH-000248,0.11985882144606515
ACH-000250,0.06603601499219718
ACH-000251,-0.10533509070044968
ACH-000252,0.09615269539735574
ACH-000253,0.07005466401847774
ACH-000255,0.08278914852398246
ACH-000256,0.13437007418323008
ACH-000257,0.11561662270027764
ACH-000258,0.1689962624095091
ACH-000259,0.07538662195794787
ACH-000260,0.06242872460533865
ACH-000261,0.16149862578469176
ACH-000262,0.14521703417922913
ACH-000263,0.11604223433052042
ACH-000264,0.034594593673108985
ACH-000265,0.041022277147650985
ACH-000266,0.02635523081510596
ACH-000272,0.08072555454636184
ACH-000274,0.08127178053201815
ACH-000277,0.1356724755973426
ACH-000278,0.09693383231808203
ACH-000279,0.16634313997388633
ACH-000280,-0.026937229585570644
ACH-000281,0.08949319899651834
ACH-000288,0.033011895979750905
ACH-000291,0.07837986470027078
ACH-000293,0.2732679878460881
ACH-000294,-0.0663170586314625
ACH-000295,0.11300445219172235
ACH-000296,0.034264042577519783
ACH-000302,0.05732930125980755
ACH-000304,-0.07441470793468913
ACH-000307,0.07694527509239127
ACH-000308,0.03448708148924064
ACH-000310,0.19110503561583744
ACH-000311,0.03836971343664131
ACH-000312,0.12240974129150033
ACH-000315,-0.19275462428202905
ACH-000316,0.04389946210328555
ACH-000317,0.15688125450762302
ACH-000318,0.06214462804182828
ACH-000319,-0.00979456360083308
ACH-000320,-0.002190100245373634
ACH-000322,-0.044127866610188665
ACH-000323,-0.02639794064040973
ACH-000324,0.1237314738504419
ACH-000329,0.01959073855961009
ACH-000330,0.14143780511491355
ACH-000331,-0.005444598279278104
ACH-000332,-0.017059155440573473
ACH-000334,0.04193420061887895
ACH-000335,0.17065626291906674
ACH-000336,0.18806953785200226
ACH-000337,0.1586904899240601
ACH-000338,-0.12241499227502806
ACH-000339,0.08483117096858596
ACH-000341,-0.0018218074033921328
ACH-000348,-0.058686570178467165
ACH-000350,-0.0635409175493701
ACH-000352,0.11179480243726332
ACH-000356,-0.10943449591969452
ACH-000361,0.04185463260502605
ACH-000362,0.043728702233694135
ACH-000363,-0.023499403213444646
ACH-000364,0.036680774147300164
ACH-000365,0.016486320776909858
ACH-000366,0.061289291023834125
ACH-000368,0.08158413563662599
ACH-000374,0.038313652769123775
ACH-000375,-0.0319341703895327
ACH-000376,0.008830882936885786
ACH-000381,0.08800289913459416
ACH-000383,0.021129660908447017
ACH-000387,0.045510256089759935
ACH-000389,0.13693041607994966
ACH-000390,0.08306151944528903
ACH-000393,0.15044200176980765
ACH-000395,-0.07552906431606164
ACH-000396,-0.06611607981857114
ACH-000397,-0.01280439732127515
ACH-000401,-0.054688502170708524
ACH-000402,-0.30519761312090365
ACH-000403,0.05650274118660605
ACH-000404,-0.1987786721219506
ACH-000406,-0.036790345548547314
ACH-000407,0.061101327268040365
ACH-000408,0.1245401978929212
ACH-000410,0.01091745241591854
ACH-000411,0.1056775569546462
ACH-000414,0.06745045614577735
ACH-000415,0.08910993699561014
ACH-000416,0.006315602566756188
ACH-000420,0.06455833618745277
ACH-000421,0.031864524819207256
ACH-000424,0.016111957846859568
ACH-000425,0.00395238644194383
ACH-000426,0.10990078106619344
ACH-000427,0.040507655172188115
