,DepMap_ID
14,ACH-000001
4821,ACH-000015
4822,ACH-000015
4823,ACH-000015
6958,ACH-000021
7404,ACH-000022
10088,ACH-000030
30919,ACH-000080
31302,ACH-000082
32256,ACH-000087
37186,ACH-000107
38098,ACH-000110
38452,ACH-000111
43067,ACH-000130
49050,ACH-000153
51643,ACH-000161
52156,ACH-000163
54631,ACH-000173
56317,ACH-000179
60823,ACH-000196
64839,ACH-000207
65748,ACH-000210
66124,ACH-000211
67967,ACH-000218
68417,ACH-000219
69564,ACH-000221
81811,ACH-000259
83139,ACH-000263
83497,ACH-000264
85214,ACH-000269
90353,ACH-000286
95748,ACH-000302
96471,ACH-000304
97565,ACH-000307
97910,ACH-000308
98360,ACH-000309
98361,ACH-000309
99960,ACH-000313
100435,ACH-000314
105275,ACH-000325
105593,ACH-000326
106696,ACH-000329
111237,ACH-000343
111238,ACH-000343
113244,ACH-000348
118199,ACH-000360
121642,ACH-000370
122801,ACH-000373
123928,ACH-000376
123929,ACH-000376
123930,ACH-000376
125127,ACH-000379
125128,ACH-000379
129452,ACH-000390
130955,ACH-000394
131555,ACH-000395
143152,ACH-000425
144836,ACH-000429
149657,ACH-000441
153940,ACH-000451
154375,ACH-000452
162962,ACH-000473
169445,ACH-000489
170379,ACH-000491
172831,ACH-000499
173145,ACH-000500
175936,ACH-000507
176547,ACH-000508
177937,ACH-000511
179965,ACH-000515
179966,ACH-000515
184171,ACH-000525
187793,ACH-000535
188657,ACH-000537
197026,ACH-000556
198308,ACH-000559
200641,ACH-000563
203725,ACH-000570
204203,ACH-000571
206058,ACH-000576
208023,ACH-000580
208441,ACH-000581
208442,ACH-000581
210841,ACH-000586
210842,ACH-000586
213993,ACH-000592
215082,ACH-000595
217199,ACH-000599
218723,ACH-000603
220791,ACH-000607
221474,ACH-000608
223692,ACH-000613
225598,ACH-000617
240142,ACH-000647
242326,ACH-000651
244016,ACH-000654
250033,ACH-000665
252338,ACH-000669
254152,ACH-000672
255760,ACH-000675
259232,ACH-000681
263631,ACH-000691
266614,ACH-000696
267132,ACH-000697
267133,ACH-000697
271336,ACH-000703
273785,ACH-000707
275581,ACH-000712
278723,ACH-000718
279617,ACH-000719
285863,ACH-000730
287168,ACH-000733
287905,ACH-000734
287906,ACH-000734
293534,ACH-000745
294128,ACH-000746
294654,ACH-000747
296337,ACH-000750
296338,ACH-000750
296339,ACH-000750
297593,ACH-000752
298745,ACH-000754
302551,ACH-000760
304287,ACH-000763
304902,ACH-000764
305653,ACH-000765
308209,ACH-000769
309721,ACH-000771
