,TAF15 (8148)
ACH-000004,-0.0364932910686112
ACH-000005,0.01681302704975794
ACH-000007,-0.07565794673996366
ACH-000009,-0.027720423475702045
ACH-000011,0.024841021728041517
ACH-000012,-0.018053475231790583
ACH-000013,-0.0089159998638924
ACH-000014,-0.07549346056021776
ACH-000015,0.09246796488062292
ACH-000017,0.10817998709411407
ACH-000018,-0.11591797892869808
ACH-000019,-0.032209477564802726
ACH-000021,0.03686269426654285
ACH-000022,0.09275458396704599
ACH-000025,0.045139876241516184
ACH-000028,-0.08784706808093813
ACH-000030,-0.0507166000721796
ACH-000035,-0.16538462291107608
ACH-000036,-0.0970500515314252
ACH-000037,0.12386380291402957
ACH-000039,-0.17494889597569704
ACH-000040,-0.1335067411407493
ACH-000041,0.14216398346083614
ACH-000042,-0.036942122913855284
ACH-000045,-0.1018468675918181
ACH-000047,-0.050497685471735186
ACH-000052,0.06869326023983621
ACH-000053,-0.026129583279388288
ACH-000054,-0.0794800179157657
ACH-000055,0.06630995185981164
ACH-000060,-0.05052102033367574
ACH-000067,-0.04905947146542016
ACH-000070,0.051985245771270935
ACH-000075,-0.04863601455858323
ACH-000078,0.07211097824090924
ACH-000082,-0.05648986984669654
ACH-000085,-0.0071403679647630705
ACH-000086,-0.21609384011558147
ACH-000087,-0.007675135846958698
ACH-000092,0.07685001459720811
ACH-000095,0.02934860125430747
ACH-000097,-0.16392762109508374
ACH-000098,-0.1787343415525685
ACH-000099,0.11838700685623788
ACH-000108,0.0020876247730423586
ACH-000113,0.04933908986485417
ACH-000116,-0.005738448427232275
ACH-000118,0.05255921709347935
ACH-000120,0.2596550563842977
ACH-000123,0.07988446473761494
ACH-000127,-0.003096551306733139
ACH-000128,0.0016007154660547776
ACH-000132,0.08591621999684286
ACH-000133,0.060411680919747926
ACH-000137,0.03793709490104295
ACH-000138,-0.09028507659118504
ACH-000142,-0.13964431379572267
ACH-000143,-0.259452326999325
ACH-000146,-0.09080487726052397
ACH-000148,-0.16444623845194306
ACH-000150,0.12765293838518224
ACH-000152,0.01969696597619536
ACH-000153,-0.005010101415639141
ACH-000159,-0.05750733115270834
ACH-000160,0.004729048605738561
ACH-000163,-0.02491343713881124
ACH-000167,-0.04675349327699197
ACH-000168,0.05126275248635991
ACH-000169,0.007443734948477159
ACH-000178,0.056054105402049234
ACH-000183,-0.008625705245842807
ACH-000188,-0.12979607191720255
ACH-000189,-0.014097176107013137
ACH-000190,-0.0357740720619362
ACH-000198,0.01195310998474138
ACH-000203,0.1163570183257434
ACH-000204,0.17414357706622138
ACH-000206,-0.13652832710483695
ACH-000207,-0.01157628872536016
ACH-000208,0.09204533145195727
ACH-000210,-0.1948708964293572
ACH-000211,-0.08387726127966302
ACH-000215,-0.06530565970438715
ACH-000221,-0.05154002698979177
ACH-000222,-0.1138950913116088
ACH-000223,-0.12053259129749315
ACH-000226,-0.10639036828388224
ACH-000227,-0.027945843382670716
ACH-000228,-0.0977712714388515
ACH-000231,0.024838240373479342
ACH-000232,0.09023889711247828
ACH-000233,0.042822137578715655
ACH-000234,-0.09949245262034233
ACH-000235,-0.024649915278003857
ACH-000237,0.05256274738122305
ACH-000238,-0.03548337866357838
ACH-000242,-0.19001279290778045
ACH-000243,-0.112129486446888
ACH-000244,-0.1780288493982446
ACH-000246,0.06890389029112105
ACH-000248,-0.04585238924841089
ACH-000250,0.08783227730987757
ACH-000251,0.23580125527705506
ACH-000252,-0.016571569083007928
ACH-000253,0.07206575999494104
ACH-000255,-0.011976234342096369
ACH-000256,-0.2180942592628861
ACH-000257,-0.009542320152306124
ACH-000258,0.14496247853617586
ACH-000259,-0.07152992175992932
ACH-000260,-0.08323535799465888
ACH-000261,-0.05685294763720707
ACH-000262,-0.13802155614166464
ACH-000263,0.16056549186616306
ACH-000264,-0.07328821869686683
ACH-000265,0.05541585723279311
ACH-000266,0.03305455078654175
ACH-000272,0.002589492456689128
ACH-000274,-0.0014098939472108757
ACH-000277,0.06904364315770828
ACH-000278,-0.16263439774492452
ACH-000279,0.029625026553787164
ACH-000280,0.1293493449131819
ACH-000281,0.124358038404314
ACH-000288,-0.07066313000937874
ACH-000291,-0.029727797777988087
ACH-000293,-0.017877053196562482
ACH-000294,-0.04749485683188498
ACH-000295,-0.12814064303982214
ACH-000296,-0.2268941970847595
ACH-000302,0.12611236514318633
ACH-000304,-0.04545159557403832
ACH-000307,0.07482109732463553
ACH-000308,0.07804431735518165
ACH-000310,0.14850186422688585
ACH-000311,0.036767328152012384
ACH-000312,-0.04703923120477478
ACH-000315,-0.057927876347890775
ACH-000316,-0.1645815792897609
ACH-000317,-0.006037014027512568
ACH-000318,0.009880472583025266
ACH-000319,-0.08176276246212291
ACH-000320,0.115882637552743
ACH-000322,-0.10811214583311564
ACH-000323,-0.08186764572926825
ACH-000324,-0.06497454645381083
ACH-000329,0.0014593286987603516
ACH-000330,-0.3301319162914592
ACH-000331,-0.005372532141185026
ACH-000332,-0.011135716137892144
ACH-000334,-0.24784047017692154
ACH-000335,-0.1671312907222917
ACH-000336,-0.10307578852159856
ACH-000337,-0.2513458423350784
ACH-000338,-0.3526132695483209
ACH-000339,-0.080434894303603
ACH-000341,0.045682254754087284
ACH-000348,0.03222398130107771
ACH-000350,0.04545723049886636
ACH-000352,0.013589115011055856
ACH-000356,-0.1713964678368328
ACH-000361,-0.2160325307493452
ACH-000362,-0.004858973249882917
ACH-000363,-0.020623205817212945
ACH-000364,-0.2099326361585482
ACH-000365,0.07956305738292854
ACH-000366,-0.04648174430023582
ACH-000368,0.07849503750277857
ACH-000374,-0.16492332886894198
ACH-000375,-0.06549341619905305
ACH-000376,0.00695068594049718
ACH-000381,0.11365747604553456
ACH-000383,-0.06265347245329315
ACH-000387,-0.011155153199208616
ACH-000389,0.2630794414679502
ACH-000390,-0.06423022535491202
ACH-000393,-0.02100382985024633
ACH-000395,-0.1291815771558077
ACH-000396,-0.06946484919587413
ACH-000397,-0.020849290505809692
ACH-000401,0.08092558264222363
ACH-000402,0.021611455433615367
ACH-000403,0.08394400334566356
ACH-000404,-0.18653057198024567
ACH-000406,0.0037619714051413343
ACH-000407,0.15941417556418255
ACH-000408,0.08744209046905163
ACH-000410,0.08722870031083776
ACH-000411,-0.07369719921689373
ACH-000414,0.016369088388502102
ACH-000415,-0.07753558505621656
ACH-000416,-0.001963744569551761
ACH-000420,-0.034314727018408264
ACH-000421,0.10133696332457236
ACH-000424,0.0189457119302823
ACH-000425,0.038369245448993415
ACH-000426,-0.1594804989536183
ACH-000427,-0.04412740710665467
ACH-000433,-0.3548339550496948
ACH-000435,-0.2929093996161533
ACH-000436,-0.09204721322040303
ACH-000444,-0.18609051565662105
ACH-000445,0.022174545328177683
ACH-000448,-0.10305906423011983
ACH-000450,0.0733202998381948
ACH-000452,0.031293854338958704
ACH-000454,0.06861038379572403
ACH-000458,0.05280509672252368
ACH-000459,-0.02681960531103831
ACH-000460,0.018474975114885182
ACH-000461,0.05739134397636745
ACH-000463,-0.06011378483913748
ACH-000464,0.04654755535360013
ACH-000466,0.07728747942932784
ACH-000467,-0.0012519848226487946
ACH-000468,0.011672056064501116
ACH-000469,-0.00942117834957321
ACH-000470,-0.031799090139201285
ACH-000471,-0.014413193383251387
ACH-000472,0.004552480832582369
ACH-000473,0.17010715982241353
ACH-000475,0.029997930505942537
ACH-000476,-0.019737805917687496
ACH-000477,0.07420003539063429
ACH-000479,0.003949305833100941
ACH-000480,-0.0980763333684877
ACH-000481,0.08243187589329704
