,DepMap_ID
1713,ACH-000007
38195,ACH-000110
75832,ACH-000242
115049,ACH-000352
144253,ACH-000427
226999,ACH-000620
271505,ACH-000703
278947,ACH-000718
280647,ACH-000721
509545,ACH-000930
580733,ACH-000956
580734,ACH-000956
580735,ACH-000956
629009,ACH-000970
659687,ACH-000978
747674,ACH-000991
832464,ACH-000994
851534,ACH-000996
851535,ACH-000996
995386,ACH-001364
1002358,ACH-001377
1024591,ACH-001496
1034757,ACH-001522
1058578,ACH-001567
1137224,ACH-002173
1221376,ACH-002338
1239412,ACH-002396
1239413,ACH-002396
