,DepMap_ID
19853,ACH-000058
26849,ACH-000065
26850,ACH-000065
26851,ACH-000065
26852,ACH-000065
26853,ACH-000065
26854,ACH-000065
26855,ACH-000065
26856,ACH-000065
26857,ACH-000065
26858,ACH-000065
26859,ACH-000065
40426,ACH-000118
42105,ACH-000126
57061,ACH-000181
71503,ACH-000226
77091,ACH-000246
80741,ACH-000255
95698,ACH-000301
114421,ACH-000350
123140,ACH-000373
201732,ACH-000564
202639,ACH-000566
205876,ACH-000574
223473,ACH-000611
262620,ACH-000687
271238,ACH-000702
274209,ACH-000707
286599,ACH-000730
294061,ACH-000745
318631,ACH-000782
353444,ACH-000786
353445,ACH-000786
353446,ACH-000786
353447,ACH-000786
353448,ACH-000786
353449,ACH-000786
353450,ACH-000786
353451,ACH-000786
353452,ACH-000786
353453,ACH-000786
353454,ACH-000786
353455,ACH-000786
353456,ACH-000786
353457,ACH-000786
353458,ACH-000786
353459,ACH-000786
362611,ACH-000794
374785,ACH-000809
384456,ACH-000821
442372,ACH-000884
443941,ACH-000885
443942,ACH-000885
469476,ACH-000908
491831,ACH-000920
503565,ACH-000927
508569,ACH-000929
535000,ACH-000940
539966,ACH-000942
554297,ACH-000947
554298,ACH-000947
562778,ACH-000950
567761,ACH-000952
575910,ACH-000954
592347,ACH-000959
606089,ACH-000963
608709,ACH-000964
635857,ACH-000971
643086,ACH-000973
643087,ACH-000973
647419,ACH-000974
647420,ACH-000974
664529,ACH-000978
677436,ACH-000981
677437,ACH-000981
677438,ACH-000981
677439,ACH-000981
677440,ACH-000981
677441,ACH-000981
677442,ACH-000981
677443,ACH-000981
677444,ACH-000981
677445,ACH-000981
677446,ACH-000981
684321,ACH-000982
701831,ACH-000985
701832,ACH-000985
709356,ACH-000986
709357,ACH-000986
753800,ACH-000991
753801,ACH-000991
816827,ACH-000992
816828,ACH-000992
816829,ACH-000992
816830,ACH-000992
816831,ACH-000992
816832,ACH-000992
816833,ACH-000992
816834,ACH-000992
816835,ACH-000992
816836,ACH-000992
816837,ACH-000992
816838,ACH-000992
816839,ACH-000992
816840,ACH-000992
816841,ACH-000992
816842,ACH-000992
816843,ACH-000992
816844,ACH-000992
816845,ACH-000992
829038,ACH-000993
829039,ACH-000993
839335,ACH-000994
859362,ACH-000996
859363,ACH-000996
859364,ACH-000996
859365,ACH-000996
880399,ACH-000998
880400,ACH-000998
905800,ACH-000999
930875,ACH-001090
942459,ACH-001127
980370,ACH-001333
989630,ACH-001345
1042494,ACH-001544
1060611,ACH-001568
1063651,ACH-001599
1070453,ACH-001610
1071981,ACH-001624
1080496,ACH-001650
1088756,ACH-001735
1094889,ACH-001765
1113779,ACH-002111
1128451,ACH-002159
1130579,ACH-002163
1134891,ACH-002167
1137035,ACH-002171
1140943,ACH-002178
1163584,ACH-002229
1171551,ACH-002238
1175910,ACH-002252
1188722,ACH-002263
1204133,ACH-002288
1220452,ACH-002336
1241942,ACH-002396
