,DepMap_ID
161,ACH-000001
3971,ACH-000013
13807,ACH-000037
13808,ACH-000037
13809,ACH-000037
13810,ACH-000037
13811,ACH-000037
13812,ACH-000037
13813,ACH-000037
13814,ACH-000037
13815,ACH-000037
13816,ACH-000037
13817,ACH-000037
13818,ACH-000037
13819,ACH-000037
13820,ACH-000037
13821,ACH-000037
13822,ACH-000037
13823,ACH-000037
13824,ACH-000037
13825,ACH-000037
13826,ACH-000037
13827,ACH-000037
13828,ACH-000037
13829,ACH-000037
13830,ACH-000037
13831,ACH-000037
13832,ACH-000037
13833,ACH-000037
13834,ACH-000037
13835,ACH-000037
13836,ACH-000037
13837,ACH-000037
16658,ACH-000045
16867,ACH-000046
17829,ACH-000050
18261,ACH-000052
24662,ACH-000065
24663,ACH-000065
24664,ACH-000065
24665,ACH-000065
24666,ACH-000065
24667,ACH-000065
24668,ACH-000065
29140,ACH-000072
37953,ACH-000109
38292,ACH-000110
40042,ACH-000117
41961,ACH-000126
44299,ACH-000134
45883,ACH-000141
47959,ACH-000148
54065,ACH-000170
62025,ACH-000198
66578,ACH-000212
71728,ACH-000227
72176,ACH-000229
74437,ACH-000237
74438,ACH-000237
80621,ACH-000255
80930,ACH-000256
85465,ACH-000269
89911,ACH-000284
94013,ACH-000296
103476,ACH-000319
104520,ACH-000322
106830,ACH-000329
107125,ACH-000330
111773,ACH-000344
114241,ACH-000350
131223,ACH-000394
132890,ACH-000398
138503,ACH-000413
149850,ACH-000441
151495,ACH-000445
152326,ACH-000447
159948,ACH-000466
172331,ACH-000496
174938,ACH-000504
176254,ACH-000507
177216,ACH-000509
178601,ACH-000512
187956,ACH-000535
193745,ACH-000549
194255,ACH-000550
208224,ACH-000580
214467,ACH-000593
216405,ACH-000597
221699,ACH-000608
223227,ACH-000611
223610,ACH-000612
228703,ACH-000623
232703,ACH-000632
233274,ACH-000633
238385,ACH-000642
240525,ACH-000647
256873,ACH-000676
258384,ACH-000679
260238,ACH-000682
261251,ACH-000684
263904,ACH-000691
272198,ACH-000704
275185,ACH-000710
279834,ACH-000719
280279,ACH-000720
283484,ACH-000726
284921,ACH-000728
290194,ACH-000738
291264,ACH-000740
295076,ACH-000747
297926,ACH-000752
303969,ACH-000762
309914,ACH-000771
315605,ACH-000779
316620,ACH-000780
316621,ACH-000780
341486,ACH-000786
