,DepMap_ID
92164,ACH-000291
108395,ACH-000334
129687,ACH-000390
152855,ACH-000448
175788,ACH-000506
252765,ACH-000669
293933,ACH-000745
302341,ACH-000759
345791,ACH-000786
345792,ACH-000786
345793,ACH-000786
373467,ACH-000808
421790,ACH-000867
469022,ACH-000908
473418,ACH-000911
514267,ACH-000932
543245,ACH-000943
639109,ACH-000972
682753,ACH-000982
692949,ACH-000984
729235,ACH-000989
741285,ACH-000990
802097,ACH-000992
802098,ACH-000992
802099,ACH-000992
802100,ACH-000992
802101,ACH-000992
802102,ACH-000992
802103,ACH-000992
802104,ACH-000992
802105,ACH-000992
837275,ACH-000994
934020,ACH-001111
941296,ACH-001127
974656,ACH-001318
979726,ACH-001333
988124,ACH-001345
1014552,ACH-001413
1069292,ACH-001610
1103373,ACH-002059
