,VPS25 (84313)
ACH-000004,-1.474964060854464
ACH-000005,-1.4170343400482188
ACH-000007,-1.4148138502431773
ACH-000009,-1.2417904366634227
ACH-000011,-1.3480071450604298
ACH-000012,-1.3770884111368784
ACH-000013,-1.5221343262508178
ACH-000014,-1.351640471364903
ACH-000015,-1.4565689087460727
ACH-000017,-1.8065765135024496
ACH-000018,-1.4840622948834288
ACH-000019,-1.4369934635357848
ACH-000021,-1.2879030462229897
ACH-000022,-1.4443647408541904
ACH-000025,-1.4066455133517757
ACH-000028,-1.3725533609034468
ACH-000030,-1.4121312767507186
ACH-000035,-1.4680514826996904
ACH-000036,-1.4802254016165608
ACH-000037,-1.4558870531594696
ACH-000039,-1.4192374296487875
ACH-000040,-1.4263436675804149
ACH-000041,-1.5430275444200638
ACH-000042,-1.4270545029893729
ACH-000045,-1.6728975899730305
ACH-000047,-1.2519672218030962
ACH-000052,-1.5230540906888113
ACH-000053,-1.422180752718665
ACH-000054,-1.2499623532670323
ACH-000055,-1.4495699535672415
ACH-000060,-1.2714121392763276
ACH-000067,-1.3722801935456272
ACH-000070,-1.3559750539994997
ACH-000075,-1.4313155799379431
ACH-000078,-1.6192780091069858
ACH-000082,-1.4323148086281192
ACH-000085,-1.3158199818034872
ACH-000086,-1.324984465603242
ACH-000087,-1.7299741217931703
ACH-000092,-1.3784062644797728
ACH-000095,-1.1834295918120934
ACH-000097,-1.3538409851482616
ACH-000098,-1.3127845338737931
ACH-000099,-1.237586309642254
ACH-000108,-1.470167193973993
ACH-000113,-1.4632366533053365
ACH-000116,-1.5697165243001547
ACH-000118,-1.3599205738230888
ACH-000120,-1.3648872002269847
ACH-000123,-1.5694621387032581
ACH-000127,-1.582046619802529
ACH-000128,-1.3952295178778191
ACH-000132,-1.313353829271509
ACH-000133,-1.384791543134701
ACH-000137,-1.3839695958985516
ACH-000138,-1.4329720480865544
ACH-000142,-1.3222302087572366
ACH-000143,-1.2732116577007735
ACH-000146,-1.4237341712595142
ACH-000148,-1.6801382129999196
ACH-000150,-1.264820190190805
ACH-000152,-1.3621121788502817
ACH-000153,-1.5015729030921023
ACH-000159,-1.1255183445018178
ACH-000160,-1.3309958623820737
ACH-000163,-1.5456790175342148
ACH-000167,-2.2283314521408912
ACH-000168,-1.6351994280055695
ACH-000169,-1.555426753891904
ACH-000178,-1.6103130996220696
ACH-000183,-1.7398558047991002
ACH-000188,-1.5398306684067646
ACH-000189,-1.3474056489845077
ACH-000190,-1.4988105889338448
ACH-000198,-1.47915260818638
ACH-000203,-1.290158632551648
ACH-000204,-1.261256051411627
ACH-000206,-1.3718934573849362
ACH-000207,-1.8247993973045629
ACH-000208,-1.3151172393930095
ACH-000210,-1.4103584883193254
ACH-000211,-1.5372966453602497
ACH-000215,-1.3025423015788622
ACH-000221,-1.4288126035154292
ACH-000222,-1.5739748185832916
ACH-000223,-1.7832068562754517
ACH-000226,-1.4253235841977112
ACH-000227,-0.7864877914816907
ACH-000228,-1.6253094691018468
ACH-000231,-1.391858064688189
ACH-000232,-1.4442097409764107
ACH-000233,-1.5803124262269426
ACH-000234,-1.3126463831447541
ACH-000235,-1.32935951359632
ACH-000237,-1.3302549988053658
ACH-000238,-1.6495480828551268
ACH-000242,-1.04629946647845
ACH-000243,-1.5035202280412987
ACH-000244,-1.599444370579303
ACH-000246,-1.3299346101426202
ACH-000248,-1.315077642249147
ACH-000250,-1.1612401865100612
ACH-000251,-1.5674869781935616
ACH-000252,-1.5444846473121518
ACH-000253,-1.3576289500890344
ACH-000255,-1.4841595727162813
ACH-000256,-1.6351494102837818
ACH-000257,-1.4886390057064187
ACH-000258,-1.2201371685036768
ACH-000259,-1.2750314506967138
ACH-000260,-1.4980984381016886
ACH-000261,-1.3692058587491296
ACH-000262,-1.1665666855090149
ACH-000263,-1.3846331202155846
ACH-000264,-1.530329746467762
ACH-000265,-1.5553140079685963
ACH-000266,-1.4253208592114903
ACH-000272,-1.4140263473416124
ACH-000274,-1.0544065353457048
ACH-000277,-1.7265359112156329
ACH-000278,-1.5850479016467116
ACH-000279,-1.5159666094405846
ACH-000280,-1.4538704294908789
ACH-000281,-1.300851516712312
ACH-000288,-1.5373536804120136
ACH-000291,-1.4557435649271937
ACH-000293,-1.6812927222350702
ACH-000294,-1.7575282818582711
ACH-000295,-1.4895661760440535
ACH-000296,-1.6275377035820469
ACH-000302,-1.3255143651178805
ACH-000304,-1.5998183203107208
ACH-000307,-1.4554208892151754
ACH-000308,-1.5794369538981454
ACH-000310,-0.7825642950876016
ACH-000311,-1.4655487730180268
ACH-000312,-1.4282677057830455
ACH-000315,-1.4994877095933616
ACH-000316,-1.6861791703180224
ACH-000317,-1.9887513485940416
ACH-000318,-1.4869607118878436
ACH-000319,-1.4378134789216113
ACH-000320,-1.6136307680432662
ACH-000322,-1.429021373614732
ACH-000323,-1.6412918291246776
ACH-000324,-1.263777391531829
ACH-000329,-1.3419169220623268
ACH-000330,-1.7222111432946252
ACH-000331,-1.351305687146745
ACH-000332,-1.363169223422534
ACH-000334,-1.1655753400801387
ACH-000335,-1.3543802720347942
ACH-000336,-1.7277658389424313
ACH-000337,-1.7985990540130825
ACH-000338,-0.8769117067126473
ACH-000339,-1.3728467297097462
ACH-000341,-0.7682564992221361
ACH-000348,-1.6961044344422616
ACH-000350,-1.34161296092988
ACH-000352,-1.4741793931428662
ACH-000356,-1.2585608785711295
ACH-000361,-1.3136380793526696
ACH-000362,-1.4614325669637047
ACH-000363,-1.5695609440952014
ACH-000364,-1.630440765108408
ACH-000365,-1.5925606834822232
ACH-000366,-1.2719828430612672
ACH-000368,-1.7252010791552983
ACH-000374,-1.6946080178239007
ACH-000375,-1.585661175196856
ACH-000376,-1.3765392591094263
ACH-000381,-1.4818528124601968
ACH-000383,-1.413156212386524
