,DepMap_ID
20950,ACH-000062
29247,ACH-000072
56753,ACH-000180
70785,ACH-000224
73370,ACH-000233
84150,ACH-000265
84826,ACH-000267
90620,ACH-000286
99916,ACH-000312
99917,ACH-000312
102459,ACH-000316
110003,ACH-000338
121263,ACH-000368
124607,ACH-000377
125860,ACH-000380
130878,ACH-000393
148133,ACH-000436
162365,ACH-000471
164934,ACH-000478
167481,ACH-000484
174727,ACH-000503
186088,ACH-000529
190919,ACH-000543
194456,ACH-000550
221379,ACH-000607
235652,ACH-000637
239349,ACH-000644
249351,ACH-000663
254837,ACH-000672
263558,ACH-000690
277786,ACH-000715
295755,ACH-000748
297499,ACH-000751
298137,ACH-000752
301911,ACH-000758
302439,ACH-000759
304193,ACH-000762
311181,ACH-000773
362604,ACH-000794
363962,ACH-000795
374766,ACH-000809
378787,ACH-000814
393816,ACH-000833
430280,ACH-000874
435564,ACH-000879
439597,ACH-000882
443894,ACH-000885
453650,ACH-000894
469436,ACH-000908
469437,ACH-000908
469438,ACH-000908
473734,ACH-000911
502050,ACH-000926
505909,ACH-000928
505910,ACH-000928
516742,ACH-000933
534920,ACH-000940
534921,ACH-000940
544145,ACH-000943
567706,ACH-000952
567707,ACH-000952
579562,ACH-000955
585544,ACH-000957
585545,ACH-000957
598588,ACH-000961
605984,ACH-000963
605985,ACH-000963
616006,ACH-000966
616007,ACH-000966
623114,ACH-000968
623115,ACH-000968
631485,ACH-000970
631486,ACH-000970
635746,ACH-000971
647323,ACH-000974
647324,ACH-000974
672095,ACH-000980
672096,ACH-000980
677284,ACH-000981
684169,ACH-000982
684170,ACH-000982
687941,ACH-000983
687942,ACH-000983
687943,ACH-000983
687944,ACH-000983
694264,ACH-000984
694265,ACH-000984
716479,ACH-000987
716480,ACH-000987
716481,ACH-000987
723390,ACH-000988
723391,ACH-000988
839071,ACH-000994
839072,ACH-000994
839073,ACH-000994
839074,ACH-000994
847575,ACH-000995
869692,ACH-000997
880136,ACH-000998
905175,ACH-000999
905176,ACH-000999
928964,ACH-001081
930498,ACH-001089
942340,ACH-001127
942341,ACH-001127
955603,ACH-001189
957879,ACH-001196
964288,ACH-001206
989501,ACH-001345
990754,ACH-001350
1000394,ACH-001369
1007372,ACH-001394
1011493,ACH-001407
1050146,ACH-001550
1094062,ACH-001750
1100097,ACH-002043
1100551,ACH-002045
1117503,ACH-002124
1134360,ACH-002166
1142538,ACH-002180
1155629,ACH-002217
1161761,ACH-002222
1216161,ACH-002309
1234691,ACH-002387
1243056,ACH-002397
