,DepMap_ID
21198,ACH-000064
218565,ACH-000602
252724,ACH-000669
260808,ACH-000683
304618,ACH-000763
312933,ACH-000776
318382,ACH-000782
403747,ACH-000846
418493,ACH-000864
425917,ACH-000871
470530,ACH-000909
514115,ACH-000932
542985,ACH-000943
655385,ACH-000977
826389,ACH-000993
855565,ACH-000996
877250,ACH-000998
877251,ACH-000998
898419,ACH-000999
996847,ACH-001367
1044187,ACH-001549
1088397,ACH-001735
1113034,ACH-002108
1133518,ACH-002166
1142851,ACH-002181
1194335,ACH-002273
1217201,ACH-002311
1229457,ACH-002362
