,ABCG2 (9429)
ACH-000004,0.11533314404799999
ACH-000007,0.051117033971300005
ACH-000009,0.259179887923
ACH-000011,0.0789473706342
ACH-000012,0.194759529381
ACH-000013,0.260506468105
ACH-000014,0.08831548702950001
ACH-000015,0.133650698229
ACH-000017,0.0872570629796
ACH-000018,0.123267394066
ACH-000019,0.158484756272
ACH-000021,0.297906422665
ACH-000022,0.057687332757400005
ACH-000025,0.0445532411821
ACH-000028,0.133789744203
ACH-000030,0.107670181426
ACH-000035,0.0121087755188
ACH-000036,0.20874921582400002
ACH-000037,0.044107669033300004
ACH-000039,0.476833042887
ACH-000040,0.059736354514100004
ACH-000041,-0.22096099947099998
ACH-000042,0.14458076779
ACH-000045,0.108232834039
ACH-000047,0.29109022787300004
ACH-000052,-0.13612625299699999
ACH-000053,0.19356012255600002
ACH-000054,0.124603443744
ACH-000055,-0.09223604508479999
ACH-000060,0.007794627226129999
ACH-000067,0.124643744156
ACH-000070,0.12606817564300002
ACH-000075,0.019192381369000002
ACH-000078,0.20929136895199998
ACH-000082,0.291807945447
ACH-000085,0.0871771333045
ACH-000086,0.129680432606
ACH-000087,0.31394195133999997
ACH-000092,0.19505916263700002
ACH-000095,0.16274168372199999
ACH-000097,0.19378332751400001
ACH-000098,-0.09932169829769999
ACH-000099,0.199032302709
ACH-000108,0.278199037001
ACH-000113,0.13045471214600002
ACH-000115,-0.0734858301482
ACH-000116,0.115738520363
ACH-000118,0.184240857057
ACH-000120,0.291279559402
ACH-000123,0.146283909342
ACH-000127,0.103051786829
ACH-000128,0.0221456427049
ACH-000132,0.10304220939400001
ACH-000133,0.0815985385651
ACH-000137,-0.009556788511799998
ACH-000138,0.175299579573
ACH-000142,0.168156391398
ACH-000143,-0.14236091227
ACH-000146,0.060094796930099996
ACH-000148,0.21788807795899998
ACH-000150,0.163370773779
ACH-000152,0.105789387173
ACH-000153,0.201202727275
ACH-000159,0.088849197191
ACH-000160,0.19417115668200002
ACH-000163,0.104027674467
ACH-000167,0.0914134068547
ACH-000168,0.015654779527200003
ACH-000169,0.352217507037
ACH-000178,0.195050403165
ACH-000182,0.0937228641816
ACH-000183,-0.0454357258871
ACH-000188,0.18155465405000001
ACH-000189,-0.24863071387400001
ACH-000190,-0.09111540680849999
ACH-000198,0.122552666552
ACH-000204,0.235858848789
ACH-000206,0.277879071827
ACH-000207,0.0456233189499
ACH-000211,0.0927850671401
ACH-000215,0.28305927052700003
ACH-000221,0.0699884223785
ACH-000222,0.22923769048
ACH-000223,0.17610970211100002
ACH-000226,0.197672513612
ACH-000227,-0.046460932593099996
ACH-000228,0.35708166413599995
ACH-000231,0.301921789646
ACH-000232,0.187522400104
ACH-000233,0.231974707734
ACH-000234,-0.0341469232763
ACH-000235,0.218502818944
ACH-000237,0.165140602591
ACH-000238,0.24225600265900002
ACH-000243,0.14527989673800001
ACH-000244,0.202236939705
ACH-000246,0.262381709111
ACH-000248,0.328466250329
ACH-000250,0.21482022405099999
ACH-000251,0.08914378374289998
ACH-000253,0.199062147755
ACH-000255,0.23190935873799998
ACH-000256,0.15650211702
ACH-000257,0.214033489888
ACH-000258,0.0774792256778
ACH-000259,0.16804269176800002
ACH-000260,0.07838687138969999
ACH-000261,0.170433694621
ACH-000262,-0.0968836227293
ACH-000263,-0.0051095191883999995
ACH-000264,0.197152286146
ACH-000265,-0.0380547980116
ACH-000266,0.294304048064
ACH-000272,0.217510625909
ACH-000273,0.18689507839699998
ACH-000274,0.32819877316999996
ACH-000277,0.23013109415
ACH-000278,0.0475345906974
ACH-000279,0.0218735640374
ACH-000280,0.0582787305347
ACH-000281,0.135078309572
ACH-000288,0.189941491347
ACH-000291,0.284032897608
ACH-000293,0.186879539919
ACH-000294,0.374443362619
ACH-000295,0.19947962698199997
ACH-000296,-0.469619151114
ACH-000302,0.0771029878324
ACH-000304,0.141054224642
ACH-000307,0.180217730447
ACH-000308,0.15558284237
ACH-000310,0.432863986667
ACH-000311,0.0912271058399
ACH-000312,0.214178320368
ACH-000315,0.160819519732
ACH-000316,-0.031475469635799995
ACH-000317,0.127265308557
ACH-000318,0.0846142411165
ACH-000319,-0.0319757709191
ACH-000320,0.133729503089
ACH-000322,0.174997651855
ACH-000323,0.10066564493899999
ACH-000324,0.22375458035
ACH-000329,0.22092653866700002
ACH-000330,0.0271884118732
ACH-000331,0.262456382931
ACH-000332,0.222186628364
ACH-000334,0.309977136945
ACH-000335,0.344533134762
ACH-000336,-0.0584911916229
ACH-000337,0.141245046248
ACH-000339,0.207581840985
ACH-000341,0.151569938845
ACH-000348,0.08141130725589998
ACH-000350,0.2861927304
ACH-000352,0.108368478879
ACH-000356,0.275790857267
ACH-000361,-0.125883606216
ACH-000362,0.130093928163
ACH-000363,0.24202854090599998
ACH-000364,0.12179072080999999
ACH-000365,0.0893193176498
ACH-000366,0.122240503773
ACH-000368,0.134080802059
ACH-000374,0.279779652644
ACH-000375,0.159542405453
ACH-000376,0.111517012887
ACH-000381,0.024597004971599997
ACH-000383,0.160645246473
ACH-000387,0.181288637422
ACH-000389,0.0340976527661
ACH-000390,0.113215979354
ACH-000393,0.31243438303300003
ACH-000395,0.110876981614
ACH-000397,0.160676470635
