,ACTL8 (81569)
ACH-000004,-0.34607589040299996
ACH-000007,0.035227572054400004
ACH-000009,-0.225700508543
ACH-000011,0.05983425071119999
ACH-000012,-0.013717058604500001
ACH-000013,-0.0665528621867
ACH-000014,-0.0417467638972
ACH-000015,-0.177612646851
ACH-000017,-0.14643004166200002
ACH-000018,-0.116127633421
ACH-000019,-0.325616076671
ACH-000021,0.04247859488609999
ACH-000022,-0.11833874883500001
ACH-000025,0.0544740110745
ACH-000028,-0.0473100828358
ACH-000030,-0.10255288887700001
ACH-000035,-0.205991851879
ACH-000036,-0.0782834051822
ACH-000037,-0.20425857231
ACH-000039,-0.41593120117
ACH-000040,-0.0831651555013
ACH-000041,-0.22102648134
ACH-000042,-0.0513791804005
ACH-000045,-0.316394529574
ACH-000047,-0.1590212664
ACH-000052,0.0405204100342
ACH-000053,-0.07413265033260001
ACH-000054,-0.106118518454
ACH-000055,-0.197570484743
ACH-000060,-0.212011437819
ACH-000067,-0.308731611624
ACH-000070,0.048146970229199997
ACH-000075,-0.438462619205
ACH-000078,-0.0255425419676
ACH-000082,-0.0817885865407
ACH-000085,-0.165644860226
ACH-000086,-0.11266386522199999
ACH-000087,-0.217121075856
ACH-000092,-0.187057291105
ACH-000095,0.0664223880791
ACH-000097,0.010337263429899999
ACH-000098,-0.18085172482999998
ACH-000099,-0.018247070223
ACH-000108,0.113928275783
ACH-000113,-0.0668441035686
ACH-000115,-0.508242409081
ACH-000116,0.036976800932300005
ACH-000118,0.108126461183
ACH-000120,-0.22483360589899998
ACH-000123,-0.308769822593
ACH-000127,-0.0805404087331
ACH-000128,-0.20253939760499998
ACH-000132,0.0089485479736
ACH-000133,-0.005789571925550001
ACH-000137,0.214282993964
ACH-000138,-0.00138827910424
ACH-000142,0.22404427349300002
ACH-000143,-0.00102750906481
ACH-000146,-0.162327479423
ACH-000148,-0.11960448342499999
ACH-000150,-0.187795743643
ACH-000152,0.030089363948499998
ACH-000153,-0.0517818787223
ACH-000159,-0.009626024997340001
ACH-000160,-0.0269009338835
ACH-000163,-0.036858766468899996
ACH-000167,-0.15865387114
ACH-000168,-0.447244925146
ACH-000169,-0.183835373565
ACH-000178,-0.08966638312179999
ACH-000182,-0.0801446500834
ACH-000183,-0.33953425796400005
ACH-000188,-0.1362747672
ACH-000189,-0.248878096685
ACH-000190,-0.115618763099
ACH-000198,0.0250469550935
ACH-000204,-0.132077789582
ACH-000206,-0.11880662254100001
ACH-000207,-0.0982518313291
ACH-000211,-0.07583786575689999
ACH-000215,-0.014549104178500001
ACH-000221,-0.180979641309
ACH-000222,-0.20476741829999998
ACH-000223,0.0353255411236
ACH-000226,0.0427600541881
ACH-000227,-0.228336751064
ACH-000228,-0.0326841811632
ACH-000231,-0.14951154050100002
ACH-000232,0.035805653967699996
ACH-000233,0.0116305190109
ACH-000234,-0.1674977386
ACH-000235,0.06466419808280001
ACH-000237,-0.064954866841
ACH-000238,0.05157302153530001
ACH-000243,-0.042283878381000006
ACH-000244,-0.022500853234099998
ACH-000246,-0.0750518961365
ACH-000248,-0.165951536995
ACH-000250,-0.15028305935699998
ACH-000251,-0.0968729624275
ACH-000253,-0.153215865065
